,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Atlanta, GA 30338",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist, to join our...",53b7f855d4891e19,Data Scientist,,51.0,1768.0,2 days,2016-10-17 00:20:29.507371,Atlanta
1,"Atlanta, GA 30339",ASSURANT,"3+ years of relevant experience in analytics, statistical/quantitative modeling and/or machine Learning tools (R, Python, etc) and in using various database...",9ecd8095dd0355f8,Data Scientist,,43.2,1107.0,10 days,2016-10-17 00:20:29.507371,Atlanta
2,"Atlanta, GA 30306 (Virginia-Highland area)",360i,The Associate Data Scientist will be mentored by senior members of the department with the goal of learning more advanced data science skills such as...,c2b6dcbcb0895072,Associate Data Scientist,,51.0,9.0,11 days,2016-10-17 00:20:29.507371,Atlanta
3,"Atlanta, GA",Centers for Disease Control and Prevention,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",40d8215afa28f4bb,HEALTH SCIENTIST,"$88,305 - $114,802 a year",54.0,64.0,1 day,2016-10-17 00:20:29.507371,Atlanta
4,"Atlanta, GA 30303 (Five Points area)",Vesta Corporation,"Or PhD in Computer Science, Statistics, Applied Math, or a quantitative field with a strong background in machine learning and data mining....",24cec20de39398ca,Senior Data Scientist,,40.2,31.0,9 days,2016-10-17 00:20:29.507371,Atlanta
5,"Atlanta, GA",Cox Automotive,"Interprets problems and develops solutions to business problems using data analysis, data mining, optimization tools, and machine learning techniques and...",4dd0428a36b610d7,Data Scientist,,40.8,42.0,12 days,2016-10-17 00:20:29.507371,Atlanta
6,"Atlanta, GA 30339",ASSURANT,"The primary objective of this position is to ensure that Data Analytics COE department delivers fraud analytics and provide data-driven, action-oriented...",ed7467a761020f51,Sr Data Scientist - Fraud,,43.2,1107.0,1 day,2016-10-17 00:20:29.507371,Atlanta
7,"Atlanta, GA",Ga. Dept. of Admin. Services,SQL Server knowledge for developing queries and extracting data from relational. Strong data research and analysis skills for the position of Statistical Data....,134c301ec3ba87c4,Statistical Data Analyst,,,,5 days,2016-10-17 00:20:29.507371,Atlanta
8,"Atlanta, GA",State Farm Mutual Automobile Insurance Company,"Academic background in quantitative disciplines and methodologies such as applied and computational statistics, text and data mining, artificial intelligence,...",594e039f37d4ec5d,Research Statistician,,51.0,3358.0,3 days,2016-10-17 00:20:29.507371,Atlanta
9,"Atlanta, GA",Honeywell,"Data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs....",9b253c3eeae5f37a,Analytics Data Scientist,,44.4,3474.0,10 days,2016-10-17 00:20:29.507371,Atlanta
10,"Atlanta, GA",Google,"The Google Cloud training team already develops and delivers Google Cloud Platform product and solution training to thousands of partners, end-users and...",b96291bcf9c19e0a,"Cloud Instructor (Big Data, Machine Learning), Google Cloud...",,52.800003,1218.0,3 days,2016-10-17 00:20:29.507371,Atlanta
11,"Atlanta, GA",Travelport,"Developing and implementing advanced analytics approaches including statistical modeling, machine learning algorithms, text mining, web analytics etc. to answer...",324aa9db249c02a7,Data Scientist,,51.6,52.0,30 days,2016-10-17 00:20:29.507371,Atlanta
12,"Atlanta, GA",Kabbage,"As a part of the Data Science team, you will develop algorithms that leverage multiple data sources to guide (amongst other things) our underwriting process,...",6e3ccea1c8472429,Data Scientist,,,,30+ days,2016-10-17 00:20:29.507371,Atlanta
13,"Atlanta, GA",Home Depot,3 years of experience in data mining and statistical analysis. Insights from data to solve business problems....,07d2ec530def558d,DATA SCIENTIST,,43.8,20594.0,29 days,2016-10-17 00:20:29.507371,Atlanta
14,"Atlanta, GA 30306 (Virginia-Highland area)",360i,"Data Scientist will work directly with 360i clients, media teams, and account leadership to improve marketing programs’ performance with advanced analytics....",abb5e77d57d05bfb,Sr Data Scientist,,51.0,9.0,19 days,2016-10-17 00:20:29.507371,Atlanta
15,"Atlanta, GA 30326 (Buckhead area)","eHire, LLC","Strong background in applying statistical machine learning techniques to predictive modeling and experience with Machine Learning libraries (via R, H2O, Python,...",f0341f282e4dc253,Sr Data Scientist,"$150,000 a year",,,16 days,2016-10-17 00:20:29.507371,Atlanta
16,"Atlanta, GA",Bastille,Position Bastille is seeking badass Data Scientists who can mine useful information from vast amounts data to generate insights that help make our products...,f5d182f58df6fd06,Data Scientist,,,,30+ days,2016-10-17 00:20:29.507371,Atlanta
17,"Atlanta, GA",Honeywell,"Master’s degree in Computer Science, Mathematics, Engineering, Physics, or a relevant field AND 2+ years’ data science experience applying data modeling...",3ab193931df8ad50,"Sr Data Scientist - Atlanta, GA",,44.4,3474.0,24 days,2016-10-17 00:20:29.507371,Atlanta
18,"Atlanta, GA 30318 (Rockdale area)",Georgia Tech Research Institute,"The Georgia Tech Research Institute's Machine Learning and Analytics branch is looking for candidates experienced with machine learning, computer vision, and...",0b18bd331be1a5ca,Machine Learning-Data Science Computer Vision Researcher ATA...,,52.800003,255.0,11 days,2016-10-17 00:20:29.507371,Atlanta
19,"Atlanta, GA",Centers for Disease Control and Prevention,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",ece367560a42bf9b,Health Scientist (Informatics),"$104,349 - $135,656 a year",54.0,64.0,2 days,2016-10-17 00:20:29.507371,Atlanta
20,"Atlanta, GA 30309 (Midtown area)",HD Supply,"Responsible for modeling complex enterprise problems, discovering enterprise insights and identifying opportunities through the use of statistical, algorithmic,...",5e4122b4e399341b,Data Scientist,,42.0,489.0,30+ days,2016-10-17 00:20:29.507371,Atlanta
21,"Atlanta, GA 30308 (Old Fourth Ward area)",Stackfolio,A competitive full-time salary as well as a great options package that will only be available to this early batch of hires....,be3a7444db34e9a3,Lead Data Scientist,"$80,000 a year",,,30+ days,2016-10-17 00:20:29.507371,Atlanta
22,"Atlanta, GA 30338",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Five years of professional experience working as a Data...",57dc2330cb3ed3c0,Sr Associate - Data Scientist,,51.0,1768.0,24 days,2016-10-17 00:20:29.507371,Atlanta
23,"Atlanta, GA",SunTrust,"Performs sophisticated data analytics (encompassing data mining, inferential statistical analysis, and predictive analytics, for example)....",16b342fb19d2cf92,"Consumer Banking Data Scientist - Atlanta, GA",,42.6,2101.0,30+ days,2016-10-17 00:20:29.507371,Atlanta
24,"Alpharetta, GA",krg technology inc,Data scientist with either a Masters or PhD. Should know Machine learning. Someone who has experience setting up a soln using Hadoop/ MLlib with Spark....,c033d176ea5a13bf,Data Scientist,,,,30+ days,2016-10-17 00:20:29.507371,Atlanta
25,"Alpharetta, GA 30022",Verizon,"Apply machine learning and statistical techniques to large data sets to find actionable insights. Lead & manage data augmentation, clean up and data quality...",2eeab08cd59a3296,Senior Data Scientist,,44.4,11112.0,19 days,2016-10-17 00:20:29.507371,Atlanta
26,"Atlanta, GA",GE Power,"Architects, Data Scientists, Businesses and Product Managers. Deploy Data Governance model including people, process and technology to sustain Data Quality for...",3cd633102b36edc1,Staff Analytics Engineer – Installed Base,,51.6,153.0,13 days,2016-10-17 00:20:29.507371,Atlanta
27,"Atlanta, GA",NIIT Technologies,"Expertise in operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline....",42835cf45915a966,Data Scientist,,42.6,122.0,30+ days,2016-10-17 00:20:29.507371,Atlanta
28,"Atlanta, GA",Feedzai,Implement Feedzai's machine learning algorithm into our client’s data feeds. Experience with applying machine learning techniques to predictive modeling....,241bf43cfe61f5c0,Data Scientist,,,,30+ days,2016-10-17 00:20:29.507371,Atlanta
29,"Atlanta, GA",Honeywell,"Support and mentor data scientists. Master’s degree in computer science, applied mathematics, statistics, software engineering, physics, or related discipline...",78f1a9a1e62191ef,"Principal Data Scientist - Atlanta, GA",,44.4,3474.0,24 days,2016-10-17 00:20:29.507371,Atlanta
30,"Plantation Place, GA",QBE,"To develop and drive the Analytics initiative within QBE European Operations, using technical expertise in machine learning and data engineering to design and...",9bd12f3763979448,Data Science Engineer,,43.2,75.0,30+ days,2016-10-17 00:20:29.507371,Atlanta
31,"Atlanta, GA",Lifetime Fitness,Experience tracking statistical data for basketball games. Track all relevant statistics during games. Work closely with League Coordinator to ensure member...,c35d04e318052795,Ultimate Hoops Statistician,,42.6,752.0,2 days,2016-10-17 00:20:29.507371,Atlanta
32,"Atlanta, GA",Loginsoft Consulting LLC,At least 2 years or more work experience in applying advanced statistical and machine learning algorithms to business problems....,b4f67eac877cbb51,Data Scientist,,,,30+ days,2016-10-17 00:20:29.507371,Atlanta
33,"Alpharetta, GA 30005",McKesson,"The person will work with Senior Data Scientists, Engineers, and our IT Platform team to develop insights and analytics models to help our business partners...",f067496c18935873,Data Scientist,,43.2,1512.0,20 days,2016-10-17 00:20:29.507371,Atlanta
