,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Charlotte, NC",IT America,"As a data scientist in our new analytics team, you will be responsible to work on digital sales prediction models with a focus on machine learning and...",5a83ea92d0a00d8e,Data Scientist,,,,14 hours,2016-10-18 00:13:13.013673,Charlotte
1,"Charlotte, NC",Oscar Technology,"3-5 years in a Data Scientist role. _This is a long, low risk contract (12 months initially, 24 months expected) and such as our demand for top Data Scientists,...",4c3665ef5868fe4e,"Data Scientist, Predictive Algorithms",$75 an hour,,,40 minutes,2016-10-18 00:13:13.013673,Charlotte
2,"Charlotte, NC",Bank of America,"The data scientist will:. This role requires a mixture of data analysis, technical project management, enterprise data management and IT database technician....",3f3d1107203bcee8,"Data Scientist (Charlotte, NYC, Jacksonville, Plano)",,44.4,14240,3 days,2016-10-18 00:13:13.013673,Charlotte
3,"Charlotte, NC",Red Ventures,"Use cutting edge machine learning with a group of motivated, talented data scientists. Mining data and working with business groups to identify new...",c8e41a0c1b5327dc,Data Scientist,,40.2,247,10 days,2016-10-18 00:13:13.013673,Charlotte
4,"Charlotte, NC",Bank of America,"Advanced degree or advanced research in Machine Learning, Data Mining, Operations Research, Applied Mathematics, EE, CS, or Computer Engineering....",b754379c6bcc6ce9,Data Scientist I,,44.4,14240,30+ days,2016-10-18 00:13:13.013673,Charlotte
5,"Charlotte, NC",Bank of America,Experience coordinating or participating in end-to-end large-scale data or model implementation project(s) as a project leader or business analyst....,6061498c7e59bff3,Quantitative Finance Analyst,,44.4,14240,2 days,2016-10-18 00:13:13.013673,Charlotte
6,"Charlotte, NC",U.S. Bank,Extensive hands-on data analysis experience with large data sets. Quantitative Data Analyst. Bank is seeking an accomplished Quantitative Data Analyst with...,afd14141e33f5724,Quantitative Data Analyst,,43.2,2961,4 days,2016-10-18 00:13:13.013673,Charlotte
7,"Charlotte, NC",Red Ventures,"Get to and stay on the cutting edge of machine learning with a group of motivated, talented data scientists....",0eec3ef0c59bd35a,Senior Data Scientist,,40.2,247,10 days,2016-10-18 00:13:13.013673,Charlotte
8,"Charlotte, NC 28203 (Dilworth area)",Sherpa LLC,"Proven experience and ability in forming and maintaining strategic relationships within and between business units through proactive engagement, consultation...",aa74c148634c2b68,Senior Data Science Consultant,$80 an hour,52.199997,13,28 days,2016-10-18 00:13:13.013673,Charlotte
9,"Charlotte, NC 28204 (Elizabeth area)",Carolinas HealthCare System,"At least 7 years of experience with SAS and/or R, other data mining tools, databases, and computer programming required;...",eac92f67dbd0d995,Senior Data Scientist,,51.0,292,30+ days,2016-10-18 00:13:13.013673,Charlotte
10,"Charlotte, NC 28262 (University City North area)",Charlotte,Responsible to work on digital sales prediction models with a focus on machine learning and statistical NLP techniques....,e85c38246eae6d6d,Data Scientist,,43.8,31,3 days,2016-10-18 00:13:13.013673,Charlotte
11,"Charlotte, NC 28201 (Myers Park area)",Pinnacle Solutions Inc,"SAS Data Mining. Pinnacle Solutions is a trusted SAS Alliance Partner, Futrix Business Partner, and creator of The Backpack Solution, an all-in-one,...",7d1041c80b6f34a6,SAS Data Scientist / Forecaster / Predictive Modeler,,,,30+ days,2016-10-18 00:13:13.013673,Charlotte
12,"Charlotte, NC",BB&T,"Use statistical analysis, data mining and predictive analytics techniques to understand business behavior and identify trends....",bbe7a5df16e05489,Enterprise Data Office Data Scientist III,,43.8,1025,30+ days,2016-10-18 00:13:13.013673,Charlotte
13,"Charlotte, NC",Bank of America,Have a deep understanding and knowledge of modeling process and model performance measures. Responsible for independently conducting quantitative analytics and...,8a26031a9956254a,Quantitative Finance Analyst - Secured Model Validation - Ch...,,44.4,14240,10 days,2016-10-18 00:13:13.013673,Charlotte
14,"Charlotte, NC",Bank of America,"Strong coding ability at least 2 of SAS, R , Python and C++. Responsible for independently conducting quantitative analytics and modeling projects....",84de9a0ce60bff99,Quantitative Finance Analyst - PPNR,,44.4,14240,18 days,2016-10-18 00:13:13.013673,Charlotte
15,"Charlotte, NC",Bank of America,"Will extract financial and statistical data from multiple databases using data mining skills (SAS, SQL, Toad)....",8ea481c212b0860a,Quantitative Pricing Analyst,,44.4,14240,30+ days,2016-10-18 00:13:13.013673,Charlotte
16,"Charlotte, NC",BB&T,"For Model Risk Management roles, ensure models subject to validation have received effective challenge, document the strengths, weaknesses and limitations of...",b4ca692b9036ab05,Quantitative Analyst,,43.8,1025,30+ days,2016-10-18 00:13:13.013673,Charlotte
17,"Charlotte, NC",TD Bank,"Assists in the development, forecasting, and analysis of potential responses to regulators Job Requirements Identifies data resources and provide support to for...",8b6ebe5a65ce2af8,Quantitative Analyst I,,43.8,2113,30+ days,2016-10-18 00:13:13.013673,Charlotte
18,"Charlotte, NC",Grant Thornton,Center of Excellence Data Analytics Director – Chief Data Scientist. Assist in the development and mentorship of a team of data scientists across the firm to...,b6a3377c233ccbe2,Center of Excellence Data Analytics Director – Chief Data Sc...,,44.4,212,30+ days,2016-10-18 00:13:13.013673,Charlotte
19,"Charlotte, NC",U.S. Bank,Strong project management experience. Collaborating with business lines to ensure program requirements are communicated and understood....,13fb5372b2f8a372,Model Risk Quantitative Analyst,,43.2,2961,30+ days,2016-10-18 00:13:13.013673,Charlotte
20,"Charlotte, NC",UNC Charlotte,"To increase scientific literacy, foster an appreciation of scientific inquiry, and develop well-informed citizens by providing a general education in Biology to...",63601974f71404af,Assistant Professor,,54.0,48,13 days,2016-10-18 00:13:13.013673,Charlotte
21,"Charlotte, NC",ICF,"We are business analysts, public policy experts, technologists, researchers, digital strategists, social scientists and creatives....",b0eacde49a0acf4b,Climate Adaptation and Resilience Consultant,,41.4,234,10 days,2016-10-18 00:13:13.013673,Charlotte
22,"Charlotte, NC 28208 (Westerly Hills area)",Stratifyd,Stratifyd is a team of computer scientists and engineers with one simple goal in mind - tohelp companies make fact-based decisions from their unstructured data...,ae55eb1e25315e07,Marketing Analytics Intern,$12 an hour,,,13 days,2016-10-18 00:13:13.013673,Charlotte
23,"Charlotte, NC",U.S. Bank,"7+years of experience in extensive statistical data analytics including data manipulation, data transformation,....",4c83274bee0faedf,Quantitative Analyst,,43.2,2961,18 days,2016-10-18 00:13:13.013673,Charlotte
24,"Charlotte, NC 28203 (Dilworth area)",Carolinas HealthCare System,"Responsibilities also include preparing and presenting didactic sessions on the relevant regulatory, preparatory, methodological, and analytical aspects of...",e27d16417e0847c3,Research Scientist - Therapeutic Research and Development,,51.0,292,30+ days,2016-10-18 00:13:13.013673,Charlotte
25,"Charlotte, NC",Dimensional Fund Advisors,"R, SAS or Matlab), database syntax (SQL). Collect, organize, and analyze data and present findings. Perform various projects involving data analysis and...",3fa6e185a1b519d9,"Analyst, Research",,41.4,8,18 days,2016-10-18 00:13:13.013673,Charlotte
26,"Charlotte, NC",Bank of America,"The role will assist in working with business partners to ensure EST is fulfilling all regulatory expectations around data management, as well as complying with...",4ee47d28336e6d23,Risk Analysis Sr Specialist - Data Management,,44.4,14240,13 days,2016-10-18 00:13:13.013673,Charlotte
27,"Charlotte, NC",Red Ventures,"Experience with data visualization and data visualization tools. 6+ years of experience with a high level programming language (e.g., Java, Python, C/C++) and 2...",2ed5ecddf10986cc,Director of Data Science,,40.2,247,30+ days,2016-10-18 00:13:13.013673,Charlotte
28,"Charlotte, NC",Bank of America,"Strong coding ability at least 2 of SAS, R , Python and C++. Responsible for independently conducting quantitative analytics and complex modeling projects....",70fdc5a5f43ff3ff,Senior Quantitative Finance Analyst - PPNR,,44.4,14240,18 days,2016-10-18 00:13:13.013673,Charlotte
29,"Charlotte, NC",Bank of America,Candidates who have deep skills in applied statistics and communicate with above average effectiveness are cordially invited to apply....,3c909dac3011f849,Statistician,,44.4,14240,30+ days,2016-10-18 00:13:13.013673,Charlotte
30,"Fort Mill, SC",Citi,Core Responsibilities • Work with Complaint Management team to gather requirements for MIS and analytics projects • Design and implement strategies for...,da72e93fe9e03ff8,"VP Data Scientist, Complaints Monitoring Analytics Lead",,44.4,7978,30+ days,2016-10-18 00:13:13.013673,Charlotte
