,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Cincinnati, OH 45249",Vantiv,"We're looking for exceptional data scientists to play a pivotal role in the research and development of data products, drive better and faster decision making...",aed81bd0c51ab1b9,Data Scientist,,42.0,102,5 days,2016-10-18 00:15:57.023320,Cincinatti
1,"Cincinnati, OH",GE Digital,"As a Data Solutions Scientist, you will be part of a cross-disciplinary team that designs and implements the tools to enable data based, predictive IT data...",979454db4f221592,Data Solutions Scientist,,41.4,10,4 days,2016-10-18 00:15:57.023320,Cincinatti
2,"Cincinnati, OH",GE Digital,"Work in technical teams in development, deployment, and application of applied analytics, predictive analytics, and prescriptive analytics....",02cfeef40744b63d,Data Science Specialist,,41.4,10,30+ days,2016-10-18 00:15:57.023320,Cincinatti
3,"Cincinnati, OH 45227",Medpace,"Configure interactive reports for physicians, investigators, medical experts, and scientists so that they may understand research progress and patient health;...",102d5985d21894b3,"Data Scientist, Analytics",,,,30+ days,2016-10-18 00:15:57.023320,Cincinatti
4,"Cincinnati, OH 45245",Total Quality Logistics (TQL),"Use mathematical and statistical modelling to identify, interpret, and project trends in current and new data sources....",7798fa0ccb4550a1,Data Analyst - Statistician,,41.4,395,1 day,2016-10-18 00:15:57.023320,Cincinatti
5,"Cincinnati, OH",Cincinnati Reds,"Advanced degree or equivalent experience in computational field, such as Data Science, Statistics, Mathematics, Engineering, Quantitative Social Sciences or...",eb6cb84b15d6417d,Data Scientist,,54.6,19,17 days,2016-10-18 00:15:57.023320,Cincinatti
6,"Cincinnati, OH",P&G,"Delivering clinical summary tables, data listings and graphical representations of clinical trials data and clinical reports....",803ec02abca39d6c,Research and Development - PhD - Statistician,,51.6,1724,16 days,2016-10-18 00:15:57.023320,Cincinatti
7,"Cincinnati, OH",U.S. Bank,"Serves as technical and function subject matter expert across multiple security domain areas, raising awareness and communicating security risks within the...",c59daaf208de99d2,Data Scientist,,43.2,2961,30+ days,2016-10-18 00:15:57.023320,Cincinatti
8,"Mason, OH 45040",Assurex Health,"Prepares reports to effectively communicate results of clinical trials to the project team, senior management, and/or investigators....",a217caff5c224e0e,Statistician,,,,13 days,2016-10-18 00:15:57.023320,Cincinatti
9,"Mason, OH 45040",Verizon,"Apply machine learning and statistical techniques to large data sets to find actionable insights. Lead & manage data augmentation, clean up and data quality...",edf8d493a9cfdd48,Senior Data Scientist,,44.4,11119,20 days,2016-10-18 00:15:57.023320,Cincinatti
10,"Cincinnati, OH 45227",Medpace,Communicate the project requirements for cleanup and data capture to ensure the key study variables are suitable for analysis ....,da26eb31c33545ef,Statistical Analyst I,,,,29 days,2016-10-18 00:15:57.023320,Cincinatti
11,"Cincinnati, OH 45212 (Pleasant Ridge area)",CDK Global,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",63becccbe579933d,Client Support - Tech Data Liaison,,41.4,74,13 days,2016-10-18 00:15:57.023320,Cincinatti
12,"Cincinnati, OH",GE Digital,"As a data solutions scientist, you will be part of a cross-disciplinary team that designs and implements the tools to enable data based, predictive IT data...",352f62d8f787f232,Lead Data Solutions Scientist,,41.4,10,26 days,2016-10-18 00:15:57.023320,Cincinatti
13,"Cincinnati, OH",P&G,You will join an integrated team of scientists using state-of-art tools to lead the company in the robust application of 3D visualization and measurements that...,e0a0ed2a04b5a8bb,Research & Development - Image Analysis and Micro CT Scienti...,,51.6,1724,16 days,2016-10-18 00:15:57.023320,Cincinatti
14,"Cincinnati, OH 45202 (Mount Adams area)",The E.W. Scripps Company,"Proven success as a multi-disciplinary team member, partnering with program managers, data scientists and IT support functions to achieve business goals....",56b69d625969d7ac,Data Analyst / Curator,,40.2,40,30+ days,2016-10-18 00:15:57.023320,Cincinatti
15,"Cincinnati, OH 45249",Vantiv,"Serve as a resource to educate developers, data scientists, and other infrastructure engineers/administrators....",395fb43ca50c38d2,Big Data Infrastructure Engineer,,42.0,102,18 days,2016-10-18 00:15:57.023320,Cincinatti
16,"Cincinnati, OH 45227",Medpace,"Medpace is a global, full-service Clinical Research Organization (CRO) specializing in a multitude of therapeutic areas....",ef0dba2d058a25d7,"Data Scientist, Informatics",,,,30+ days,2016-10-18 00:15:57.023320,Cincinatti
17,"Cincinnati, OH",P&G,"Data Scientist, Data Analyst, and Solution Manager. Strategy, architecture, management and governance of the Company’s data, as well as applying advanced...",3e736707070b8207,Information Technology 2017 Internship,,51.6,1724,16 days,2016-10-18 00:15:57.023320,Cincinatti
18,"Cincinnati, OH",Vaco,"Use mathematical and statistical modelling to identify, interpret, and project trends in current and new data sources....",b557232bfaebb618,Data Analyst - Statistical Modeling,,43.2,77,20 days,2016-10-18 00:15:57.023320,Cincinatti
19,"Erlanger, KY",Dynamic Catholic,Manage and update processes for communicating with current and prospective donors and for tracking donor activity Identify a specific number of new major gift...,797320ab2d521d82,Development Research Analyst,,,,14 days,2016-10-18 00:15:57.023320,Cincinatti
20,"Cincinnati, OH",Procter & Gamble,"Delivering clinical summary tables, data listings and graphical representations of clinical trials data and clinical reports....",dcca3cd48e04255a,Research and Development - PhD - Statistician,,51.6,1724,30+ days,2016-10-18 00:15:57.023320,Cincinatti
21,"Cincinnati, OH 45202 (Mount Adams area)",Fifth Third Bank,Send resume to:. Quantitative Analyst Perform statistical modeling & validation....,b8ee78755127fbde,Quantitative Analyst,,43.2,975,30+ days,2016-10-18 00:15:57.023320,Cincinatti
22,"Cincinnati, OH 45277",Fifth Third Bank,Act as project lead and subject matter expert relating to model development and stress testing. The Special Assets Group supports the workout of loans with...,ec692bf0f3913d2c,Senior Quantitative Analyst-Commercial Credit CCAR,,43.2,975,30+ days,2016-10-18 00:15:57.023320,Cincinatti
23,"Cincinnati, OH",Zinger Solutions,"Data Scientists leverage data visualization (KNIME, RapidMiner, Tableau, Spotfire, etc.), and analytic tools (R, Python, C++, Java, Scala, etc.)....",66a6e035c0e45778,Data Analytics Manager/BI,,,,30+ days,2016-10-18 00:15:57.023320,Cincinatti
24,"Cincinnati, OH",SKYLINE RECRUITING SOLUTIONS,"(5) Coordinates and/or initiates data management and automation activities utilizing advance data management tools (including but not limited to Excel, VBA, SAS...",8d3c20366b27e621,Quantitative Risk Analyst,,,,20 days,2016-10-18 00:15:57.023320,Cincinatti
25,"Cincinnati, OH",Sterling Payment Technologies,Assist Association Management with research and data entry of members. Sterling is the leading provider of payment solutions to businesses engaged in the B2B...,1799e3278eee227a,Research Analyst,,,,4 days,2016-10-18 00:15:57.023320,Cincinatti
26,"Cincinnati, OH",Pearl Knowledge Solutions,"Data Scientists leverage data visualization (KNIME, RapidMiner, Tableau, Spotfire, etc.), and analytic tools (R, Python, C++, Java, Scala, etc.)....",49b20d6a7765d81e,IT Manager - Data & Analytucs,,,,30+ days,2016-10-18 00:15:57.023320,Cincinatti
27,"Evendale, OH",GE Aviation,"As Lead Data Engineer in the Marketing and Commercial Analytics team you will enable the creation of market insights for Aviation product managers, drive...",5f8e2cd5b5664689,"Lead Data Engineer, Commercial Analytics",,51.0,237,21 days,2016-10-18 00:15:57.023320,Cincinatti
28,"Cincinnati, OH",Procter & Gamble,You will join an integrated team of scientists using state-of-art tools to lead the company in the robust application of 3D visualization and measurements that...,21169a99216bc8ab,Research & Development - Image Analysis and Micro CT Scienti...,,51.6,1724,30+ days,2016-10-18 00:15:57.023320,Cincinatti
29,"Cincinnati, OH",Cincinnati Children's Hospital,"Develop and implement human subject research protocols, vertebrate animal research protocols and design experimental procedures and documentation in accordance...",9b61337e3605503f,Research Fellow - Data & Tech,,51.0,188,30+ days,2016-10-18 00:15:57.023320,Cincinatti
30,"Cincinnati, OH 45212 (Pleasant Ridge area)",CDK Global,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",ef2d4e0c9e2ed5fb,Work Flow Process Lead,,41.4,74,4 days,2016-10-18 00:15:57.023320,Cincinatti
31,"Cincinnati, OH 45208 (Hyde Park area)",HGC Construction,"The ideal person will collect skills and talent data regarding field staff, organize this data, and create a searchable database to house this information....",025782bdaab4e027,Data Engineer/Scientist,,40.8,4,5 days,2016-10-18 00:15:57.023320,Cincinatti
32,"Cincinnati, OH",Green Healthcare Solutions,"As Data Analysts or Data Scientists, you are Business Leaders:. Data Scientists leverage data visualization (KNIME, RapidMiner, Tableau, Spotfire, etc.), and...",8c3faa5dbfab1941,Data Analyst,"$112,500 a year",,,30+ days,2016-10-18 00:15:57.023320,Cincinatti
33,"Cincinnati, OH",Centers for Disease Control and Prevention,"Experience in management and supervision of a scientific team, i.e. review and evaluation of occupational health and safety research or surveillance including...",683301f2ef6ecf0d,Supervisory Health Scientist,"$103,634 - $134,726 a year",54.0,64,11 days,2016-10-18 00:15:57.023320,Cincinatti
34,"Cincinnati, OH 45220 (Clifton area)",Cincinnati Zoo & Botanical Garden,The Lindner Center for Conservation and Research of Endangered Wildlife (CREW) is one of the few zoo- and botanical garden- based research programs in the world...,3e3d35b27a74213f,CREW - Schmidlapp Scholar - Plant Research Division,,51.0,5,30+ days,2016-10-18 00:15:57.023320,Cincinatti
35,"Cincinnati, OH",Fifth Third Bank,# Act as project lead and subject matter expert relating to model development and stress testing. The Special Assets Group supports the workout of loans with...,53edfdbbad6d5a8e,Sr. Quantitative Analyst - Credit Risk.,,43.2,975,17 days,2016-10-18 00:15:57.023320,Cincinatti
36,"Cincinnati, OH 45220 (Clifton area)",Cincinnati Zoo & Botanical Garden,"CREW senior scientists are reproductive physiologists, and much of the research conducted in the Animal Division is focused on reproduction (endocrinology,...",c4b0e62848666572,CREW - Schmidlapp Scholar - Animal Research Division,,51.0,5,30+ days,2016-10-18 00:15:57.023320,Cincinatti
37,"Cincinnati, OH",Cincinnati Children's Hospital,"With a focus on improving quality of translating new imaging techniques to research and clinical applications in pulmonary medicine, faculty and staff in the...",35c7c91c440a217a,Research Fellow - Pulmonary Imaging,,51.0,188,11 days,2016-10-18 00:15:57.023320,Cincinatti
38,"Cincinnati, OH",Procter & Gamble,"Data Scientist, Data Analyst, and Solution Manager. Strategy, architecture, management and governance of the Company’s data, as well as applying advanced...",5c00921c1f4fa11b,Information Technology 2017 Internship,,51.6,1724,30+ days,2016-10-18 00:15:57.023320,Cincinatti
39,"Cincinnati, OH",Sogeti,"Analyze, design, develop, test and deploy data driven analytics, event driven analytics, sets of analytics orchestrated through rule engines, analytics that...",eecfb636d0a1dd2e,Big Data Architect,,40.8,77,30+ days,2016-10-18 00:15:57.023320,Cincinatti
40,"Cincinnati, OH 45220 (Clifton area)",Cincinnati Zoo & Botanical Garden,"Project scientists conduct basic and applied reproductive studies in domestic cats and wild felids at CREW, other US zoos and internationally....",ad96fb13473a2f98,Research Associate,"$32,000 - $35,000 a year",51.0,5,12 days,2016-10-18 00:15:57.023320,Cincinatti
41,"Cincinnati, OH 45212 (Pleasant Ridge area)",CDK Global,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",1e9724cd30cf9e59,Client Support - Accounting/Payroll Software,,41.4,74,1 day,2016-10-18 00:15:57.023320,Cincinatti
42,"Cincinnati, OH 45212 (Pleasant Ridge area)",CDK Global,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",e69a5994f70f2902,Help Desk - Systems/Hardware,,41.4,74,4 days,2016-10-18 00:15:57.023320,Cincinatti
43,"Cincinnati, OH",Procter & Gamble,"Data Scientists leverage data visualization (KNIME, RapidMiner,. As a Data Analysts or Data Scientists at. Data and Analytics roles. , data access (Big Data,....",c30cb1c65398eb85,Information Technology Manager - Data & Analytics,,51.6,1724,30+ days,2016-10-18 00:15:57.023320,Cincinatti
44,"Cincinnati, OH",Cincinnati Children's Hospital,To work with Scientific Directors and colleagues to maximize the function of the organization?s scientists and clinician-scientists....,3dabe83c1a206484,Assistant Professor,,51.0,188,30+ days,2016-10-18 00:15:57.023320,Cincinatti
45,"Cincinnati, OH 45212 (Pleasant Ridge area)",CDK Global,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",066cc05bfce94368,Client Technical Analyst - Data Storage Data Archive,,41.4,74,27 days,2016-10-18 00:15:57.023320,Cincinatti
46,"Cincinnati, OH",Garretson Resolution Group,Understand business objectives in order to build and manage reports of our commercial pipeline for the Business Development and Executive teams using Salesforce...,b8358e6211d19c21,Mass Tort Research Analyst,,42.0,19,30+ days,2016-10-18 00:15:57.023320,Cincinatti
47,"Cincinnati, OH",The Judson Group,"Excellent base salary, bonus, and benefits package. Minimum 3 years of direct experience in equity analysis....",dce57952e180cfc0,Equity Research Analyst,,,,10 days,2016-10-18 00:15:57.023320,Cincinatti
48,"Cincinnati, OH",P&G,"Design, execute, and interpret in vitro and clinical safety data to ensure consumer safety of globally marketed products....",737f05c2beb8e275,Research and Development - PhD - Human Safety Toxicologist,,51.6,1724,30+ days,2016-10-18 00:15:57.023320,Cincinatti
49,"Cincinnati, OH",Cincinnati Children's Hospital,"With a focus on improving quality of translating new imaging techniques to research and clinical applications in pulmonary medicine, faculty and staff in the...",cf006abf4e8f9c18,Research Assistant I - Pulmonary Imaging Research,,51.0,188,12 days,2016-10-18 00:15:57.023320,Cincinatti
50,"Cincinnati, OH",P&G,"Data & Analytics – Strategy, architecture, management and governance of the Company’s data, as well as applying advanced analytics and big data methods to drive...",6029b16bfae058d5,Information Technology Co-op,,51.6,1724,16 days,2016-10-18 00:15:57.023320,Cincinatti
51,"Cincinnati, OH 45212 (Pleasant Ridge area)",CDK Global,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",af97095cf23065c4,Client Technical Analyst,,41.4,74,3 days,2016-10-18 00:15:57.023320,Cincinatti
52,"Cincinnati, OH",Select Laboratory Partners,We are seeking a Clinical Scientist/LCMS Operator to assume primary responsibility for LC-MS/MS instrument performance and data review within Therapeutic drug...,386533d683468872,Clinical Scientist/LCMS Operator,,,,30+ days,2016-10-18 00:15:57.023320,Cincinatti
53,"Cincinnati, OH",Cincinnati Children's Hospital,To work with Scientific Directors and colleagues to maximize the function of the organization's scientists and clinician-scientists....,061c7ec0beeb27a7,Assistant Professor - Ocular Genetics,,51.0,188,30+ days,2016-10-18 00:15:57.023320,Cincinatti
54,"Cincinnati, OH",P&G,"Data Scientists leverage data visualization (KNIME, RapidMiner,. As a Data Analysts or Data Scientists at. Data and Analytics roles. , data access (Big Data,....",b34f89a5d6e8e43b,IT Manager - Data & Analytics,,51.6,1724,30+ days,2016-10-18 00:15:57.023320,Cincinatti
55,"Cincinnati, OH",Cincinnati Children's Hospital,The candidate should be comfortable in a fast paced research environment with considerable attention to scientific rigor and results....,9342d8bffffa125f,Research Fellow - Immunology and Pathogenesis of Biliary Atr...,,51.0,188,30+ days,2016-10-18 00:15:57.023320,Cincinatti
56,"Cincinnati, OH 45212 (Pleasant Ridge area)",CDK Global,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",68789906670e67f4,"Manager, HR Compliance",,41.4,74,7 days,2016-10-18 00:15:57.023320,Cincinatti
57,"Cincinnati, OH",Cincinnati Children's Hospital,The primary responsibility of the Clinical Laboratory Specialist III is to maximize the technical operations of all clinical laboratory sections....,aeca2e6b9db594c2,Clinical Laboratory Specialist III,,51.0,188,18 days,2016-10-18 00:15:57.023320,Cincinatti
58,"Covington, KY",Data Intensity,"Advanced Analytics Practice Manager is responsible for building and managing a team of Big Data Architects, Engineers, and Data Scientists for the purpose of...",69cb78d4ed7bc1e3,Big Data and Advanced Analytics Practice Manager,,51.0,2,30+ days,2016-10-18 00:15:57.023320,Cincinatti
59,"Cincinnati, OH 45212 (Pleasant Ridge area)",CDK Global,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",51adf0b1b46d8e9c,Client Support - Accounting/Payroll Softrware,,41.4,74,1 day,2016-10-18 00:15:57.023320,Cincinatti
60,"Cincinnati, OH",TriHealth,"Ensure revenue invoicing is completed in a timely fashion -Diligently work reports and work queues to decrease bill hold accounts, and assist in communicating...",78561ec52e25946f,CLINICAL RESEARCH FINANCIAL ANALYST,,43.2,59,30+ days,2016-10-18 00:15:57.023320,Cincinatti
