,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Cleveland, OH",IBM,"IBM Watson Health business, provides the healthcare industry a protected, cloud-based analytics platform that harnesses big data for clinical integration,...",c754316593ceda97,"Watson Health - Data Scientist - Map, Extract, Transform, Lo...",,51.0,12129,5 days,2016-10-17 23:53:08.722216,Cleveland
1,"Cleveland, OH 44115 (Downtown area)",Chmura Economics and Analytics,We are looking for innovative data scientists who have a passion for code and data! The position reports to the Chief Data Scientist....,dd4343e4d8e21b3f,Data Scientist - Any Experience Level!,,,,4 days,2016-10-17 23:53:08.722216,Cleveland
2,"Cleveland, OH",Nityo Infotech Services Pvt. Ltd.,"Knowledge of classification systems and clinical vocabularies and nomenclature, such as International Classification Of Diseases (ICD)-9, Current Procedural...",d0b1d924fa3a9be7,Data Scientist,,,,6 days,2016-10-17 23:53:08.722216,Cleveland
3,"Cleveland, OH",IBM,"Proven knowledge of clinical classification systems and clinical vocabularies and nomenclature, such as ICD-9-CM/ICD 10, CPT, LOINC, SNOMED-CT, and RxNorm....",e273f7fa92b4dfe3,"Watson Health - Data Scientist, Implementation - Explorys",,51.0,12129,10 days,2016-10-17 23:53:08.722216,Cleveland
4,"Cleveland, OH 44114 (Downtown area)",AmTrust North America,"Demonstrated skills in data mining, machine learning, programming, dynamic optimization. Relevant experience in Statistical/Quantitative Modeling and/or Machine...",08b3e7de76647629,Data Scientist,,,,18 days,2016-10-17 23:53:08.722216,Cleveland
5,"Cleveland, OH",Futran Solutions,"Health Data Analyst:. Knowledge of classification systems and clinical vocabularies and nomenclature, such as International Classification Of Diseases (ICD)-9,...",b9b5ddb55a1e534b,Data Scientist,,,,28 days,2016-10-17 23:53:08.722216,Cleveland
6,"Cleveland, OH",Medical Mutual of Ohio,"Knowledge of health plan operations, data sources, and data structures, including trends and drivers of quality, utilization and costs....",550c7a7a678ea986,Data Scientist I- Career Development Program,,51.0,56,20 days,2016-10-17 23:53:08.722216,Cleveland
7,"Mayfield Village, OH",Progressive,"Demonstrated skills in data mining, machine learning, programming, dynamic optimization. Data Scientist /Statistical Modeler....",07bfae1b3db8ba03,Data Scientist /Statistical Modeler,,43.8,960,5 days,2016-10-17 23:53:08.722216,Cleveland
8,"Cleveland, OH",Hunter International,Coordinate the timely and compliant generation of data to support client project. Review data for technical content and good record keeping practices....,2fb5b9022283e4a4,GC-MS Scientist,"$60,000 - $75,000 a year",54.0,13,19 days,2016-10-17 23:53:08.722216,Cleveland
9,"Cleveland, OH",Precision Systems,"Experience in statistics, data mining, and predictive modeling is a must (3 -5 years experience required) ·Experience with TIBCO Spotfire, R, Python numpy, D3,...",586b159966e6a7cb,Data Scientist,,55.800003,5,11 days,2016-10-17 23:53:08.722216,Cleveland
10,"Cleveland, OH",Key Bank,"ABOUT KEY: Key traces its history back more than 160 years and is headquartered in Cleveland, Ohio. One of the nation's largest bank-based financial services",3ca2ce418543d321,"Secondary Quantitative Analyst - Brooklyn, OH",,43.8,629,30+ days,2016-10-17 23:53:08.722216,Cleveland
11,"Cleveland, OH",KeyBank,"ABOUT KEY: Key traces its history back more than 160 years and is headquartered in Cleveland, Ohio. One of the nation's largest bank-based financial services",2ffb701d64b95eaa,Secondary Quantitative Analyst,,43.8,629,30+ days,2016-10-17 23:53:08.722216,Cleveland
12,"Cleveland, OH 44143",The Freedonia Group,"The role is responsible for both primary and secondary research activities, analysis and synthesis of data, and the organization and delivery of internal and...",b04fbd76d1c1f42b,Research Analyst,,,,3 days,2016-10-17 23:53:08.722216,Cleveland
13,"Cleveland, OH 44114 (Downtown area)",Dealer Tire,"Data Scientist / Machine Learning Scientist. Need to train, mentor and lead junior data scientists and analysts working in....",2137d8e7fe285b22,Data Scientist / Machine Learning Scientist,,41.4,40,30+ days,2016-10-17 23:53:08.722216,Cleveland
14,"Cleveland, OH 44195 (Fairfax area)",Cleveland Clinic,"The Statistical Programmer I at Cleveland Clinic in Cleveland, Ohio works on a project team to provide expertise on data collection, database development, data...",c1e1820262205ea0,Statistical Programmer,,51.6,1004,16 days,2016-10-17 23:53:08.722216,Cleveland
15,"Mayfield Heights, OH",Progressive,"Demonstrated skills in data mining, machine learning, programming, dynamic optimization. Mathematics) and a minimum of 2 years of relevant experience in...",01fc89ee9a4bb906,Data Scientist,,43.8,960,30+ days,2016-10-17 23:53:08.722216,Cleveland
16,"Cleveland, OH 44114 (Downtown area)",Federal Reserve Bank of Cleveland,"Degree in a quantitative discipline such as Statistics, Operations Research, Financial Engineering, Mathematics of Finance, MBA with a quantitative focus,...",76531dba149f7c26,Quantitative Risk Analyst - Capital Team,,43.8,12,25 days,2016-10-17 23:53:08.722216,Cleveland
17,"Cleveland, OH",Fourth Technologies Inc.,"At least 3 years' experience in a clinical and technical environment or a degree in Computational Biology, Bioinformatics, Computer Science, RN, or related...",3f809e3e5e22879f,Data Scientist,,,,30+ days,2016-10-17 23:53:08.722216,Cleveland
18,"Mayfield Village, OH",Progressive,"Data Scientist Senior. Demonstrated skills in data mining, machine learning, programming, dynamic optimization....",8f2cbd01916325a5,Data Scientist Senior,,43.8,960,19 days,2016-10-17 23:53:08.722216,Cleveland
19,"Cleveland, OH 44114 (Downtown area)",Dealer Tire,"Supervisory experience leading statisticians and data scientists. OBIEE, SQL) and data visualization (D3.js). Manager, Data Science and Machine Learning....",6fc3023ca2e7ca04,"Manager, Data Science and Machine Learning",,41.4,40,18 days,2016-10-17 23:53:08.722216,Cleveland
20,"Cleveland, OH",Lubrizol Corporation,"Collaborate and consult with data scientists and subject-area experts on statistical, data mining, and visualization problems and algorithms, and on system...",860d3e361b5642ba,Analytics Statistician,,44.4,19,30+ days,2016-10-17 23:53:08.722216,Cleveland
21,"Mayfield Village, OH",Progressive,"With strong skills in problem solving and communication, you'll develop project plans, retrieve data from various sources, prepare data and present your...",960c0c6539638434,Sr. Statistician,,43.8,960,5 days,2016-10-17 23:53:08.722216,Cleveland
22,"Cleveland, OH",Hunter International,QC Associate Scientist. Review data for technical content and good record keeping practices. Coordinate the timely and compliant generation of data to support...,56a6b77f0a72df80,Quality Control Scientist,"$50,000 - $70,000 a year",54.0,13,30+ days,2016-10-17 23:53:08.722216,Cleveland
23,"Solon, OH 44139",Swagelok,Provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced analytics and data science across the...,dc3c7d25aa668d96,Data Scientist,,51.0,135,30+ days,2016-10-17 23:53:08.722216,Cleveland
24,"Mayfield Village, OH",Progressive,"Data Scientist Manager. Demonstrated skills in data mining, machine learning, programming, dynamic optimization....",51d0883cd6e9852e,Data Scientist Manager,,43.8,960,1 day,2016-10-17 23:53:08.722216,Cleveland
25,"Brooklyn, OH",Key Bank,"Work with IT teams, management and/or data scientists to determine organizational goals. Responsibilities include data mining, validation, analytics,...",4e88c768365804fb,Sr. Business Data Analyst,,43.8,629,6 days,2016-10-17 23:53:08.722216,Cleveland
