,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Hilliard, OH 43026",Verizon,"Knowledge of machine learning, natural language processing, text analytics, regression modeling and statistical analysis methods....",8e6af2cabc8d3d3a,Data Scientist - Entry Level,,44.4,11119,6 days,2016-10-18 00:17:14.294112,Columbus
1,"Hilliard, OH 43026",Verizon,"Familiarity and experience with creating analytical data sets. Master’s Degree in Statistics, Math, Economics, Engineering, Computer Science, Business Analytics...",411562fb5025cc7f,Data Scientist,,44.4,11119,7 days,2016-10-18 00:17:14.294112,Columbus
2,"Columbus, OH",JPMorgan Chase,"Hands-on experience with a wide variety of predictive modeling, machine learning, data mining, statistical, text mining, and optimization algorithms....",104afb589cf98b98,Data Scientist,,44.4,10704,19 days,2016-10-18 00:17:14.294112,Columbus
3,"Columbus, OH 43215 (Downtown area)",ComResource,Experience working with large SQL data models. Will use technologies from Machine Learning. Working knowledge of health care systems and healthcare terminology....,e1fe9a5bef8ee4bd,Data Scientist,,,,12 days,2016-10-18 00:17:14.294112,Columbus
4,"Columbus, OH",CareWorks Tech,Collaborates with data scientists and business partners and conducts data profiling and predictive analysis using a variety of standard tools....,54abf47fba81803b,Data Analyst,,,,28 days,2016-10-18 00:17:14.294112,Columbus
5,"Columbus, OH 43201 (Weinland Park area)",Battelle,+ Strong aptitude in science and firm understanding of the scientific method to facilitate collaboration with scientists and engineers....,79cf3905b71510f1,Statistics Intern,,51.0,162,30+ days,2016-10-18 00:17:14.294112,Columbus
6,"Columbus, OH",Huntington National Bank,"Strong understanding of data mining models, structures, theories, principles, and practices, including machine learning, statistics and text mining techniques....",4aca4b087578bda4,Data Scientist / Data Analyst,,42.6,614,27 days,2016-10-18 00:17:14.294112,Columbus
7,"Columbus, OH",Nationwide Children's Hospital,Works under the mentorship of an established RI principal investigator or Senior Research Scientists to design experiments and develop protocols to conduct...,9d321120d08ae91a,Research Scientist - RI Vac & Imm Ramilo,,52.199997,199,3 days,2016-10-18 00:17:14.294112,Columbus
8,"Franklin County, OH",State of Ohio Jobs,"Natural sciences (biology, health physics, radiological health, radiological technology), law (Ohio Revised Code [ORC] 1509 & Ohio Administrative Code [OAC]...",ff7fdc5da3f966cf,Senior Health Physicist,"$52,166 a year",,,4 days,2016-10-18 00:17:14.294112,Columbus
9,"Columbus, OH",The Ohio State University,We currently have five 3D seismic data sets in the Gulf of Mexico and scientific well logs at several sites and we are actively working on selecting drilling...,d3decb7ede9dca11,Post Doctoral Researcher,"$50,004 - $60,000 a year",52.199997,404,12 days,2016-10-18 00:17:14.294112,Columbus
10,"Columbus, OH",JPMorgan Chase,"Utilize project management best practices to track book of work priorities, communicate updates, and manage projects to successful completion;...",d737dc366255debb,"Data Analysis and Business Management, CCB, Associate - Colu...",,44.4,10704,3 days,2016-10-18 00:17:14.294112,Columbus
11,"Columbus, OH",State Auto Insurance Companies,"Working to obtain a degree from an accredited four year college, with some analytical studies in Applied Statistics, Data Science, Operations Research,...",8bd2e4171572927e,Intern - Predictive Modeling,,40.2,13,30+ days,2016-10-18 00:17:14.294112,Columbus
12,"Columbus, OH",ABBOTT LABORATORIES,"Data Analysis and Reporting – ensuring that sensory data is analyzed, interpreted, summarized, and communicated effectively and in a timely fashion....",c662e9d86969faf3,Associate Scientist,,52.199997,1279,16 days,2016-10-18 00:17:14.294112,Columbus
13,"Columbus, OH",Dynamit,"The job of the data scientist is to curate and explore large-scale data sets, identify opportunities and run real-world experiments....",6534b862a7d3603d,Data Scientist,,,,30+ days,2016-10-18 00:17:14.294112,Columbus
14,"Columbus, OH 43205 (Near East area)",Emerald Resource Group,"Data Scientist - Advanced Data Analytics. Do you consider yourself a Data Scientist? "" Machine Learning exposure. "" Data Warehouse and ETL development....",f89c034b92916979,Data Scientist-Senior/Ph.D,"$110,000 a year",52.800003,3,27 days,2016-10-18 00:17:14.294112,Columbus
15,"Westerville, OH",Good Night Medical,DATA ANALYSIS/SYSTEM MAINTENANCE*. We make a significant effort to further the practice of sleep medicine and to support evidence-based changes that improve the...,fcdac412244791f9,Data Analysis/Billing System Maintenance,$13 an hour,,,14 days,2016-10-18 00:17:14.294112,Columbus
16,"Columbus, OH 43215 (Downtown area)",Franklin University,"Preferred) in Statistics or a related area with at least two years of teaching experience in this area. If the degree is in a related area, a strong statistical...",50d7ef5b2a8bb41b,Statistical Concepts Adjunct Columbus,,51.0,23,30+ days,2016-10-18 00:17:14.294112,Columbus
17,"Columbus, OH",USM,Collaborates with data scientists and business partners and conducts data profiling and predictive analysis using a variety of standard tools....,e84daf1e2b9c836f,Data Modeler -- EAD or GC or CITIZENS,,42.6,39,30+ days,2016-10-18 00:17:14.294112,Columbus
18,"Columbus, OH 43205 (Near East area)",Emerald Resource Group,"Predictive Analytics - Data Scientist. "" Predictive Data Analytics/ Machine Learning/ Statistical programming and design....",505e9b803cf1ed54,Predictive Analytics - Data Scientist,"$85,000 a year",52.800003,3,27 days,2016-10-18 00:17:14.294112,Columbus
