,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Hartford, CT 06156",Aetna,"Aetnas Consumer Health Services Consumer Analytics team is seeking a Data Scientist for our New York, NY or Boston, MA location....",ffb11080723e4380,Data Scientist,,43.8,1718,26 days,2016-10-18 00:14:37.661327,Hartford
1,"Hartford, CT",The Hartford Financial Services,"Data Scientist to support the. Modeling experience in SAS, EMB, R or other modeling software. Thinker with strong business customer relationship and project...",3ba12f6b0913b2bc,Sr Data Scientist,,43.8,785,5 days,2016-10-18 00:14:37.661327,Hartford
2,"Hartford, CT",PNS IT Solutions LLC,"Leadership of the team involves direct management of 2-4 quantitative analysts, modelers, and data scientists comprising the Personal Lines Research & Analytics...",0cb4527a47b567d7,Data Scientist / Data Modeling / Data Engineer,,,,13 days,2016-10-18 00:14:37.661327,Hartford
3,"Hartford, CT 06156",Aetna,"Aetnas Consumer Health Services Consumer Analytics team is seeking a Senior Data Scientist for our New York, NY or Boston, MA location....",b5e9f0e15b2454f8,Sr. Data Scientist,,43.8,1718,26 days,2016-10-18 00:14:37.661327,Hartford
4,"Farmington, CT",The Jackson Laboratory,"Training in computational biology, bioinformatics, statistics, computer science, applied mathematics, physics, engineering or a related quantitative area....",08f65632d09d321f,Postdoctoral Associate – Omics Data Science,,43.8,16,14 days,2016-10-18 00:14:37.661327,Hartford
5,"Hartford, CT",UnitedHealth Group,"Analyze and interpret data to identify trends, patterns and opportunities for the business and clients. Here, your performance, your ideas, your unique analysis...",c191fee303f91ae7,Business Analyst - Advanced Research & Analytics - Telecommu...,,43.2,4188,4 days,2016-10-18 00:14:37.661327,Hartford
6,"East Hartford, CT",UTRC,"The group takes on cutting edge challenges in machine learning, deep learning, data mining, and human computer interaction....",7cbaf508c8faf896,Data Scientist Intern,,,,13 days,2016-10-18 00:14:37.661327,Hartford
7,"Hartford, CT",The Hartford Financial Services,"And participate in the implementation plans, as subject matter. SQL Server, R, Python). Modeling, data warehousing tools, and data bases (e.g....",c8dd6a97ffe69a40,Dir Data Science (Digitial Analytics),,43.8,785,25 days,2016-10-18 00:14:37.661327,Hartford
8,"Springfield, MA 01104 (Liberty Heights area)",IBM,"This position combines deep data and analytics skills with strong business acumen to solve business problems by understanding, preparing, and analyzing data to...",c7a277155272e6c3,Advanced Analytics Data Scientist,,51.0,12130,30+ days,2016-10-18 00:14:37.661327,Hartford
9,"East Hartford, CT 06108",Pratt & Whitney,Exploratory data analysis. The Statistics and Data Analytics group works with customers across the company to optimize decision making under uncertainty....,35b1ac7872d4f63b,Statistician,,51.0,276,25 days,2016-10-18 00:14:37.661327,Hartford
