,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Houston, TX",Exxon Mobil,"Experience in relevant areas of scientific expertise (e.g., machine learning, numerical methods, signal processing, statistics, mathematics, and optimization)....",857a318d918bc7ce,Data Scientist,,51.0,1005,12 days,2016-10-17 23:47:20.880249,Houston
1,"Houston, TX",Quantlab Financial,Technology and Scientific Research are central to our business and key to our success. Generous benefit plan structure including an option for fully paid health...,832f8cb888fad827,Quantitative Research Scientist - Options Strategist,,,,5 days,2016-10-17 23:47:20.880249,Houston
2,"Houston, TX",Pros.,Machine Learning and Data Science. In this role you will work in teams to unearth business insights through data mining and to innovate and implement cutting...,f645ad1a7ec74dd5,Scientist I,,,,6 days,2016-10-17 23:47:20.880249,Houston
3,"Houston, TX 77070","Noble Energy, Inc.","Continually enhance the advanced analytics program by staying up to date on the latest data science, advanced analytics, and big data trends....",9e4026730140473a,Data Scientist,,51.6,83,29 days,2016-10-17 23:47:20.880249,Houston
4,"Houston, TX 77046 (Montrose area)","Enaxis Consulting, LP","Work with data scientists, visualization specialists, and analytic specialists’ to understand data, project success criteria and related to business processes....",cd6ec51198b13a41,Analytics Data Engineer,,,,3 days,2016-10-17 23:47:20.880249,Houston
5,"Houston, TX 77057 (Galleria-Uptown area)",Experis,"The role will partner with a multi-disciplinary group of industry experts, modellers and data scientists to innovate, develop and deploy new commercial...",c64f131cd83c8fda,Analytical Data Scientist,,43.8,296,17 days,2016-10-17 23:47:20.880249,Houston
6,"Houston, TX",National Oilwell Varco,"Data mining, Feature. Data analytics solutions for challenging engineering and reliability problems. Data Science responsibilities include:....",18cbee11f92a560b,Data Scientist,,44.4,1105,19 days,2016-10-17 23:47:20.880249,Houston
7,"Houston, TX",Shell,"Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...",8b4e7620872d8b19,"Quantitative Risk Analyst (Houston, TX)",,44.4,1376,7 days,2016-10-17 23:47:20.880249,Houston
8,"Houston, TX",MD Anderson Cancer Center,"The primary purpose of the Research Statistical Analyst position is to carry out data preparation responsibilities related to cancer clinical trials, develop...",c3d60a2a43db94fe,Research Statistical Analyst,,51.6,250,30+ days,2016-10-17 23:47:20.880249,Houston
9,"Houston, TX",The Hanover Company,This role will data mine property and portfolio information to locate trends to improve operational performance....,699f12fa69d83b44,Quantitative Analyst,,51.0,5,30+ days,2016-10-17 23:47:20.880249,Houston
10,"Houston, TX","Adroit Partners, LLC",Search Engine Marketing (SEM) Data Scientist. Support our Search Science projects using Text Analytics and Machine Learning techniques....,46e37848c289391d,Search Engine Marketing (SEM) Data Scientist,,,,28 days,2016-10-17 23:47:20.880249,Houston
