,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Minneapolis, MN",Boston Technology Corporation,This role needs to bring experience and expertise with digital analytics and Big Data technologies in order to complete the following tasks:....,1f0616dafa9a8a31,Big Data Scientist,,,,13 days,2016-10-17 23:54:32.223639,Minneapolis
1,"Minneapolis, MN",Digital Reasoning,"3+ professional experience with modeling and analysis, computational linguistics/NLP, semantic web technology, machine learning, and/or large-scale data mining....",fe5b0675b020b512,Data Scientist,,,,3 days,2016-10-17 23:54:32.223639,Minneapolis
2,"Golden Valley, MN",Honeywell,"Data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs....",af495fbe6239b68e,Analytic Data Scientist,,44.4,3477,11 days,2016-10-17 23:54:32.223639,Minneapolis
3,"Golden Valley, MN",Honeywell,"Data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs. Principal Data Scientist....",7c7f503691def6a4,Principal Data Scientist,,44.4,3477,2 days,2016-10-17 23:54:32.223639,Minneapolis
4,"Maplewood, MN",3M,"Familiarity with knowledge analytics and data mining. Ability to interact with scientists and managers, understand their technical or business needs....",ec35bcb654ae5362,"Advanced Technical Information Analyst* (Maplewood, MN) Job",,51.6,1414,30 days,2016-10-17 23:54:32.223639,Minneapolis
5,"Minneapolis, MN",Pearl Knowledge Solutions,"Data Scientists leverage data visualization (KNIME, RapidMiner, Tableau, Spotfire, etc.), and analytic tools (R, Python, C++, Java, Scala, etc.)....",3fe7010c713d80c9,Data Scientist,,,,30+ days,2016-10-17 23:54:32.223639,Minneapolis
6,"Minneapolis, MN 55426",General Mills,"Comfortable in basic statistical analysis, modeling, clustering and data mining techniques to identify trends and insights....",7b3a98f4ccc83b68,Data Scientist - Global Business Solutions,,51.0,560,21 days,2016-10-17 23:54:32.223639,Minneapolis
7,"Minneapolis, MN",Ayasdi,"Data management and data extraction skills; Masters in a quantitative field (Mathematics, Statistics, Operations Research, Physics, Bioinformatics,...",02d2e873d32481a2,Data Scientist (Healthcare),,,,30+ days,2016-10-17 23:54:32.223639,Minneapolis
8,"Minneapolis, MN",Parametric,"Preferred languages include R, Java, SQL, VBA, Matlab, Python, or C. All investments are subject to potential loss of principal....",a77248e12e393c1f,Quantitative Analyst,,,,17 days,2016-10-17 23:54:32.223639,Minneapolis
9,"Eden Prairie, MN","C.H. Robinson Worldwide, Inc.","Automating analyses and authoring pipelines via SQL and Python based ETL framework Experience in development and use of databases, data models, data marts or...",05d743ebda06991f,Data Scientist,,42.6,353,12 days,2016-10-17 23:54:32.223639,Minneapolis
10,"Golden Valley, MN",Honeywell,"With more than 127,000 employees worldwide, including more than 22,000 engineers and scientists, we have an unrelenting commitment to quality and delivering...",ab8344876f626d47,Intern/Research & Development Scientist,,44.4,3477,21 hours,2016-10-17 23:54:32.223639,Minneapolis
11,"Eagan, MN",Ecolab,Ecolab is looking for a talented data scientist to work in a start-up like in-house innovation hub chartered with creating big data analytics and data science...,82cbeb4e41de26f4,Data Scientist,,42.6,574,30+ days,2016-10-17 23:54:32.223639,Minneapolis
12,"Roseville, MN",Veritas Technologies,"An MS/PhD in Statistics, Machine learning or in a highly quantitative field 2+ years of related industrial experience Strong knowledge of Relational Data Base...",2930600fcf642197,Data Scientist,,40.8,15,30+ days,2016-10-17 23:54:32.223639,Minneapolis
13,"Eden Prairie, MN","C.H. Robinson Worldwide, Inc.","A data visualization engineer works collaboratively with data scientists, business stakeholders, and other developers to create data-driven visualizations to...",d906762ac6b5a32d,Data Visualization Engineer,,42.6,353,3 days,2016-10-17 23:54:32.223639,Minneapolis
14,"Minneapolis, MN 55426",General Mills,"Deep experience working with relational databases (Oracle, SQL) and Hadoop, comfortable in data manipulation on large data sets....",14d67d1537cf8299,Global Consumer Insights Data Scientist,,51.0,560,20 days,2016-10-17 23:54:32.223639,Minneapolis
15,"Minneapolis, MN",ICF Olson,"Go beyond performing the basic statistics, standard reporting, and advanced analytics and get to insights that really matter and can drive our strategic...",e249e8ad34771f99,Associate Director of Analytics,,,,20 days,2016-10-17 23:54:32.223639,Minneapolis
16,"Eden Prairie, MN",UnitedHealth Group,"Data Scientists and Data Scientists to discover business insights, identifies opportunities, and provides solutions and recommendations to solve business...",01c4163cd99ae9ba,"Principal Data Scientist - Eden Prairie, MN",,43.2,4188,13 days,2016-10-17 23:54:32.223639,Minneapolis
17,"Eden Prairie, MN",Genesis10,"Academic background in operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline (nice to have,...",0b0e28f9673fe861,Data Scientist,,51.0,27,3 days,2016-10-17 23:54:32.223639,Minneapolis
18,"Minneapolis, MN",TARGET,The Target Data Science and Engineering team is expanding our team of hard-working and talented Data Scientists and Engineers....,d277e9c8c4ebb9ba,Lead Data Scientist,,43.8,18700,10 days,2016-10-17 23:54:32.223639,Minneapolis
19,"Plymouth, MN",Cargill,This position leads a team of data scientists and other data related professionals who use all the leading advanced analytics techniques to develop solutions...,9e8e9c13adc4e779,Global Data Science Manager,,43.8,989,3 days,2016-10-17 23:54:32.223639,Minneapolis
20,"Maplewood, MN",3M,"Collect and prepare real world data for computer vision, machine learning, data science, probabilistic inference, and/or computational statistics applications....",fd2e9e616528e83b,Student Programs Internship - Data Scientist Intern (Maplewo...,,51.6,1414,25 days,2016-10-17 23:54:32.223639,Minneapolis
21,"Minneapolis, MN 55401 (North Loop area)",Calabrio, Ensure that machine learning applications are available to product via use of APIs.  Understand necessary data requirements to implement machine learning....,589036cb093e3133,Machine Learning Engineer,,,,30+ days,2016-10-17 23:54:32.223639,Minneapolis
22,"Saint Paul, MN",HealthEast,"Public health, statistics, data science, or information management, health outcomes research, biostatistics, data mining....",bb0a98c01d81bfac,Director Specialized Analytics,,,,10 days,2016-10-17 23:54:32.223639,Minneapolis
23,"Minneapolis, MN",KellyMitchell,Determine if the analytics use cases that we’ve defined can be achieved in the Big Data Platform environment. This role needs to bring experience and expertise...,05edd931a86ee6e6,Data Scientist,,44.4,28,18 days,2016-10-17 23:54:32.223639,Minneapolis
24,"Minneapolis, MN",ProteinSimple,The candidate will be a key member of a team of Field Applications Scientists responsible for providing pre- and post-sales applications and technical support...,5910e16ff3c27b1d,Field Application Specialist - Midwest,,,,5 hours,2016-10-17 23:54:32.223639,Minneapolis
25,"Mounds View, MN",inVentiv Health Clinical,"Generate Statistical Analysis Plans (SAP) working with the Clinical Project Manager and team for various types of clinical studies (Feasibility, Pre-Market,...",4303ec96980aecff,Statistical Analyst (Statistician) - 100912,,43.8,52,20 days,2016-10-17 23:54:32.223639,Minneapolis
26,"Richfield, MN",Horizontal Integration,Determine if the analytics use cases that we’ve defined can be achieved in the Big Data Platform environment. This role needs to bring experience and expertise...,13f0771b3b9d4812,Data Scientist,,,,18 days,2016-10-17 23:54:32.223639,Minneapolis
27,"Minneapolis, MN",WELLS FARGO BANK,Relevant military experience is considered for veterans and transitioning service men and women. Wells Fargo will consider qualified candidates with criminal...,6b91d07e04f23cc6,Research/Remediation Analyst 1,,43.8,13899,4 days,2016-10-17 23:54:32.223639,Minneapolis
28,"Minneapolis, MN",Bio-Techne,"Investigate and identify new research areas and technologies to support assay development (reading scientific journals, discussions with other scientists,...",2c3ef170e6aebf62,Scientist 1,,,,19 days,2016-10-17 23:54:32.223639,Minneapolis
29,"Saint Paul, MN",Infor,"Infor Retail's DEMAND Group is a talented group of data scientists and business consultants who use predictive analytics, technical, and business skills to help...",4d7b9659ae4988f9,Sr. Data Scientist,,42.6,61,30+ days,2016-10-17 23:54:32.223639,Minneapolis
30,"Golden Valley, MN",Honeywell,"Machine learning techniques to conduct insightful research and build systems that leverage image-, social-, or other-domain data....",9a35f504ffa5253c,Research Scientist IV – Computer Vision,,44.4,3477,24 days,2016-10-17 23:54:32.223639,Minneapolis
31,"Minneapolis, MN",University of Minnesota,"Duties for these positions include performing RNAseq and ChipSeq data analysis, data analyses of ongoing and completed clinical trials, analyses of cohort...",3efd03b5eeba4083,Research scientist for bioinformatics,,52.199997,378,6 days,2016-10-17 23:54:32.223639,Minneapolis
32,"Maplewood, MN",3M,"Collect and prepare real world data for computer vision, machine learning, data science, probabilistic inference, and/or computational statistics applications....",d0f9978c7e30d1c7,"Computer Vision Data Scientist (Maplewood, MN) Job",,51.6,1414,30+ days,2016-10-17 23:54:32.223639,Minneapolis
33,"Minneapolis, MN 55401 (North Loop area)",When I Work,"Exploring When I Work data -- lots of different data streams to seek out trends, business intelligence, and any other key insights that will help the business...",4f83c738091eb9f4,Business Analyst & Data Hacker,,,,30+ days,2016-10-17 23:54:32.223639,Minneapolis
34,"Minneapolis, MN",Amaris,"Manage and coach project team members. HEOR Services include studies covering epidemiology, measuring the impact of a pathology, clinical and economic...",29fb62e625ae3d60,Lead statistical analyst in health economics,,,,16 days,2016-10-17 23:54:32.223639,Minneapolis
35,"Minneapolis, MN 55417 (Wenonah area)",Minneapolis VA Health Care System,"Epidemiology, biostatistics, experimental psychology) to provide expert consultation to clinical faculty, staff and trainees at the Minneapolis VA Health Care...",3ab1058eb487ddde,Research Statistician,,52.800003,3,30+ days,2016-10-17 23:54:32.223639,Minneapolis
36,"Eden Prairie, MN",UnitedHealth Group,"Make the health system work better for everyone. And lifestyle choices or manage pharmacy benefits for millions, our first goal....",3cb91013e825bff7,"Marketing Research Analyst - Eden Prairie, MN",,43.2,4188,4 days,2016-10-17 23:54:32.223639,Minneapolis
37,"Minneapolis, MN",U.S. Bank,"Experience coding in C++, C#, .Net, java or with a scientific computing language such as Matlab, R, etc. Strong data mining skills (i.e....",633b2acaec2db3e4,CVA Quantitative Analyst,,43.2,2961,30+ days,2016-10-17 23:54:32.223639,Minneapolis
38,"Saint Paul, MN 55101",Metropolitan Council,This would include supporting data scientists applying and deploying machine learning models on huge amounts of stored unstructured data....,e5ff710a392c8321,Data Officer,$41.01 - $58.18 an hour,43.8,13,30+ days,2016-10-17 23:54:32.223639,Minneapolis
39,"Plymouth, MN",Honeywell,This is an outstanding opportunity for a graduate student who will work with scientists on applied research in the area of optical systems and atmospheric...,f6f5c8f157c67498,Intern/Navigation Sensing Technologies,,44.4,3477,3 days,2016-10-17 23:54:32.223639,Minneapolis
40,"Eagan, MN",Thomson Reuters,"Seek out opportunities to improve our data infrastructure and processes, from data acquisition, through data quality and governance, to data visualization....",9835e8cefa94529f,Data Scientist,,51.0,1256,30+ days,2016-10-17 23:54:32.223639,Minneapolis
41,"Minneapolis, MN",Polaris Industries,"Experience with various data types, predictive analytics, statistical methods, and data visualization. Manage all of Polaris’ global product safety and quality...",e1790b398c0bc65b,"Manager, Post Sales Data Analytics & Management",,51.0,58,26 days,2016-10-17 23:54:32.223639,Minneapolis
42,"Saint Paul, MN",State of Minnesota,"Large health care claims data stored in complex data warehouse systems. Duties include developing and executing studies of health care performance and outcomes,...",94a0665e7c57563d,Research Scientist 3,$29.00 - $43.13 an hour,43.8,104,17 days,2016-10-17 23:54:32.223639,Minneapolis
43,"Eden Prairie, MN","INSYS Group, Inc",This is ahigh visibility project leveraging Microsoft's PDW appliance and SQL Server technology. Test Data Warehouses/Data Marts....,15bb724500924e51,Data Analysis/Metadata,,,,30+ days,2016-10-17 23:54:32.223639,Minneapolis
44,"Plymouth, MN",The Sterling Group,Share knowledge and insights with the team to ensure peers and co-workers are aware of survey best practices and standards and to ensure increased efficiency...,f644f3f26f383fdb,Survey Research Analyst,,,,27 days,2016-10-17 23:54:32.223639,Minneapolis
45,"Minneapolis, MN",Zinger Solutions,"Data Scientists leverage data visualization (KNIME, RapidMiner, Tableau, Spotfire, etc.), and analytic tools (R, Python, C++, Java, Scala, etc.)....",710ba160e3d4cb9c,Data Analytics Manager/BI,,,,30+ days,2016-10-17 23:54:32.223639,Minneapolis
46,"Minneapolis, MN",U.S. Bank,"Basic knowledge in SAS and SQL skills for the data collection, analysis and manipulation with exposure to large data sets....",5991f83b466320aa,ALM Quantitative Analyst,,43.2,2961,30+ days,2016-10-17 23:54:32.223639,Minneapolis
47,"Bloomington, MN",The Advisory Board Company,We will be visiting several colleges and universities across the country. Connect with us! See the calendar here . The Advisory Board Company is an,3c0c57dcb2df18f3,"Intern, Client Data Analysis (Summer 2017)",,42.6,69,26 days,2016-10-17 23:54:32.223639,Minneapolis
