,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Philadelphia, PA",MeetMe,"Experience in data mining, machine learning, statistics, business analytics, and computational linguistics would be invaluable....",bb77d2f82fe66365,Data Scientist/Big Data Engineer,,,,4 days,2016-10-17 21:23:35.625409,Philadelphia
1,"Philadelphia, PA",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist to join our...",37bde6fcc81a7c37,Data Scientist,,51.0,1768,3 days,2016-10-17 21:23:35.625409,Philadelphia
2,"Plymouth Meeting, PA",QuintilesIMS,"Apply machine learning, data mining technologies in developing innovative solutions in pharmaceutical industry....",6d914185bb0803d7,Data Scientist,,44.4,439,2 days,2016-10-17 21:23:35.625409,Philadelphia
3,"Philadelphia, PA",University of Pennsylvania,"Responsible for computational analysis of clinical data and biomedical research data using artificial intelligence (AI), machine learning (ML), and visual...",707b9b2159f3977d,DATA SCIENTIST,,52.199997,284,16 days,2016-10-17 21:23:35.625409,Philadelphia
4,"Philadelphia, PA 19104 (Belmont area)",Children's Hospital of Philadelphia,The Data Scientist I in The Children’s Hospital of Philadelphia’s Department of Biomedical and Health Informatics will perform exploratory data analysis with an...,49b388647394c872,DBHi Data Scientist I,,52.199997,263,6 days,2016-10-17 21:23:35.625409,Philadelphia
5,"Philadelphia, PA",Temple University,"The Data Scientist/Developer, reporting to the University Registrar, will support Enrollment Management’s strategic planning activities and goals by researching...",13dc86265f7d5110,Data Scientist/Developer,,52.199997,210,5 days,2016-10-17 21:23:35.625409,Philadelphia
6,"Malvern, PA",Siemens,"Proven success as data scientist/architect working with large data sets, preferably health data, and using analytics to drive growth of a service/product....",c48bf63f1a69718b,Data Scientist,,51.6,4063,15 days,2016-10-17 21:23:35.625409,Philadelphia
7,"Philadelphia, PA",University of Pennsylvania,"Key services to coordinate include clinical data access, data cleaning and quality control, and the use of artificial intelligence (AI), machine learning (ML),...",1411f3f8649e6ba5,DATA SCIENTIST NAVIGATOR,,52.199997,284,16 days,2016-10-17 21:23:35.625409,Philadelphia
8,"Philadelphia, PA",Susquehanna International Group,"You will be responsible for making our existing trading strategies better by applying your background, experience, and intuition to our data, driving our next...",7e6a09ccfd77ea12,Options Quantitative Analyst,,51.0,9,3 days,2016-10-17 21:23:35.625409,Philadelphia
9,"Philadelphia, PA 19104 (Belmont area)",Children's Hospital of Philadelphia,Must have minimum two years experience with clinical databases and clinical research. Participate in clinical research in disease and in other activities to...,fdbc67754b80655e,Research Data Analyst,,52.199997,263,6 days,2016-10-17 21:23:35.625409,Philadelphia
