,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Pittsburgh, PA",The University of Pittsburgh,"Regression modeling, machine learning, data mining, clustering). The Data Scientist will work in the Office of Provost to improve existing data management...",19f47d679443e8a2,Data Scientist,,52.800003,279,13 days,2016-10-18 00:09:07.192616,Pittsburgh
1,"Pittsburgh, PA",Uber Technologies,"A degree in a machine learning related discipline -- positions are available at the PhD, MS, and BS levels. Machine learning areas of special interest include:....",7030fe6113c27c7e,Data Scientist,,51.0,160,29 days,2016-10-18 00:09:07.192616,Pittsburgh
2,"Pittsburgh, PA 15220",Merkle Inc.,Ability to discover hidden insights or complex patterns through advanced multi-variate data mining techniques on un-structured business problems....,6e8b2e7cbb97d3df,Advanced Analytics – Statistician,,42.0,2,14 days,2016-10-18 00:09:07.192616,Pittsburgh
3,"Pittsburgh, PA",Highmark Health,"Master's Degree - Engineering, Applied Statistics, Data Mining, Machine Learning, Physics or other quantitative disciplines....",576b928da86533f2,Data Scientist,,,,26 days,2016-10-18 00:09:07.192616,Pittsburgh
4,"Pittsburgh, PA 15222 (Strip District area)",CompuGain,Experience in most facets of project lifecycle; 3 to 6 years experience. Document and identify gaps in IT and business processes through process mapping to...,06af91d06f6c4d18,Data Scientist,,52.800003,8,26 days,2016-10-18 00:09:07.192616,Pittsburgh
5,"Pittsburgh, PA",Qeexo,"Our company brings together a unique combination of expertise in human computer interaction, machine learning, and hardware integration to create revolutionary...",ea92d4a088537d4c,"Machine Learning Engineer, Implementation",,,,10 days,2016-10-18 00:09:07.192616,Pittsburgh
6,"Pittsburgh, PA",Highmark Health,"Master's Degree - Engineering, Applied Statistics, Data Mining, Machine Learning, Physics or other quantitative disciplines....",fdaaa6b0c14d6fef,Data Scientist (Advanced Analytics),,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
7,"Pittsburgh, PA",Health Fidelity,"Using groundbreaking NLP and analytics technology, Health Fidelity’s risk adjustment solution is changing the way risk is identified, quantified and managed for...",d7b8192c8ed6599f,Data Scientist,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
8,"Pittsburgh, PA",AECOM,"AECOM is seeking a Material Research Scientist 3 for our Pittsburgh, PA location. An area with significant mileage of gathering pipelines within state-owned...",d59d3b6802e069ac,Material Scientist 3,,43.2,1807,3 hours,2016-10-18 00:09:07.192616,Pittsburgh
9,"Pittsburgh, PA",Highmark Health,"Master's Degree - Engineering, Applied Statistics, Data Mining, Machine Learning, Physics or other quantitative disciplines....",6087f8d261fbac5e,Data Scientist Opportunities,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
10,"Pittsburgh, PA 15219 (Middle Hill area)",UPMC,"Apply state-of-the-art techniques (data mining, machine learning, artificial intelligence, core mathematical-modeling and dynamic processing to data...",9d1c501f1a7f8483,"Data Scientist, TDC",,42.6,397,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
11,"Pittsburgh, PA 15219 (Middle Hill area)",BNY Mellon,The candidate must have excellent scientific and technical documentation skills. Compliance helps ensure BNY Mellon's businesses maintain appropriate processes...,f76289392129ff00,Jr Quantitative Risk Analyst,,42.6,1559,18 days,2016-10-18 00:09:07.192616,Pittsburgh
12,"Pittsburgh, PA",Amazon Corporate LLC,"Solid Machine Learning background and familiar with standard speech and machine learning techniques. Amazon is looking for a passionate, talented, and inventive...",49b821ed0a60ca3a,"Machine Learning Scientist, Amazon Echo",,43.2,9619,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
13,"Pittsburgh, PA",Google,"1 year of relevant work experience (i.e., data scientist role), including deep expertise and experience with statistical data analysis such as linear models,...",6bd54c96ea9059a2,"Data Scientist / Quantitative Analyst, Engineering",,52.800003,1219,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
14,"Pittsburgh, PA",SAS Institute,"In this position you will with work with other developers, data scientists and application system engineers to create internal and external software products...",4910b876e31bd55c,"Full Stack Engineer, Applied Data Science & Forward Engineer...",,51.0,70,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
15,"Pittsburgh, PA 15219 (Middle Hill area)",BNY Mellon,"The candidate must have excellent scientific and technical documentation and presentation skills, assertiveness & influencing skills, and the skills to explain...",f7a879c61b1a61db,Quantitative Risk Analyst,,42.6,1559,20 days,2016-10-18 00:09:07.192616,Pittsburgh
16,"Pittsburgh, PA",Innovu,"Experience working ‘hands-on’ with health care claims data and/or other types of health care data. A passionate, collaborative professional with several years...",98945ff12c1e6e02,"Director, Data Science",,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
17,"Pittsburgh, PA",The University of Pittsburgh,The Senior Research Data Analyst will perform complex statistical analyses and interpretation of results as well as assist with grant preparation and draft...,aa7f5cc2d6bf76b1,Senior Research Data Analyst,,52.800003,279,10 days,2016-10-18 00:09:07.192616,Pittsburgh
18,"Pittsburgh, PA",TARGET,The Target Pittsburgh Strategy and Innovation office is expanding our team of hard-working and talented Data Scientists and Engineers....,bc101eb2d83276d1,Lead Data Scientist - Pittsburgh,,43.8,18700,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
19,"Pittsburgh, PA",Celtic Healthcare,"Expertise in statistical modeling, machine learning, predictive analytics, and/or data mining algorithms. Be passionate about applying data analytics to real...",b3cf605f05f02f68,"Associate Data Scientist - Full Time- Pittsburgh, PA",,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
20,"Pittsburgh, PA",Qeexo,"Ideal Candidate A proven track record of academic and/or industry experience in fields related to machine learning and signal processing, particularly in...",51bea36f07379090,Machine Learning Engineer,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
21,"Pittsburgh, PA 15213 (North Oakland area)",Software Engineering Institute,"Recent grads with a passion for machine learning, stats, and/or data science are encouraged to apply. Core competencies include fluency in statistical theory...",66366d4fe8781804,Machine Learning Research Scientist -2001624,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
22,"Pittsburgh, PA 15222 (Strip District area)",kWantera,"The Data Scientist will be an integral part of our energy analytics team, therefore, responsible for:. KWantera is looking for an Energy Data Scientist to...",30378db1232b2dd4,Energy Data Scientist,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
23,"West Mifflin, PA 15122",BMPC,"A range of highly skilled scientists and engineers to. Trending, and reporting of chemistry data. A minimum of two years of relevant experience;...",c8a2776477d7e189,Entry Level Software Programmer/Developer,,40.8,11,16 days,2016-10-18 00:09:07.192616,Pittsburgh
24,"Pittsburgh, PA",AECOM,Development of advanced data analytics for interpreting muti-parameter sensor data for complex high temperature gas streams....,7bf357cb6fcb019e,R&D Scientist 4,,43.2,1807,14 days,2016-10-18 00:09:07.192616,Pittsburgh
25,"Pittsburgh, PA","Federated Investors, Inc.","Manipulate, analyze and display data using spreadsheets, applications and programs. Offers a competitive salary and benefits package along with a professional...",811dd654b8fb8c86,ASSOCIATE QUANTITATIVE ANALYST,,,,4 days,2016-10-18 00:09:07.192616,Pittsburgh
26,"Pittsburgh, PA 15208 (Homewood South area)",ChemImage Corporation,Experience with adapting algorithms for real-world data. Optimize algorithms to overcome challenges presented by real-world data....,21dbdfd407252884,Computer Vision Scientist,,,,10 days,2016-10-18 00:09:07.192616,Pittsburgh
27,"Pittsburgh, PA 15241",Accion Labs,Deep knowledge of statistical and machine learning approaches and problem domains. We are looking for a machine learning expert who loves working with sensor...,b140366c0cc459ca,Machine Learning Engineer,,39.0,2,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
28,"Pittsburgh, PA",The University of Pittsburgh,"Our missions are to maintain excellence in patient care, to provide innovations in the education and training of future physicians and clinical scientists, and...",a666094509d50392,Clinical Research Program Coordinator,"$40,092 - $65,676 a year",52.800003,279,6 days,2016-10-18 00:09:07.192616,Pittsburgh
29,"Alcoa Center, PA",ALCOA,"MS degree in Statistics, Biostatistics, Data Science, Data Analytics, Machine Learning, Industrial Engineering from an accredited institution....",b3c1e82ebbf45081,Sr. Statistical Scientist,,51.0,971,10 days,2016-10-18 00:09:07.192616,Pittsburgh
30,"Pittsburgh, PA",The University of Pittsburgh,"This individual will be responsible and proactive in their position serving a team of up to 20 research scientists, statisticians, and research assistants...",d56d779db50b23bf,Systems Administrator/Programmer Analyst,,52.800003,279,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
31,"Pittsburgh, PA 15222 (Strip District area)",PPG Industries,"Network effectively and collaborate with other scientists and engineers across R&D, manufacturing, academia and industry....",ddd836a0a9b5ec99,Research Chemist / Associate - OEM Decorative Automotive,,42.0,447,19 hours,2016-10-18 00:09:07.192616,Pittsburgh
32,"Pittsburgh, PA 15213 (North Oakland area)",UPMC,"Works effectively with an interdisciplinary team scientists, physicians, genetic counselors. The analyst participates in clinical test development, validation...",72adf4f04562861e,Genome Bioinformatics Analyst,,42.6,397,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
33,"Pittsburgh, PA",The University of Pittsburgh,"The CCR is comprised of a diverse team of clinicians, basic scientists, and clinical researchers, and is a joint center between the SDM and the McGowan...",514209e99a15b1e2,Research Technician,"$30,732 - $49,296 a year",52.800003,279,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
34,"Pittsburgh, PA 15213 (North Oakland area)",Software Engineering Institute,"Ability to implement project plans, monitor project budgets, and identify and mitigate project risks. Data analytics and quantitative measures....",8f123dec9b9d37ce,Cyber Security Engineer - Penetration Tester - 2004186,,,,16 days,2016-10-18 00:09:07.192616,Pittsburgh
35,"Pittsburgh, PA 15222 (Strip District area)",UPMC,"Implements plans for capturing and creating new data elements, working with Health Plan CIO and IT staff....",c36dee65d6b652fa,Scientist,,42.6,397,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
36,"Pittsburgh, PA",Uber Technologies,"A degree in a machine learning related discipline -- positions are available at the PhD, MS, and BS levels. Machine learning areas of special interest include:....",0df8e4c27ce56c44,Machine Learning Specialist,,51.0,160,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
37,"Pittsburgh, PA",The University of Pittsburgh,"Their research interests span the breadth of neuroscience, and a number of concentration areas involve diverse groups of scientists....",f493a2386810a03b,CNUP Assistant,"$18,252 - $28,392 a year",52.800003,279,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
38,"Pittsburgh, PA 15238",Cook Myosite Inc.,A scientific and regulatory-based understanding of clinical practice and clinical protocol compliance. The Regulatory Affairs Scientist will work closely with...,8ca10956b3472a56,Regulatory Affairs Scientist,,,,14 days,2016-10-18 00:09:07.192616,Pittsburgh
39,"West Mifflin, PA 15122",BMPC,"Engineers and scientists to support and design. With electronic data transmission capability. Health, and proactively managing hardware....",3ecfeb9fb5356f4b,Chemical Engineer - Reactor Coolant Technology,,40.8,11,25 days,2016-10-18 00:09:07.192616,Pittsburgh
40,"Pittsburgh, PA",The University of Pittsburgh,"Perform primary statistical analyses of Program Project data, using analytic algorithms of major statistical packages ( SPSS , SAS , and R languages);...",e9d6413858f8faaa,Program Statistician,"$30,732 - $49,296 a year",52.800003,279,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
41,"Pittsburgh, PA",Aquion Energy,"Principal Electrochemical Scientist. Proven record of scientific publications. Use effective communication tools, including powerpoint and Microsoft Project,...",9003598bcb1b71a1,Principal Scientist,,42.0,2,6 days,2016-10-18 00:09:07.192616,Pittsburgh
42,"Canonsburg, PA 15317",Mylan,"Be the Subject Matter Expert for the big data practices & concepts including Hadoop, analytics/cognitive suites, streaming analytics, IoT, NoSQL, data...",2e0b228245ab78df,"Senior Manager, Big Data",,44.4,341,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
43,"Pittsburgh, PA 15219 (Middle Hill area)",UPMC,"Success in this role requires expertise in advanced analytics and research methods, demonstrated broad-based business and health economics acumen, and the...",8d71aacec20cbefe,"Sr Advisor, Health Economics",,42.6,397,6 days,2016-10-18 00:09:07.192616,Pittsburgh
44,"Pittsburgh, PA",General Dynamics Mission Systems,"Qualified candidates will have an advanced degree in Computer Science, Software Engineering, Artificial Intelligence, Computer Engineering, and/or another...",dee0daffa49a4625,Principal Investigator / Principal Engineer,,43.2,151,3 days,2016-10-18 00:09:07.192616,Pittsburgh
45,"Pittsburgh, PA 15237","The Minerals, Metals & Materials Society",High degree of comfort in working with scientists and engineers. Develop and manage all aspects of an annual fundraising plan through coordinating with...,e5f6debc681b485e,Donor Relations and Major Gifts Developer,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
46,"Pittsburgh, PA 15219 (Middle Hill area)",UPMC,"The Associate Scientist works collaboratively with the Scientist to develop, implement, and monitor advanced analytic, medical informatics, and predictive...",3b8b501264eec3f1,Associate Scientist,,42.6,397,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
47,"Pittsburgh, PA 15209",SimulStat's Client,"Bachelor's or Master's Degree (preferred) in Computer Science, Statistics, Applied Mathematics, Life Sciences, Engineering • BA/BS plus 9-12 years or MA/MS plus...",2b784ed51dfe55a3,Lead Statistical Programmer- Contract,,,,1 day,2016-10-18 00:09:07.192616,Pittsburgh
48,"Pittsburgh, PA",The University of Pittsburgh,"The PHDL includes over 40 faculty and staff, including epidemiologists, biostatisticians, behavioral scientists, public health policy experts and computational...",3adcdcf0ee45a861,Systems Programmer,"$46,644 - $76,440 a year",52.800003,279,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
49,"Pittsburgh, PA 15208 (Homewood South area)",ChemImage Corporation, Presents on-going work and research to fellow team members as well as at scientific meetings and conferences.  Past project management experience a plus....,08e8f06f26c953d0,Scientist,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
50,"Pittsburgh, PA",GNC - General Nutrition Centers,"Through this interaction, this role should be sure to communicate project challenges and ensure success of project through accurate and achievable commitments....",45ca8ceaaa54794b,Product Development Manager,,42.6,1293,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
51,"Pittsburgh, PA 15219 (Middle Hill area)",BNY Mellon,"Our data scientists are typically using R and python. On the technical side, you will bring strong database and sql skills, including data mining, tuning and...",59ad304c4504089d,"Principal Developer - Database (Vertica, Big Data)",,42.6,1559,2 days,2016-10-18 00:09:07.192616,Pittsburgh
52,"Pittsburgh, PA","Voci Technologies, Inc.","You will work collaboratively with developers, application engineers, scientists, sales, and web design experts to make our products easier to use, support and...",cd4fb728f4c4a88e,Technical Writer,,,,26 days,2016-10-18 00:09:07.192616,Pittsburgh
53,"Pittsburgh, PA",Disney Parks & Resorts,This position conducts research on topics relevant to Disney Research in collaboration with the Research Scientists....,3f49aa27ad7b0d52,PH-R&D Postdoctoral Associate (DRP),,52.800003,3003,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
54,"Pittsburgh, PA 15219 (Middle Hill area)","Cernostics, Inc",The purpose of the Associate Scientist/Laboratory Technician is to assist with clinical and research duties related to tissue-based cancer diagnostic testing....,46858fe6aefdc87f,Laboratory Technician/ Associate Scientist,,,,7 days,2016-10-18 00:09:07.192616,Pittsburgh
55,"Pittsburgh, PA",Amazon Corporate LLC,Strong data analysis skills. Leader of Technology for our growing Machine Translation and Learning Platforms (MTLP) group....,c8006ea5d3843390,Sr. Leader - Machine Translation and Learning Platforms,,43.2,9619,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
56,"Baden, PA",Underwriters Laboratories,"Ability to collaborate with peers, and work directly with Research Scientists and other team members in order to complete a project from start to finish....",911c36c88b1835b3,Research Engineer - Wind Modeling,,43.8,70,20 days,2016-10-18 00:09:07.192616,Pittsburgh
57,"McMurray, PA","Data Science Automation, Inc.","We apply adaptive automation technology to acquire, analyze, present and manage data; Engineering systems integration including data acquisition,...",8da763c401828229,Entrepreneurial Engineering with LabVIEW,,,,12 days,2016-10-18 00:09:07.192616,Pittsburgh
58,"West Mifflin, PA 15122",BMPC,"Engineers and scientists to develop, implement, and. This position requires the ability to evaluate data,. This position requires project management skills to....",04afc40b93928df2,Radiochemistry Fleet Support Engineer/Scientist,,40.8,11,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
59,"Pittsburgh, PA 15208 (Homewood South area)",ChemImage Corporation," Prepares internal research reports, may prepare manuscripts for publication and present findings at scientific meetings....",0415d4ea7dc5cda3,Senior Biomedical Scientist,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
60,"Pittsburgh, PA 15213 (North Oakland area)",Software Engineering Institute,"Analytics, data mining, machine learning, knowledge discovery; Develop and manage research scientists. And programmatic and project management skills (e.g.,...",7526cc8bbce49c68,Senior Research Scientist - Research Group Lead - 2003869,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
61,"Pittsburgh, PA",All-In Analytics,"Experience with data mining, discovery, classification, transformation, and visualization. Knowledge of machine learning is preferred....",048d0732696a7036,Senior Statistician,"$53,000 - $98,000 a year",,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
62,"Export, PA 15632","Civil & Environmental Consultants, Inc.","Ability to manage multiple simultaneous aspects of projects independently; 7+ years experience in environmental compliance, including preparing SWPPP and SPCC...",0c1e22dbf9ba425c,Environmental Engineer / Scientist Project Manager,,,,24 days,2016-10-18 00:09:07.192616,Pittsburgh
63,"Pittsburgh, PA",Qeexo,Leading our engineering team and helping to ensure they can be as efficient and productive as possible Managing the multiple work streams our Machine Learning...,0f1d453b29ad1858,"Director, Machine Learning",,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
64,"Pittsburgh, PA 15208 (Homewood South area)",ChemImage Corporation,"Conducts experiments, evaluates/interprets data (including statistical analyses), records/verifies/replicates results and reports findings....",34c5ab81ddd71b0d,BioMed Scientist,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
65,"Export, PA","E.A. Fischione Instruments, Inc.",The successful applicant will be an integral part of our sales team as you learn valuable sales and technology skills at a highly successful and innovative...,0ff88d97cf52348a,Technical Sales Representative - Scientific Instrumentation,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
66,"Pittsburgh, PA 15231",The Allegheny County Airport Authority Airport,Airport Authority Airport has a position opening for a Data Research Analyst at the Pittsburgh. The Allegheny County....,83f520dd986a8175,DATA RESEARCH ANALYST,,,,16 days,2016-10-18 00:09:07.192616,Pittsburgh
67,"Pittsburgh, PA 15238","Skelly and Loy, Inc.","Download/upload data from field monitoring instruments. Some project travel will be involved. Experience preparing Spill Prevention, Control and Countermeasures...",48054a0279d5ac10,Environmental Scientist,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
68,"Pittsburgh, PA 15213 (North Oakland area)",Software Engineering Institute,"Analytics, data mining, machine learning, knowledge discovery; Conducting research and applying scientific methods;...",9b259a8469dc5803,Senior Research Scientist - 2002838,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
69,"Alcoa Center, PA",ALCOA,Accountable for defining project plans and completion of individual projects. This position is subject to the International Traffic in Arms Regulations (ITAR)...,fcd2fb077dec9746,Senior Colloidal Scientist,,51.0,971,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
70,"Pittsburgh, PA 15213 (North Oakland area)",University of Pittsburgh Graduate School of Public...,"Diverse and inclusive, University of Pittsburgh educates medical students, scientists, health care professionals and the public;...",edf3f6aa90c6878b,POST-DOCTORAL POSITION IN POPULATION NEUROSCIENCE OF AGING,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
71,"Pittsburgh, PA",Adecco: USA,Work with product development team of scientists and engineers to product software for flow cytometer. Integration of algorithms & mathematical functions for...,9232553d89112bca,Software Developer,,44.4,10,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
72,"Blawnox, PA",KA Hamilton & Associates,Degree in computer engineering/computer science or related field with emphasis on machine learning/predictive analytics is required....,180861c26662075a,Manager Predictive Algorithms,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
73,"Bridgeville, PA",SWCA Environmental Consultants,"SWCA is an employee-owned company of environmental scientists and professionals who specialize in natural and cultural resource management, environmental...",84a52da2ad96a102,Cultural Resources Technician,,40.8,12,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
74,"Pittsburgh, PA 15222 (Strip District area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",4f5d86213fd4192f,Environmental Sciences / GIS Technician,,51.0,122,27 days,2016-10-18 00:09:07.192616,Pittsburgh
75,"Pittsburgh, PA","Beckman Coulter, Inc.","For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying...",57d2e624310f1c8b,Field Service Engineer,,42.6,245,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
76,"West Mifflin, PA 15122",BMPC,A multi-disciplined team of engineers and scientists to. Chemistry data trends and abnormal conditions. University and a minimum of two years of relevant....,af184333cc7d3a0f,Steam Plant Chemistry Chemist,,40.8,11,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
77,"Township of Moon, PA",Michael Baker International,"Geotechnical engineers and scientists. Analysis/Documentation, including field data collection. Planning and environmental phases of the project development....",f3816e393dcaea98,Environmental Associate,,40.2,14,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
78,"Pittsburgh, PA 15213 (North Oakland area)",Software Engineering Institute,"Ability to implement project plans, monitor project budgets, and identify and mitigate project risks. Data Analytics and quantitative measures....",1d1323359e0cfdec,Senior Cyber Security Engineer - 2004113,,,,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
79,"Pittsburgh, PA",WSP | Parsons Brinckerhoff,"Â€¢Prepare site Health and Safety Plans (HASPs), and demonstrate the ability to implement safe work practices in the field in accordance with the HASP and other...",c1ac11cd83b377fa,Hydrogeologist/Geologist,,51.0,5,10 days,2016-10-18 00:09:07.192616,Pittsburgh
80,"Township of Cranberry, PA",Kleinfelder,The group has industry leaders and the office has various types of engineers and scientists to coordinate with and learn from on a daily basis....,8a645f5731a1fac6,Corrosion Control Technician (NACE CP2 Cathodic Protection C...,,40.2,38,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
81,"Township of Moon, PA",Michael Baker International,"Geotechnical engineers and scientists. Documentation, including field data collection. Including the ability to manage public involvement programs and....",3256b6635f37768c,Environmental Specialist,,40.2,14,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
82,"Township of Cranberry, PA",Kleinfelder,The group has industry leaders and the office has various types of engineers and scientists to coordinate with and learn from on a daily basis....,8a645f5731a1fac6,Corrosion Control Technician (NACE CP2 Cathodic Protection C...,,40.2,38,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
83,"Township of Moon, PA",Michael Baker International,"Geotechnical engineers and scientists. Documentation, including field data collection. Including the ability to manage public involvement programs and....",3256b6635f37768c,Environmental Specialist,,40.2,14,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
84,"Township of Cranberry, PA",Kleinfelder,The group has industry leaders and the office has various types of engineers and scientists to coordinate with and learn from on a daily basis....,8a645f5731a1fac6,Corrosion Control Technician (NACE CP2 Cathodic Protection C...,,40.2,38,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
85,"Township of Moon, PA",Michael Baker International,"Geotechnical engineers and scientists. Documentation, including field data collection. Including the ability to manage public involvement programs and....",3256b6635f37768c,Environmental Specialist,,40.2,14,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
86,"Township of Cranberry, PA",Kleinfelder,The group has industry leaders and the office has various types of engineers and scientists to coordinate with and learn from on a daily basis....,8a645f5731a1fac6,Corrosion Control Technician (NACE CP2 Cathodic Protection C...,,40.2,38,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
87,"Township of Moon, PA",Michael Baker International,"Geotechnical engineers and scientists. Documentation, including field data collection. Including the ability to manage public involvement programs and....",3256b6635f37768c,Environmental Specialist,,40.2,14,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
88,"Township of Cranberry, PA",Kleinfelder,The group has industry leaders and the office has various types of engineers and scientists to coordinate with and learn from on a daily basis....,8a645f5731a1fac6,Corrosion Control Technician (NACE CP2 Cathodic Protection C...,,40.2,38,30+ days,2016-10-18 00:09:07.192616,Pittsburgh
