,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Portland, OR 97201 (Homestead area)","Worksystems, Inc.",Worksystems is currently recruiting for a dynamic and enthusiastic *Research and Data Analyst*. Worksystems is an award-winning nonprofit organization serving...,dbf61ed8e6481e1f,research and Data Analyst,,,,4 days,2016-10-18 00:10:23.171675,Portland
1,"Portland, OR 97232 (Kerns area)",The Standard,"Manages advanced analytic projects, data mining and statistical modeling operation to identify underlying trends and patters to promote informed business...",f240d8b8da5a6116,Director Advanced Analytics,,43.8,85,30+ days,2016-10-18 00:10:23.171675,Portland
2,"Portland, OR",comScore,"Associate Data Scientist. Knowledge of data mining and software applications. Manager, Data Science. Develop and execute test cases to ensure data requirements...",92ac41404361581e,Associate Data Scientist,,42.6,30,30+ days,2016-10-18 00:10:23.171675,Portland
3,"Beaverton, OR",Nike,"As a Data Science Intern, you will collaborate with a team of data scientists and business analytics managers to enhance and execute high-impact advanced...",5e6e53dcafeb8392,Data Scientist Intern Nike,,52.199997,2565,23 days,2016-10-18 00:10:23.171675,Portland
4,"Portland, OR",comScore,"Senior Data Scientist. Take ownership in outlining, estimating, and documenting own project steps, and independently manage projects from data analysis through...",afabc85ba6422edb,Senior Data Scientist,,42.6,30,30+ days,2016-10-18 00:10:23.171675,Portland
5,"Portland, OR",GNS Healthcare,"In epidemiology, public health or health economics with a strong algorithmic inclination and extensive experience applying machine learning healthcare data....",30989fc740368e4e,Data Scientist,,,,30+ days,2016-10-18 00:10:23.171675,Portland
6,"Portland, OR 97223",Vesta Corporation,Perform case studies of fraudulent transactions and escalate to Analytic Scientists for further actions. Knowledge of SQL development preferred....,625d5fa1bfc7b055,Fraud Analyst,,40.2,31,10 days,2016-10-18 00:10:23.171675,Portland
7,"Portland, OR",Cambia Health,"Our Data Scientists design, develop, and implement data-driven solutions using machine learning technologies and advanced statistical analyses....",9656f2844cdc28f2,Data Scientist,,52.199997,12,30+ days,2016-10-18 00:10:23.171675,Portland
8,"Portland, OR",adidas,"Ability to work on individual projects to pull insights out for the larger project team. The adidas Future team is a very talented group of Sports Scientists,...",feb74051d9c78b62,2017 Sports Science Internship- Future Team,,51.0,1333,1 day,2016-10-18 00:10:23.171675,Portland
9,"Portland, OR",Oregon Health & Science University,"Masters degree with major courses in relevant field and 3 years of work experience as a computational biologist, bioinformatician, biostatisticial,...",db190c38cec6c719,Computational Biologist,"$83,000 a year",51.6,111,13 days,2016-10-18 00:10:23.171675,Portland
10,"Portland, OR",CDK Global,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",4e36c6afe99801f7,Oracle Database Engineer II - 1956,,41.4,74,19 days,2016-10-18 00:10:23.171675,Portland
11,"Beaverton, OR",TransCore,"Working closely with product teams and data scientists to determining how to capture, persist and maintain data....",b8e0844ec47c8494,Data Engineer,,42.6,104,30+ days,2016-10-18 00:10:23.171675,Portland
12,"Portland, OR",Portland State University,"Experience using Banner, COGNOS or other business intelligence systems, data mining tools, or analytics for decision support....",e1fb65d7e63db83d,Research Data Analyst,"$58,000 - $62,000 a year",52.199997,86,5 days,2016-10-18 00:10:23.171675,Portland
13,"Portland, OR",Simple Finance,"A strong background in data visualization and presenting data to executives. Experience managing analytics, business intelligence, data science or decision...",d722167f5cae10cd,Decision Scientist,,,,10 hours,2016-10-18 00:10:23.171675,Portland
14,"Beaverton, OR",Nike,Work with data scientists and data analysts on optimal data structures for efficiency of analysis. Nike’s Global Consumer Knowledge Center of Excellence is a...,3c581651c3fca1d6,Data Platform Product Manager Nike,,52.199997,2565,8 days,2016-10-18 00:10:23.171675,Portland
15,"Portland, OR",Umpqua Bank,"Experience with analytics software (SAS, R, SPSS, Matlab, Excel VBA, SQL), relational databases and/or ‘Big Data’ technologies....",f35bcfc12cfab69e,Model Risk Analyst - Portland,,43.8,88,26 days,2016-10-18 00:10:23.171675,Portland
16,"Portland, OR 97225 (West Slope area)",Apple,The ideal candidate will have deep expertise in at least one machine learning specialization and broad knowledge of the wider field....,ed299b0b9c003c38,Advanced Computation Group - Machine Learning R&D Engineer,,52.800003,2573,30+ days,2016-10-18 00:10:23.171675,Portland
17,"Tualatin, OR",VWR,"Our dedicated team of more than 9,300 associates is focused on supporting scientists, medical professionals and production engineers to achieve their goals....",6811cf0e9e21b3fd,Analyst-Customer operations,,41.4,212,24 days,2016-10-18 00:10:23.171675,Portland
18,"Portland, OR",BOEING,"Skilled scientists and thinkers. Responsible for building and loading mission planning data for devices in cooperation with Weapons Officer, the Distributed...",2891b57b1a99a8db,Squadron Simulator Operator,,51.6,2926,5 days,2016-10-18 00:10:23.171675,Portland
19,"Portland, OR 97223",Vesta Corporation,"Or PhD in Computer Science, Statistics, Applied Math, or a quantitative field with a strong background in machine learning and data mining....",01ff75d616e8def2,Senior Data Scientist,,40.2,31,30+ days,2016-10-18 00:10:23.171675,Portland
