,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Gold River, CA",PTP,Analyze and extract key insights from rich stores of customer data. PTP is looking for a Data Scientist to join our Customer Experience practice....,331a442bebcd384a,Data Scientist - REMOTE,,52.800003,3,6 days,2016-10-18 00:06:35.894832,Sacramento
1,"Sacramento, CA",UC DAVIS HEALTH SYSTEM,"-Experience with scientific manuscript writing and data analysis in an academic or research setting. -Experience programming, managing and analyzing data using...",818864f93552134f,Research Data Analyst,,52.800003,77,19 days,2016-10-18 00:06:35.894832,Sacramento
2,"West Sacramento, CA 95605",BAYER,Conduct research and collaborate with scientists using machine learning methodologies to examine microbial processes and mechanisms that underlie plant-microbe...,30c8ab6fb43d33d1,Graduate Scholar † Microbial Genomics/Machine Learning,,52.199997,1389,30+ days,2016-10-18 00:06:35.894832,Sacramento
3,"Sacramento, CA 95811 (Downtown area)",Land IQ LLC,"Ø Work in a team environment on a wide range of projects, supporting our team of scientists, remote sensing analysts, and GIS analysts....",d42b1e8f7e159fd4,GIS/Science Intern,$13 an hour,,,4 days,2016-10-18 00:06:35.894832,Sacramento
4,"Sacramento, CA","University Enterprises, Inc.","Aerospace Science and Engineering, Applied Mathematics, Applied Physics, Atmospheric Science, Chemical Engineering, Chemical Physics, Chemistry, Civil...",bf5a6ef141ab1b8b,Student Assistant - Data Review and Analysis,$12 - $18 an hour,,,4 days,2016-10-18 00:06:35.894832,Sacramento
5,"Woodland, CA",MONSANTO,"This is a fantastic opportunity to gain hands on experience while collaborating on cutting edge research projects involving machine learning, graph analysis,...",f8c93ae46467da2e,Data Scientist,,51.6,487,30+ days,2016-10-18 00:06:35.894832,Sacramento
6,"Sacramento, CA 95811 (Downtown area)",Land IQ LLC,"Ø Work in a team environment on a wide range of projects, supporting our team of scientists, remote sensing analysts, and GIS analysts....",d0f58d496e30bcca,Remote Sensing Analyst,,,,30+ days,2016-10-18 00:06:35.894832,Sacramento
7,"Sacramento, CA 95814 (Mansion Flats area)",Mental Health Services Oversight and Accountabilit...,"The responsibilities associated with this position include knowledge of Microsoft SQL and using SAS or SPSS to develop, manage, link, clean, and code existing...",80c4ce92eb2b0d80,Data Manager for Statewide Mental Health Programs,"$65,616 - $81,528 a year",,,30+ days,2016-10-18 00:06:35.894832,Sacramento
8,"Davis, CA",Marrone Bio Innovations,This position provides support to the scientists working on fermentation process development from bench to pilot scale....,684275fea508d520,Intern – Fermentation,,43.2,3,7 days,2016-10-18 00:06:35.894832,Sacramento
9,"Sacramento, CA","Land IQ, LLC"," Work in a team environment on a wide range of projects, supporting our team of scientists, remote sensing analysts, and other science-based disciplines....",957dc6026cc50167,Geospatial Analyst,,,,4 days,2016-10-18 00:06:35.894832,Sacramento
10,"West Sacramento, CA 95605",BAYER,"PhD with at least 3 years of relevant work experience in Natural Products Chemistry, with an emphasis in the isolation and structure elucidation of biologically...",85bf97dd19bf39e6,Scientist II,,52.199997,1389,16 days,2016-10-18 00:06:35.894832,Sacramento
11,"Sacramento, CA","Beckman Coulter, Inc.","For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying...",9006019392f06ef2,Senior Financial Analyst,,42.6,245,7 days,2016-10-18 00:06:35.894832,Sacramento
12,"Sacramento, CA","University Enterprises, Inc.","Computer Information Systems, Engineering, Business Administration, Communication Studies, Community Studies, Digital Media, Education, English, Graphic Design,...",cdf109b3b7db70cd,Student Assistant - Technical Research & Analysis,$10.81 - $13.18 an hour,,,12 days,2016-10-18 00:06:35.894832,Sacramento
13,"Sacramento, CA",WSP | Parsons Brinckerhoff,"Approximately 34,000 employees, including engineers, technicians, scientists, architects, planners, surveyors, program and construction management professionals...",81f31e881f82b172,Staffing Resource Analyst,,51.0,5,30+ days,2016-10-18 00:06:35.894832,Sacramento
14,"Sacramento, CA 95811 (Downtown area)",SEIU Local 1000,"We offer excellent benefits, including paid health benefits for employee and family, liberal paid time off and competitive salary....",5797a4cff330b3c2,Research Analyst,,39.0,2,30+ days,2016-10-18 00:06:35.894832,Sacramento
15,"Woodland, CA 95695",Luhdorff & Scalmanini Consulting Engineers,"LSCE benefits include health, dental, and retirement plans. The Hydrogeologist will support a diverse group of water resources scientists and engineers working...",882b9706838d0eae,Hydrogeologist,,,,7 days,2016-10-18 00:06:35.894832,Sacramento
16,"Roseville, CA",Arcadis:US,"Preparing technical reports, including data entry, data interpretation, and writing. 27,000 people in more than 70 countries, creating value by applying our...",4714551517487a5f,Entry Level Scientist or Geologist,,,,14 days,2016-10-18 00:06:35.894832,Sacramento
17,"Sacramento, CA",CDK Global,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",e86ab0f1a9676268,Client Account Representative,,41.4,74,4 days,2016-10-18 00:06:35.894832,Sacramento
18,"Sacramento, CA 95828",PG&E,This classification is represented by Engineers & Scientists of California (ESC) and is subject to collectivebargaining....,3563617236c9ba44,"Mapping Technician, Electric (ESC) - Sacramento",,51.0,261,4 days,2016-10-18 00:06:35.894832,Sacramento
19,"Sacramento, CA",ICF,"Manage monthly data backup of websites*. We are business analysts, policy specialists, technologists, researchers, digital strategists, social scientists and...",5e7631cede1693cf,Web Developer,,41.4,234,4 days,2016-10-18 00:06:35.894832,Sacramento
