,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Salt Lake City, UT","BioFire Diagnostics, LLC.","R, SQL, and HTML. Identifies, analyzes, and interprets trends or patterns in complex data sets. Works closely with senior members of the Data Science team and...",610cbbe7ad115645,Associate Data Scientist II,,,,5 days,2016-10-18 00:20:45.932938,Salt Lake City
1,"South Jordan, UT",Teradata,"Think Big Data Scientist. Perform data wrangling and extract exploratory insights from big data. As a Senior Data Scientist, you will:....",a11c260f7628b5c9,Think Big Data Scientist,,44.4,75,10 days,2016-10-18 00:20:45.932938,Salt Lake City
2,"Salt Lake City, UT",Intermountain Healthcare,"Population health management analytics (PHMA) supports the development, implementation, and measurement of systems of care that assess the health needs of a...",ad08e85cbe86f504,Data Analyst-Statistical-Stf,,51.6,284,2 days,2016-10-18 00:20:45.932938,Salt Lake City
3,"Salt Lake City, UT",University of Utah Health Care,"Works with teams to generate and organize methods, plans, and data constructs necessary for effective clinical and business analyses....",2fd281e535fa3bb1,Data Statistician,,52.199997,38,13 days,2016-10-18 00:20:45.932938,Salt Lake City
4,"West Valley City, UT",Zions Management Services,The Data Scientist. Determine opportunities and needs around the use of machine and deep. Scientist to join our Enterprise Data Science team....,9a754cc3911b2007,Data Scientist,,,,26 days,2016-10-18 00:20:45.932938,Salt Lake City
5,"Farmington, UT 84025",Pluralsight,Experience working with data scientists leveraging Hadoop. Perform rapid prototyping of experimental solutions in collaboration with data scientists....,5b4ffe5f80144430,Experience Operations Data Scientist,,60.0,2,1 hour,2016-10-18 00:20:45.932938,Salt Lake City
6,"Salt Lake City, UT",University of Utah,"Travel to scientific and resource management meetings, research sites and other events that further the mission of the Conservation Department....",5861275cb28d89d0,Research Analyst,"$31,600 - $45,000 a year",52.800003,232,3 hours,2016-10-18 00:20:45.932938,Salt Lake City
7,"Salt Lake City, UT",TEKSystems,"Expereince using R, Python, SAS to explore aggregat or profile data. 3 years experiecnce manipulating large and/or complex data sets....",f363285ea4fa0878,Data Scientist,$45 - $75 an hour,44.4,1371,11 days,2016-10-18 00:20:45.932938,Salt Lake City
8,"Salt Lake City, UT",University of Utah,Summarizes results of clinical studies in the form of scientific abstracts and manuscripts. Researches and stays current with project related scientific...,11c159653a2bb961,Research Scientist,"$47,600 - $90,400 a year",52.800003,232,19 days,2016-10-18 00:20:45.932938,Salt Lake City
9,"Salt Lake City, UT",Zions Management Services,"Perform modeling, data analysis and programming in SAS, SQL and Java. Experience with SQL, Excel, Access, PowerPoint, and working with large data sets is a plus...",2b9b325b28b34e3f,Intern - Quantitative Modeling Analyst,,,,7 hours,2016-10-18 00:20:45.932938,Salt Lake City
10,"Murray, UT 84107",Finicity,"As a Data Scientist, you will take lead on exploring and creating business value from data science operations in new business data domains, working with other...",16b8c0ab45e6897a,Data Scientist,,43.2,7,6 days,2016-10-18 00:20:45.932938,Salt Lake City
11,"Salt Lake City, UT",Epic Games,Building a deep understanding of our products and become the de-facto expert on all analytics data collectedWorking with publishing and design to document...,3e39838458b83d53,Senior Statistical Data Analyst,,39.0,6,15 days,2016-10-18 00:20:45.932938,Salt Lake City
12,"Draper, UT",Crest Financial,"Provide analytics expertise, direction and guidance to data scientists, technical architects and business users to enable efficient and robust analytics...",a35a417e7ecb1dea,Data Scientist / Statistician,,42.0,11,12 days,2016-10-18 00:20:45.932938,Salt Lake City
13,"Salt Lake City, UT","BioFire Diagnostics, LLC.","Qualified candidates will have experience programming in JavaScript, SQL, R, and Python (or other back-end language) to aide in data handling, analysis,...",904785aee8e81524,Jr. Data Scientist,,,,30+ days,2016-10-18 00:20:45.932938,Salt Lake City
14,"South Jordan, UT",HireVue,"Data Scientists on our team contribute to every step of product development. HireVue’s rich data set combining video, audio, textual data combined with...",e5830cd33703ddcd,Data Scientist,,60.0,4,30+ days,2016-10-18 00:20:45.932938,Salt Lake City
15,"West Valley City, UT",West Valley College,"Incumbents are subject to frequent interruptions and contact in person and on the telephone with administrative, academic and classified staff and the general...",fc24adaee9a51cfd,Research Analyst,"$6,327 - $6,930 a month",55.199997,12,2 days,2016-10-18 00:20:45.932938,Salt Lake City
16,"Salt Lake City, UT",University of Utah,"Utilizing knowledge and skills in bioinformatics and biostatistics you will create new data analysis scripts, data management strategies, and data visualization...",21021cf294ddee1e,Biostatistician I,"$39,300 - $72,700 a year",52.800003,232,12 days,2016-10-18 00:20:45.932938,Salt Lake City
17,"Murray, UT",IN2M Technologies / Finicity,"As a Data Scientist, you will take lead on exploring and creating business value from data science operations in new business data domains, working with other...",ca2ba5c037fb86ef,Data Scientist,,,,30+ days,2016-10-18 00:20:45.932938,Salt Lake City
18,"Salt Lake City, UT",Teva Pharmaceuticals,"Business, scientific and personal computer hardware and software applications. Ensures project deadlines and performance standards are established and met....",54bf8a32ffaa1a51,Scientist I,,43.2,254,3 hours,2016-10-18 00:20:45.932938,Salt Lake City
19,"Salt Lake City, UT 84123",Nelson Labs,"We offer a traditional health plan, an HSA value plan, dental and vision plans, Flexible Spending Accounts, and a Roth 401k with a 4% employer match....",aa18a3d1434f2e36,Laboratory Analyst I,,51.6,17,4 hours,2016-10-18 00:20:45.932938,Salt Lake City
20,"Draper, UT",Progressive Leasing,"Provide analytics expertise, direction and guidance to data scientists, technical architects and business users to enable efficient and robust analytics...",fad0e761d04024a5,Data Scientist,,43.2,22,30+ days,2016-10-18 00:20:45.932938,Salt Lake City
21,"Salt Lake City, UT",University of Utah,"Reviews scientific journals, abstracts and other literature for information concerning experimental procedures....",321503d2e170c6e8,Scientist 2,"$39,300 - $72,700 a year",52.800003,232,6 days,2016-10-18 00:20:45.932938,Salt Lake City
22,"Draper, UT",Proofpoint,"Your primary focus will be in applying your skills in data mining, data cleaning, statistical analysis, machine learning and predictive analytics in bulding out...",79921611170377cd,Data Science Work-Study Intern – Undergrad,,42.0,4,30+ days,2016-10-18 00:20:45.932938,Salt Lake City
23,"Salt Lake City, UT 84123",Nelson Labs,"We offer a traditional health plan, an HSA value plan, dental and vision plans, Flexible Spending Accounts, and a Roth 401k with a 4% employer match....",5866717a20e488e5,Packaging - Laboratory Analyst,,51.6,17,4 days,2016-10-18 00:20:45.932938,Salt Lake City
24,"Cottonwood Heights, UT",Overstock.com,"Continuously research new data mining, machine learning, and analysis techniques. Perform ad hoc analyses using statistics, machine learning, and data mining...",3bee143fb48d9f4b,Data Scientist,,43.2,82,30+ days,2016-10-18 00:20:45.932938,Salt Lake City
25,"Cottonwood Heights, UT",Overstock.com,The Data Visualization Specialist will help design and implement “Data Storytelling” or visual narrative guidelines and best practices within the EBI...,5e23c4e287f8a909,Data Visualization Scientist,,43.2,82,30+ days,2016-10-18 00:20:45.932938,Salt Lake City
26,"Salt Lake City, UT 84106 (Sugar House area)","H.W. Lochner, Inc.","Health, Dental and Vision Insurance. Ability to manage multiple tasks and work in a collaborative team environment....",d925e96661efe553,NEPA Planner,"$55,000 - $85,000 a year",,,17 days,2016-10-18 00:20:45.932938,Salt Lake City
27,"Salt Lake City, UT",University of Utah,Presentation at research meetings and to contribute to scientific articles as co-and/or first author is expected....,4f286c5a2698719c,Post Doctoral Fellow (E),"$40,000 - $55,000 a year",52.800003,232,28 days,2016-10-18 00:20:45.932938,Salt Lake City
28,"Salt Lake City, UT",IDbyDNA,"Draft and develop validation plans, validation documents, and standard operating procedures. IDbyDNA is looking for a full-time research scientist working at...",75ba44c81040ee2e,Research Scientist,,,,30+ days,2016-10-18 00:20:45.932938,Salt Lake City
29,"Salt Lake City, UT","BioFire Diagnostics, LLC.",BioFire Diagnostics is seeking a Clinical Research Scientist to join the Clinical Affairs team within the Regulated Products department....,6b616c274de7ba8c,Clinical Research Scientist,,,,5 days,2016-10-18 00:20:45.932938,Salt Lake City
30,"Murray, UT 84107",Finicity,"Data Scientist, Senior Data Scientist. Deep understanding of and experience with machine learning models and data analysis....",d9c3cffc15a139e8,"Director, Finicity Data Lab",,43.2,7,6 days,2016-10-18 00:20:45.932938,Salt Lake City
31,"Draper, UT",Proofpoint,We need a Data Scientist who will work on a cross-functional team to help uncover cyber threat information hidden in large amounts of data from various sources...,610e6a08927f9934,Principal Data Scientist,,42.0,4,30+ days,2016-10-18 00:20:45.932938,Salt Lake City
