,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"San Diego, CA",HP Inc,"Excellent analytical thinking, analysis, and problem solving skills Ability to communicate abstract ideas clearly and independently manage complex project...",6de001f3d3b878cf,Data Scientist - Big Data Analytics Development,,,,14 hours,2016-10-17 21:23:32.040735,San Diego
1,"San Diego, CA",EXPERIAN,Job Description - Data Scientist (162066) Experian is an Equal Opportunity Employer Data Scientist - Job Number:....,99ae3bd00652379f,Data Scientist,,42.6,262,6 days,2016-10-17 21:23:32.040735,San Diego
2,"Solana Beach, CA",Amazon Corporate LLC,Do you want to join an innovative team of scientists who use machine learning and statistical techniques to keep Amazon the safest and most trusted place to...,205e554c1913e597,Applied Machine Learning Scientist,,43.2,9618,7 days,2016-10-17 21:23:32.040735,San Diego
3,"San Diego, CA 92121",Sequenom,We’re looking for an insightful Data Scientist with Machine Learning and Predictive Modeling experience and a passion for working with genetic data....,5321585886198d40,Data Scientist (Machine Learning/Big Data),,42.0,17,12 days,2016-10-17 21:23:32.040735,San Diego
4,"San Diego, CA",Verve,A background in Machine Learning with experience developing scalable predictive analytics and data mining applications....,6e4915d34f878a5a,Data Scientist,,52.800003,10,30+ days,2016-10-17 21:23:32.040735,San Diego
5,"San Diego, CA 92129",Intuit,"Demonstrating programming skills in large-scale data analysis using Python, Java, R or related software. Leveraging strong math skills and statistical knowledge...",916cf19d2d45b2e6,Associate Data Scientist,,52.199997,467,16 days,2016-10-17 21:23:32.040735,San Diego
6,"San Diego, CA",ron@technogeninc.com,"Incorporates techniques to find and interpret rich data sources, manage large amounts of data (Big Data problems), create visualizations to aid in understanding...",52f5c9345a2e1d3b,Data Analytics / Scientist,,,,19 days,2016-10-17 21:23:32.040735,San Diego
7,"San Diego, CA","Mitchell International, Inc.","As a Machine Learning Data Scientist Intern, you will have the opportunity to solve challenging problems or build predictive models across a broad range of...",86f774a1cfe6e5e1,Machine Learning Internship,,39.0,3,17 days,2016-10-17 21:23:32.040735,San Diego
8,"San Diego, CA","TouchCommerce, Inc.","TouchCommerce is seeking a Data Scientist. MS or PhD in Statistics, Applied Math, Computer Science or Machine Learning....",513c06dddb97d102,Data Scientist - San Diego,,,,24 days,2016-10-17 21:23:32.040735,San Diego
9,"San Diego, CA",MCKEAN DEFENSE/CABRILLO TECHNOLOGIES,"Cabrillo scientists, engineers, technical staff, analysts, and program managers identify and deploy new shipboard technologies, integrate information technology...",5a7b073b31312fe1,Mobile Data Engineer,,,,19 hours,2016-10-17 21:23:32.040735,San Diego
