,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"St. Louis, MO",Enterprise Holdings,"Bachelor’s degree in Mathematics, Statistics, Operations Research, Physics, Engineering, Economics, Computer Science or a related quantitative field required...",7301f6629d3cb0bd,ACE Data Scientist,,42.6,4953,2 days,2016-10-18 00:07:49.335166,St. Louis
1,"St. Louis, MO","InDyne, Inc.","Analyst Warehouse LLC, an InDyne company, is seeking a highly qualified and motivated Data Scientist to support government activities in either Washington DC...",ab775174f6692e91,DATA SCIENTIST-JOURNEYMAN,,39.0,4,12 days,2016-10-18 00:07:49.335166,St. Louis
2,"St. Louis, MO",MONSANTO,"The Data Analytics / Statistical Scientist will engage with multi-disciplinary areas across Technology providing expertise in experiment strategy, design, data...",efec6b26460a7564,Data Analytics / Statistical Scientist,,51.6,487,21 days,2016-10-18 00:07:49.335166,St. Louis
3,"St. Louis, MO",Booz Allen Hamilton,"Experience with data visualization and data statistics. Experience with Big Data programming technologies, including Hadoop, MapReduce, Accumulo, Cassandra,...",86110afb7c726369,Data Scientist,,44.4,946,3 days,2016-10-18 00:07:49.335166,St. Louis
4,"St. Louis, MO",Washington University in St. Louis,"Master’s degree and one year of related work experience in public health, computer science, biostatistics, psychology, social sciences, or related field, or...",86ea9bf16ef6b379,Statistical Data Analyst II - Center for Social Development,"$47,475 - $54,054 a year",52.199997,220,7 hours,2016-10-18 00:07:49.335166,St. Louis
5,"St. Louis, MO",MONSANTO,"The successful candidate will have the opportunity to work collaboratively with interdisciplinary scientists internal to Monsanto, organize challenging problems...",e133063246a72b76,Data Scientist,,51.6,487,30+ days,2016-10-18 00:07:49.335166,St. Louis
6,"St. Louis, MO",Express Scripts,Lead the analyses of various structured or unstructured data sources for identifying actionable insights to enhance service delivery and improve Rx volume using...,46c883b94be923fa,Sr Data Scientist - Text Mining,,41.4,1781,16 days,2016-10-18 00:07:49.335166,St. Louis
7,"St. Louis, MO",OGSystems,Provide statistical and mathematical support to the Business Analytics (BA) Common Operating Environment (COE) with metric analysis of internal and external...,974a0c5c10685551,Statistician/Data Analyst II,,43.2,3,6 days,2016-10-18 00:07:49.335166,St. Louis
8,"St. Louis, MO",Washington University in St. Louis,"Ability to analyze and interpret statistical data and to communicate data in a clear, concise manner. Performs complex statistical analysis of data collected...",5a617d765d7c0971,Staff Scientist - Neurosurgery,"$47,476 - $60,715 a year",52.199997,220,7 hours,2016-10-18 00:07:49.335166,St. Louis
9,"St. Louis, MO",Washington University in St. Louis,"We are seeking applicants for a Senior Scientist positions to work with highly dimensional data, especially next-generation sequencing data (WES, WGS and RNA...",d5713a83e946549b,Senior Scientist - Psychiatry,"$48,496 - $65,481 a year",52.199997,220,3 days,2016-10-18 00:07:49.335166,St. Louis
