,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Washington, DC",LivingSocial,Utilize large-scale data mining and machine learning techniques to discover actionable patterns in the data....,e96b19140804b7b4,Data Scientist,,42.6,132,3 days,2016-10-17 21:23:25.463897,"Washington, DC"
1,"Washington, DC",Capgemini Government Solutions,"Data Wrangler/Data Scientist will provide evidence-based analytics, robust data solutions, and effectively communicate data insights to client stake holders....",ac11dc750c408fe6,Data Wrangler / Data Scientist,,43.8,2002,4 days,2016-10-17 21:23:25.463897,"Washington, DC"
2,"Washington, DC 20036 (Downtown area)",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist, to join our...",12320fb4639cedc3,Data Scientist,,51.0,1768,3 days,2016-10-17 21:23:25.463897,"Washington, DC"
3,"McLean, VA","Consulting Services Group, LLC","Data Scientist McLean, Virginia. The candidate will help develop novel analytical approaches for parsing bulk internet data sets, develop data mining algorithms...",f091c6b4baf7a1a5,Data Scientist,,,,7 hours,2016-10-17 21:23:25.463897,"Washington, DC"
4,"Washington, DC",The Advisory Board Company,The Advisory Board Company is an Affirmative Action and Equal Opportunity Employer. EOE AA M/F/Vet/Disability,e9b321b7b39c2cf5,Data Scientist,,42.6,69,4 days,2016-10-17 21:23:25.463897,"Washington, DC"
5,"Washington, DC",Booz Allen Hamilton,3 years of experience with data science. Knowledge of trained and untrained machine learning approaches. Applicants selected will be subject to a security...,9fe2cf2a269f2450,Data Scientist,,44.4,946,12 days,2016-10-17 21:23:25.463897,"Washington, DC"
6,"Washington, DC",ISPA Technology,"Ability to merge data sources together, ensure consistency of data-sets, frame visualization techniques to aid in understanding data, build mathematical models...",97e307cadea01e59,Data Scientist,,,,17 days,2016-10-17 21:23:25.463897,"Washington, DC"
7,"Washington, DC",Clearsoft Inc.,"Data governance, data architecture, data engineering, data operations, data mining, and data analysis services....",d5e82dfc3b7a0302,Data Scientist,,,,6 days,2016-10-17 21:23:25.463897,"Washington, DC"
8,"Silver Spring, MD 20904",Verizon,"As our data scientist, you will provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced analytics...",98cb008f2c5788bd,Data Scientist,,44.4,11117,19 days,2016-10-17 21:23:25.463897,"Washington, DC"
9,"Washington, DC",Social Tables,Developing a myriad of statistical and machine learning models for everything from classification to real-time prediction using a mix of internal and external...,47030b8a20220b9d,Data Scientist,,,,14 days,2016-10-17 21:23:25.463897,"Washington, DC"
