Store,Name,Store Status,Address,City,State,Zip Code,Store Address,Report Date
3816,Swils,A,200 E Oak St,Red Oak,IA,51566,"200 E Oak St
Red Oak, IA 51566
(41.016691, -95.230032)",10/01/2016
5194,Shelby General Store,A,"406, East St",Shelby,IA,51570,"406, East St
Shelby, IA 51570
(41.515195, -95.450459)",10/01/2016
2106,Hillstreet News and Tobacco,A,2217 College,Cedar Falls,IA,50613,"2217 College
Cedar Falls, IA 50613
(42.517182, -92.455796)",10/01/2016
2113,Jamboree Foods,A,1119 Market St. Box 71,Gowrie,IA,50543,"1119 Market St. Box 71
Gowrie, IA 50543
(42.28057, -94.289457)",10/01/2016
2130,Sycamore Convenience,A,617 Sycamore,Waterloo,IA,50703,"617 Sycamore
Waterloo, IA 50703
(42.497804, -92.33528)",10/01/2016
2152,Dugans Supermarket,I,202 4th North,Rockwell,IA,50469,"202 4th North
Rockwell, IA 50469
(42.986351, -93.188172)",10/01/2016
2178,"""Double """"D"""" Liquor Store""",A,618 Rossville Road,Waukon,IA,52172,"618 Rossville Road
Waukon, IA 52172
(43.262069, -91.473622)",10/01/2016
2190,"Central City Liquor, Inc.",A,1460 2ND AVE,Des Moines,IA,50314,"1460 2ND AVE
Des Moines, IA 50314
(41.60566, -93.619787)",10/01/2016
2191,Keokuk Spirits,A,1013 Main,Keokuk,IA,52632,"1013 Main
Keokuk, IA 52632
(40.399961, -91.387717)",10/01/2016
2200,Sac Liquor Store,A,619 E Main St,Sac City,IA,50583,"619 E Main St
Sac City, IA 50583
(42.421341, -94.974011)",10/01/2016
2205,Ding's Honk And Holler,I,900 E Washington,Clarinda,IA,51632,"900 E Washington
Clarinda, IA 51632
(40.739231, -95.027239)",10/01/2016
2228,Rodgers Spirits and More,A,53 Green St,Winterset,IA,50273,"53 Green St
Winterset, IA 50273
(41.336407, -94.012459)",10/01/2016
2233,Forbes Liquor Locker / remi,A,2508 Enterprise Ave,Spirit Lake,IA,51360,"2508 Enterprise Ave
Spirit Lake, IA 51360
(43.416461, -95.126785)",10/01/2016
2238,Adventureland Inn,A,3200 Adventureland Dr,Altoona,IA,50009,"3200 Adventureland Dr
Altoona, IA 50009
(41.658515, -93.499151)",10/01/2016
