STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10
19,str,1950841,B5,G6350,S,606076473,4759723,+41.0090723,-094.7688123,N
19,50841,1950841,B5,G6350,S,606076473,4759723,+41.0090723,-094.7688123,N
19,52162,1952162,B5,G6350,S,258921418,0,+43.1075778,-091.5515792,N
19,52572,1952572,B5,G6350,S,251780760,452924,+40.6704902,-092.6884374,N
19,50014,1950014,B5,G6350,S,144736089,89999,+42.0462969,-093.6944485,N
19,50217,1950217,B5,G6350,S,178588395,17727,+42.1837633,-094.2518108,N
19,50676,1950676,B5,G6350,S,147945860,921289,+42.7988986,-092.2801798,N
19,50668,1950668,B5,G6350,S,87460062,229510,+42.6929059,-092.2288308,N
19,50650,1950650,B5,G6350,S,106696113,60302,+42.6182483,-091.6560400,N
19,50588,1950588,B5,G6350,S,356361817,12631881,+42.6586918,-095.1662792,N
19,50561,1950561,B5,G6350,S,119264336,94038,+42.4250985,-094.8505006,N
19,50538,1950538,B5,G6350,S,80872053,16957,+42.2740492,-094.4397027,N
19,51459,1951459,B5,G6350,S,1355933,0,+42.0452207,-094.6379570,N
19,50274,1950274,B5,G6350,S,129895526,264250,+41.3833484,-094.8609755,N
19,52776,1952776,B5,G6350,S,219106223,572685,+41.5754106,-091.2686908,N
19,52337,1952337,B5,G6350,S,70714333,0,+41.8802031,-091.1420579,N
19,50479,1950479,B5,G6350,S,150266394,0,+42.9394043,-093.4098743,N
19,50449,1950449,B5,G6350,S,94989415,23631,+43.0024867,-093.5668978,N
19,51058,1951058,B5,G6350,S,214583720,202307,+42.9739447,-095.4673150,N
19,50603,1950603,B5,G6350,S,122972014,0,+43.1877269,-092.4594895,N
19,50616,1950616,B5,G6350,S,447677877,427211,+43.0804304,-092.6584797,N
19,52171,1952171,B5,G6350,S,205831070,66100,+43.0681782,-092.0529113,N
19,52171,1952171,B5,G6350,S,205831070,66100,+43.0681782,-092.0529113,N
19,50264,1950264,B5,G6350,S,174277982,21492,+40.9056540,-093.6975360,N
19,52049,1952049,B5,G6350,S,179161503,9231770,+42.8855654,-091.1993778,N
19,52731,1952731,B5,G6350,S,136590407,0,+41.9669750,-090.4864265,N
19,52750,1952750,B5,G6350,S,77963305,472441,+41.9370243,-090.3970488,N
19,52757,1952757,B5,G6350,S,3069924,0,+41.8038536,-090.3790554,N
19,52207,1952207,B5,G6350,S,102173612,0,+42.0950593,-090.8316784,N
19,50323,1950323,B5,G6350,S,19984131,0,+41.6256323,-093.7936500,N
19,50146,1950146,B5,G6350,S,75845999,0,+41.6841166,-094.2430435,N
19,50128,1950128,B5,G6350,S,75688815,209997,+41.8555893,-094.3002356,N
19,52041,1952041,B5,G6350,S,155013681,26716,+42.5055534,-091.2613855,N
19,52078,1952078,B5,G6350,S,106244371,45700,+42.3957774,-091.1158212,N
19,51360,1951360,B5,G6350,S,288811859,46182107,+43.4435628,-095.0870298,Y
19,51351,1951351,B5,G6350,S,273457209,5474766,+43.3150642,-095.1836465,N
