ZCTA5CE10,ALAND10,AWATER10,area
str,606076473,4759723,610678698
50841,606076473,4759723,610678698
52162,258921418,0,258802868
52572,251780760,452924,252036258
50014,144736089,89999,144722028
50217,178588395,17727,178510226
50676,147945860,921289,148760836
50668,87460062,229510,87628108
50650,106696113,60302,106703018
50588,356361817,12631881,368984464
50561,119264336,94038,119330929
50538,80872053,16957,80851975
51459,1355933,0,1355462
50274,129895526,264250,130132634
52776,219106223,572685,219615709
52337,70714333,0,70699133
50479,150266394,0,150150384
50449,94989415,23631,94941922
51058,214583720,202307,214828787
50603,122972014,0,122879536
50616,447677877,427211,447755469
52171,205831070,66100,205762802
50264,174277982,21492,174175253
52049,179161503,9231770,188342330
52731,136590407,0,136627011
52750,77963305,472441,78463337
52757,3069924,0,3071050
52207,102173612,0,102172732
50323,19984131,0,19970416
50146,75845999,0,75805316
50128,75688815,209997,75859825
52041,155013681,26716,154994658
52078,106244371,45700,106267952
51360,288811859,46182107,304231891
51351,273457209,5474766,278924893
52054,138186180,0,138205726
50681,63049395,0,63009161
52169,77075550,14088,77050582
52133,118276377,19137,118235187
50227,966375,0,965631
51648,127267334,3570711,130914644
50050,197678090,28538,197623968
50642,83390897,13774,83338456
50624,135187133,0,135081672
50673,444167,0,443819
50216,140455483,5244398,145628512
50532,181265335,452595,181603185
50484,113539889,180883,113645229
51570,166547560,148413,166735191
52630,109876580,70151,109891003
50542,172856036,28101,172771350
50533,258503120,0,258332045
51431,101935208,0,101947809
50136,100596786,35423,100560423
52221,53693011,83042,53737139
50135,192731530,2547234,195123049
50170,227972731,3022299,230811008
50127,28260,0,28238
52535,149442224,254284,149605092
52312,242872,0,242804
52576,117041974,138769,117103047
50268,123395200,129423,123434487
50517,196451521,1659443,198001094
50451,164502448,28367,164430732
56027,201941816,160355,56360445
50424,315854649,0,315646583
52639,99006542,18463331,117425369
52411,42589064,2045955,44611507
50272,1922108,0,1920590
51246,424475480,39922,424862844
50240,197056712,657335,197577589
50044,118457713,15343,118378638
50219,304040257,13104005,316891393
50225,216053151,1193185,217075380
50119,39608454,746178,40322380
50247,215688269,280365,215796972
50158,547770086,576848,547909906
50635,217592812,0,217422150
50426,60113,0,60065
51638,220309190,457452,220789520
50581,245993524,728961,246621733
51050,353266814,0,353488983
50524,148454625,80806,148461914
50317,59339311,702531,59996898
50312,14709325,341735,15040193
50047,150551626,1608002,152043852
52215,223510103,672095,224016831
52339,264553696,555158,264904593
52232,47498282,19164,47483004
50583,305136071,1223470,306315903
51450,153251668,4344154,157578481
52753,64478931,4013252,68517073
52748,106896308,108607,107028324
50652,605668,0,605194
52551,149297301,2671767,151869009
50052,50874664,65966,50901649
50543,212824794,0,212715290
50594,67103128,0,67061488
50569,54375018,514691,54857672
50450,209812899,4268390,213919627
50446,108697147,172633,108786331
