,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Atlanta, GA 30338",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist, to join our...",53b7f855d4891e19,Data Scientist,,51.0,1768,3 days,2016-10-17 21:23:28.045076,Atlanta
1,"Atlanta, GA 30339",ASSURANT,"3+ years of relevant experience in analytics, statistical/quantitative modeling and/or machine Learning tools (R, Python, etc) and in using various database...",9ecd8095dd0355f8,Data Scientist,,43.2,1108,11 days,2016-10-17 21:23:28.045076,Atlanta
2,"Atlanta, GA 30306 (Virginia-Highland area)",360i,The Associate Data Scientist will be mentored by senior members of the department with the goal of learning more advanced data science skills such as...,c2b6dcbcb0895072,Associate Data Scientist,,51.0,9,12 days,2016-10-17 21:23:28.045076,Atlanta
3,"Atlanta, GA",Ga. Dept. of Admin. Services,SQL Server knowledge for developing queries and extracting data from relational. Strong data research and analysis skills for the position of Statistical Data....,70f23d3b618d4b8e,Statistical Data Analyst,"$36,000 - $46,000 a year",,,6 days,2016-10-17 21:23:28.045076,Atlanta
4,"Atlanta, GA",Honeywell,"Data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs....",9b253c3eeae5f37a,Analytics Data Scientist,,44.4,3477,11 days,2016-10-17 21:23:28.045076,Atlanta
5,"Atlanta, GA 30339",ASSURANT,"The primary objective of this position is to ensure that Data Analytics COE department delivers fraud analytics and provide data-driven, action-oriented...",ed7467a761020f51,Sr Data Scientist - Fraud,,43.2,1108,2 days,2016-10-17 21:23:28.045076,Atlanta
6,"Atlanta, GA 30303 (Five Points area)",Vesta Corporation,"Or PhD in Computer Science, Statistics, Applied Math, or a quantitative field with a strong background in machine learning and data mining....",24cec20de39398ca,Senior Data Scientist,,40.2,31,10 days,2016-10-17 21:23:28.045076,Atlanta
7,"Atlanta, GA",Centers for Disease Control and Prevention,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",40d8215afa28f4bb,HEALTH SCIENTIST,"$88,305 - $114,802 a year",54.0,64,2 days,2016-10-17 21:23:28.045076,Atlanta
8,"Atlanta, GA",Travelport,"Developing and implementing advanced analytics approaches including statistical modeling, machine learning algorithms, text mining, web analytics etc. to answer...",324aa9db249c02a7,Data Scientist,,51.6,52,30+ days,2016-10-17 21:23:28.045076,Atlanta
9,"Atlanta, GA 30308 (Old Fourth Ward area)",Stackfolio,A competitive full-time salary as well as a great options package that will only be available to this early batch of hires....,be3a7444db34e9a3,Lead Data Scientist,"$80,000 a year",,,30+ days,2016-10-17 21:23:28.045076,Atlanta
0,"Austin, TX 78758 (North Austin area)",Stanley Black & Decker,Stanley Black and Decker is hiring Data Scientists for its Data Analytics team. The Data Analytics team at Stanley Black and Decker is creating analytics...,13f290700c26329e,Data Scientist,,42.6,257,14 days,2016-10-17 21:23:22.530590,Austin
1,"Austin, TX",Wellsmith,"Graduate-level coursework or research in areas such as machine learning, natural language processing, predictive models, data mining, or similar.Exceptional...",513b9155ce826c26,Data Scientist Internship,,,,13 days,2016-10-17 21:23:22.530590,Austin
2,"Austin, TX",Apple,"Develop new tools, capabilities and infrastructure to improve how data scientists conduct data analysis and model research....",9a169d36c80a9f56,Data Science Engineer,,52.800003,2573,19 days,2016-10-17 21:23:22.530590,Austin
3,"Austin, TX",University of Texas at Austin,"Collaborate effectively with the Latino Research Initiative Director, Senior Research Scientist, and colleagues to analyze evaluation needs, recommend plans for...",67a97cf3652764c4,Research Scientist,"$4,584 a month",53.4,403,57 minutes,2016-10-17 21:23:22.530590,Austin
4,"Austin, TX 78757 (Crestview area)",Phunware,"We are looking for a true renaissance data scientist who is both machine learning expert and engineer, but is also comfortable wearing the hat of statistician...",f5287c0eb571313b,Data Scientist,,,,14 days,2016-10-17 21:23:22.530590,Austin
5,"Austin, TX","Advanced Micro Devices, Inc.","Data Scientist, Product Data Analytics - Austin, TX. Undergraduate Computer Science or Statistics degree and 10+ years analytics experience or Graduate degree...",130030f226bcebc6,"Data Scientist, Product Data Analytics",,43.2,243,18 hours,2016-10-17 21:23:22.530590,Austin
6,"Austin, TX",AMD,"Data Scientist, Product Data Analytics – Austin, TX. Undergraduate Computer Science or Statistics degree and 10+ years analytics experience or Graduate degree...",f55f34b5a7bfcc7f,"Data Scientist, Product Data Analytics",,43.2,243,26 days,2016-10-17 21:23:22.530590,Austin
7,"Austin, TX 78753 (Windsor Hills area)",3M,"They work closely with the Data Scientist, developing new technologies that leverage data analytics, as well as, the 3M HIS’ production teams, to transform...",95acaf28bdfaeef2,"3M HIS Specialist, Algorithm Data Engineers (Multiple Locati...",,51.6,1414,2 days,2016-10-17 21:23:22.530590,Austin
8,"Austin, TX",YouEarnedIt,"YouEarnedIt is looking for a Data Scientist to join the team and provide direction with insights, trends, analytics, nuggets of data gold, and trends around...",5d5d8a4df099268a,Data Scientist,,,,20 days,2016-10-17 21:23:22.530590,Austin
9,"Austin, TX",Galvanize,"Associate Instructor, Data Scientist. Join us in building the world's hub for education in data science and data engineering....",bf4749fc8f0f48a7,"Associate Instructor, Data Scientist",,60.0,2,5 days,2016-10-17 21:23:22.530590,Austin
0,"Baltimore, MD",Softrams LLC,"Knowledge of healthcare claims data. 4+ years of professional experience with programming and software development, including Python, R, or another language...",60dfe14c1c9970fc,Data Scientist,,,,3 days,2016-10-17 21:23:34.744582,Baltimore
1,"Baltimore, MD",TEKSystems,"The contractor shall construct necessary software assets to execute models, including building specialized analytics data stores, databases and data warehouses...",b4db90c5039e571a,Data Scientist,$40 - $50 an hour,44.4,1370,5 hours,2016-10-17 21:23:34.744582,Baltimore
2,"Baltimore, MD",Association of Universities for Research in Astron...,A basic understanding of scientific principles is required to effectively work with data and assure scientific accuracy....,be654a4055e415ea,Data Imaging Developer,,,,2 days,2016-10-17 21:23:34.744582,Baltimore
3,"Baltimore, MD",Praescient Analytics,"​Our Field Data Scientists (FDS's) are experts in a wide range of complementary statistical disciplines, including computational biology, natural language...",d6f30ab5fb64dfba,Field Data Scientist,,43.2,6,18 days,2016-10-17 21:23:34.744582,Baltimore
4,"Baltimore, MD",Space Telescope Science Institute,A basic understanding of scientific principles is required to effectively work with data and assure scientific accuracy....,4f6c4155c1e480c3,Data Imaging Developer,,52.800003,4,12 days,2016-10-17 21:23:34.744582,Baltimore
5,"Glen Burnie, MD 21060",JOHNS HOPKINS HEALTH SYSTEM,"The Data Scientist is responsible for monitoring data quality and for analyzing data using statistical tools like R, SAS, SPSS, WEKA, Rapidminer....",7bfdc788ea4d041f,Data Scientist,,,,25 days,2016-10-17 21:23:34.744582,Baltimore
6,"Hunt Valley, MD",Sinclair Broadcast Group,Identify and prioritize enterprise data analytics opportunities. Experience with Hadoop or other Map-Reduce data analytics processes....,0e51ba1b112e5771,Data Scientist,,39.0,44,29 days,2016-10-17 21:23:34.744582,Baltimore
7,"Towson, MD",Stanley Black & Decker,Manage claims and adjustment portfolio for a specific set of accounts. Responsible for a portfolio of accounts to track & monitor their trends and then work...,02bd95b609c289ad,Research Analyst,,42.6,257,5 hours,2016-10-17 21:23:34.744582,Baltimore
