,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Atlanta, GA 30338",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist, to join our...",53b7f855d4891e19,Data Scientist,,51.0,1768,3 days,2016-10-17 21:23:28.045076,Atlanta
1,"Atlanta, GA 30339",ASSURANT,"3+ years of relevant experience in analytics, statistical/quantitative modeling and/or machine Learning tools (R, Python, etc) and in using various database...",9ecd8095dd0355f8,Data Scientist,,43.2,1108,11 days,2016-10-17 21:23:28.045076,Atlanta
2,"Atlanta, GA 30306 (Virginia-Highland area)",360i,The Associate Data Scientist will be mentored by senior members of the department with the goal of learning more advanced data science skills such as...,c2b6dcbcb0895072,Associate Data Scientist,,51.0,9,12 days,2016-10-17 21:23:28.045076,Atlanta
3,"Atlanta, GA",Ga. Dept. of Admin. Services,SQL Server knowledge for developing queries and extracting data from relational. Strong data research and analysis skills for the position of Statistical Data....,70f23d3b618d4b8e,Statistical Data Analyst,"$36,000 - $46,000 a year",,,6 days,2016-10-17 21:23:28.045076,Atlanta
4,"Atlanta, GA",Honeywell,"Data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs....",9b253c3eeae5f37a,Analytics Data Scientist,,44.4,3477,11 days,2016-10-17 21:23:28.045076,Atlanta
5,"Atlanta, GA 30339",ASSURANT,"The primary objective of this position is to ensure that Data Analytics COE department delivers fraud analytics and provide data-driven, action-oriented...",ed7467a761020f51,Sr Data Scientist - Fraud,,43.2,1108,2 days,2016-10-17 21:23:28.045076,Atlanta
6,"Atlanta, GA 30303 (Five Points area)",Vesta Corporation,"Or PhD in Computer Science, Statistics, Applied Math, or a quantitative field with a strong background in machine learning and data mining....",24cec20de39398ca,Senior Data Scientist,,40.2,31,10 days,2016-10-17 21:23:28.045076,Atlanta
7,"Atlanta, GA",Centers for Disease Control and Prevention,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",40d8215afa28f4bb,HEALTH SCIENTIST,"$88,305 - $114,802 a year",54.0,64,2 days,2016-10-17 21:23:28.045076,Atlanta
8,"Atlanta, GA",Travelport,"Developing and implementing advanced analytics approaches including statistical modeling, machine learning algorithms, text mining, web analytics etc. to answer...",324aa9db249c02a7,Data Scientist,,51.6,52,30+ days,2016-10-17 21:23:28.045076,Atlanta
9,"Atlanta, GA 30308 (Old Fourth Ward area)",Stackfolio,A competitive full-time salary as well as a great options package that will only be available to this early batch of hires....,be3a7444db34e9a3,Lead Data Scientist,"$80,000 a year",,,30+ days,2016-10-17 21:23:28.045076,Atlanta
