,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Austin, TX 78758 (North Austin area)",Stanley Black & Decker,Stanley Black and Decker is hiring Data Scientists for its Data Analytics team. The Data Analytics team at Stanley Black and Decker is creating analytics...,13f290700c26329e,Data Scientist,,42.6,257,14 days,2016-10-17 21:23:22.530590,Austin
1,"Austin, TX",Wellsmith,"Graduate-level coursework or research in areas such as machine learning, natural language processing, predictive models, data mining, or similar.Exceptional...",513b9155ce826c26,Data Scientist Internship,,,,13 days,2016-10-17 21:23:22.530590,Austin
2,"Austin, TX",Apple,"Develop new tools, capabilities and infrastructure to improve how data scientists conduct data analysis and model research....",9a169d36c80a9f56,Data Science Engineer,,52.800003,2573,19 days,2016-10-17 21:23:22.530590,Austin
3,"Austin, TX",University of Texas at Austin,"Collaborate effectively with the Latino Research Initiative Director, Senior Research Scientist, and colleagues to analyze evaluation needs, recommend plans for...",67a97cf3652764c4,Research Scientist,"$4,584 a month",53.4,403,57 minutes,2016-10-17 21:23:22.530590,Austin
4,"Austin, TX 78757 (Crestview area)",Phunware,"We are looking for a true renaissance data scientist who is both machine learning expert and engineer, but is also comfortable wearing the hat of statistician...",f5287c0eb571313b,Data Scientist,,,,14 days,2016-10-17 21:23:22.530590,Austin
5,"Austin, TX","Advanced Micro Devices, Inc.","Data Scientist, Product Data Analytics - Austin, TX. Undergraduate Computer Science or Statistics degree and 10+ years analytics experience or Graduate degree...",130030f226bcebc6,"Data Scientist, Product Data Analytics",,43.2,243,18 hours,2016-10-17 21:23:22.530590,Austin
6,"Austin, TX",AMD,"Data Scientist, Product Data Analytics – Austin, TX. Undergraduate Computer Science or Statistics degree and 10+ years analytics experience or Graduate degree...",f55f34b5a7bfcc7f,"Data Scientist, Product Data Analytics",,43.2,243,26 days,2016-10-17 21:23:22.530590,Austin
7,"Austin, TX 78753 (Windsor Hills area)",3M,"They work closely with the Data Scientist, developing new technologies that leverage data analytics, as well as, the 3M HIS’ production teams, to transform...",95acaf28bdfaeef2,"3M HIS Specialist, Algorithm Data Engineers (Multiple Locati...",,51.6,1414,2 days,2016-10-17 21:23:22.530590,Austin
8,"Austin, TX",YouEarnedIt,"YouEarnedIt is looking for a Data Scientist to join the team and provide direction with insights, trends, analytics, nuggets of data gold, and trends around...",5d5d8a4df099268a,Data Scientist,,,,20 days,2016-10-17 21:23:22.530590,Austin
9,"Austin, TX",Galvanize,"Associate Instructor, Data Scientist. Join us in building the world's hub for education in data science and data engineering....",bf4749fc8f0f48a7,"Associate Instructor, Data Scientist",,60.0,2,5 days,2016-10-17 21:23:22.530590,Austin
