,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Baltimore, MD",Softrams LLC,"Knowledge of healthcare claims data. 4+ years of professional experience with programming and software development, including Python, R, or another language...",60dfe14c1c9970fc,Data Scientist,,,,3 days,2016-10-17 21:23:34.744582,Baltimore
1,"Baltimore, MD",TEKSystems,"The contractor shall construct necessary software assets to execute models, including building specialized analytics data stores, databases and data warehouses...",b4db90c5039e571a,Data Scientist,$40 - $50 an hour,44.4,1370,5 hours,2016-10-17 21:23:34.744582,Baltimore
2,"Baltimore, MD",Association of Universities for Research in Astron...,A basic understanding of scientific principles is required to effectively work with data and assure scientific accuracy....,be654a4055e415ea,Data Imaging Developer,,,,2 days,2016-10-17 21:23:34.744582,Baltimore
3,"Baltimore, MD",Praescient Analytics,"​Our Field Data Scientists (FDS's) are experts in a wide range of complementary statistical disciplines, including computational biology, natural language...",d6f30ab5fb64dfba,Field Data Scientist,,43.2,6,18 days,2016-10-17 21:23:34.744582,Baltimore
4,"Baltimore, MD",Space Telescope Science Institute,A basic understanding of scientific principles is required to effectively work with data and assure scientific accuracy....,4f6c4155c1e480c3,Data Imaging Developer,,52.800003,4,12 days,2016-10-17 21:23:34.744582,Baltimore
5,"Glen Burnie, MD 21060",JOHNS HOPKINS HEALTH SYSTEM,"The Data Scientist is responsible for monitoring data quality and for analyzing data using statistical tools like R, SAS, SPSS, WEKA, Rapidminer....",7bfdc788ea4d041f,Data Scientist,,,,25 days,2016-10-17 21:23:34.744582,Baltimore
6,"Hunt Valley, MD",Sinclair Broadcast Group,Identify and prioritize enterprise data analytics opportunities. Experience with Hadoop or other Map-Reduce data analytics processes....,0e51ba1b112e5771,Data Scientist,,39.0,44,29 days,2016-10-17 21:23:34.744582,Baltimore
7,"Towson, MD",Stanley Black & Decker,Manage claims and adjustment portfolio for a specific set of accounts. Responsible for a portfolio of accounts to track & monitor their trends and then work...,02bd95b609c289ad,Research Analyst,,42.6,257,5 hours,2016-10-17 21:23:34.744582,Baltimore
8,"Columbia, MD",The Nielsen Company,"Our Data Scientists come from diverse disciplines such as statistics, research methodology, mathematics, psychology, business, engineering and demography....",6570c3ba8c0c34de,Sr. Data Scientist,,43.2,676,12 hours,2016-10-17 21:23:34.744582,Baltimore
9,"Silver Spring, MD 20904",Verizon,"As our data scientist, you will provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced analytics...",98cb008f2c5788bd,Data Scientist,,44.4,11117,19 days,2016-10-17 21:23:34.744582,Baltimore
