,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Boston, MA",Analysis Group,"Creating interactive analytics portals and data visualizations (e.g., using R/Shiny, Python/Flask, D3)....",104372296a1d5292,Data Scientist,,53.4,5,4 days,2016-10-17 21:23:24.227507,Boston
1,"Boston, MA 02111 (Central area)",Autodesk,"You have a Bachelor's degree focused on operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline....",522547d5f3872824,Data Scientist (Boston),,52.199997,147,4 days,2016-10-17 21:23:24.227507,Boston
2,"Boston, MA 02111 (Central area)",Plymouth Rock Assurance Corporation,"An advanced degree in mathematics, machine learning, economics, statistics or a related field (background in Bayesian statistics preferred)....",7d23fb51a6d2b792,Data Scientist,,,,5 days,2016-10-17 21:23:24.227507,Boston
3,"Cambridge, MA 02139 (Area IV area)",Aequor Technologies,Be self-supportive in collaborating with world-class scientists to design and deploy data solutions to identified scientific problems related to drug discovery...,0ee0327f48ba0a0d,Database Engineer/ SPARK Engineer,$55 an hour,40.2,5,6 hours,2016-10-17 21:23:24.227507,Boston
4,"Cambridge, MA",OM1,We have a flat organization of self-directed engineers and scientists. Healthcare data experience. But we can assure you that we have great challenges of...,bf971d59ae92d952,Data Scientist,,,,20 days,2016-10-17 21:23:24.227507,Boston
5,"Cambridge, MA",IHS,"Machine learning, data mining, quantitative analysis, and predictive modeling. Data Scientist (Machine Learning)....",493df6b925152ae3,Data Scientist ( Machine Learning),,42.6,102,2 days,2016-10-17 21:23:24.227507,Boston
6,"Cambridge, MA",Panjiva,"Panjiva’s award-winning and patented technology leverages machine learning to provide powerful search, analysis and visualization tools over more than a billion...",7984a988725059d8,Data Scientist,,,,6 days,2016-10-17 21:23:24.227507,Boston
7,"Boston, MA 02116 (South End area)",Wayfair,Algorithms is a group of data scientists within the Pricing & Profitability team responsible for dynamically adjusting the prices and amount of exposure on...,5a067325a46c60da,Data Scientist - Pricing and Profitability Algorithms (Summe...,,42.6,89,13 days,2016-10-17 21:23:24.227507,Boston
8,"Boston, MA",QuantumBlack,"Use Maths, Stats and Machine learning to derive key insights across various industry sectors including formula 1, pharma, automotive and high-tech....",d745b642c469a467,Data Scientist (Boston),,,,19 days,2016-10-17 21:23:24.227507,Boston
9,"Cambridge, MA",Amazon Corporate LLC,"As a Data Scientist in our Applied Modeling team, you will be responsible for data-driven improvements to our spoken language understanding models....",0e7631cfbcbe8cd7,Data Scientist,,43.2,9618,30+ days,2016-10-17 21:23:24.227507,Boston
