,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Chicago, IL","Vizient, Inc.",9a441b69e587736a,Data Scientist,,,,2 days,2016-10-15 18:28:57.290740
1,"Chicago, IL",BMW Technology Corporation,12c756d844582814,Machine Learning Researcher - BMW Technology Corporation,,,,6 days,2016-10-15 18:28:57.290740
2,"Chicago, IL",The University of Chicago Medicine,6a38a0586190a6d7,Data Scientist,,52.800003,7,10 days,2016-10-15 18:28:57.290740
3,"Chicago, IL",Anomalix,711c408ec28cfcaf,Data Scientist,,,,9 days,2016-10-15 18:28:57.290740
4,"Chicago, IL 60601 (Loop area)",KPMG,470c8353e5469a5b,Data Scientist,,51.0,1768,1 day,2016-10-15 18:28:57.290740
5,"Chicago, IL",CareSource,33a00338b1ddafdd,Data Scientist with SAS Experience,,42.6,69,21 hours,2016-10-15 18:28:57.290740
6,"Chicago, IL",Amyx,3e0070b7e8dc8931,Data Scientist,,,,12 days,2016-10-15 18:28:57.290740
7,"Chicago, IL 60606 (Loop area)",ZirMed,28c603e910a47aed,Data Scientist,,51.0,5,17 days,2016-10-15 18:28:57.290740
8,"Chicago, IL",Google,f94835ba16f9ce1d,"Machine Learning Deployment Engineer, Professional Services,...",,52.800003,1218,15 days,2016-10-15 18:28:57.290740
9,"Chicago, IL 60654 (Loop area)",RAY ALLEN,3a982c164ab623ef,Associate Data Scientist,,,,12 days,2016-10-15 18:28:57.290740
