,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Cleveland, OH 44115 (Downtown area)",Chmura Economics and Analytics,We are looking for innovative data scientists who have a passion for code and data! The position reports to the Chief Data Scientist....,dd4343e4d8e21b3f,Data Scientist - Any Experience Level!,,,,4 days,2016-10-17 21:23:33.024162,Cleveland
1,"Cleveland, OH",Nityo Infotech Services Pvt. Ltd.,"Knowledge of classification systems and clinical vocabularies and nomenclature, such as International Classification Of Diseases (ICD)-9, Current Procedural...",d0b1d924fa3a9be7,Data Scientist,,,,6 days,2016-10-17 21:23:33.024162,Cleveland
2,"Cleveland, OH 44114 (Downtown area)",AmTrust North America,"Demonstrated skills in data mining, machine learning, programming, dynamic optimization. Relevant experience in Statistical/Quantitative Modeling and/or Machine...",08b3e7de76647629,Data Scientist,,,,18 days,2016-10-17 21:23:33.024162,Cleveland
3,"Cleveland, OH",Futran Solutions,"Health Data Analyst:. Knowledge of classification systems and clinical vocabularies and nomenclature, such as International Classification Of Diseases (ICD)-9,...",b9b5ddb55a1e534b,Data Scientist,,,,28 days,2016-10-17 21:23:33.024162,Cleveland
4,"Cleveland, OH",Medical Mutual of Ohio,"Knowledge of health plan operations, data sources, and data structures, including trends and drivers of quality, utilization and costs....",550c7a7a678ea986,Data Scientist I- Career Development Program,,51.0,56,20 days,2016-10-17 21:23:33.024162,Cleveland
5,"Mayfield Village, OH",Progressive,"Demonstrated skills in data mining, machine learning, programming, dynamic optimization. Data Scientist /Statistical Modeler....",07bfae1b3db8ba03,Data Scientist /Statistical Modeler,,43.8,960,5 days,2016-10-17 21:23:33.024162,Cleveland
6,"Cleveland, OH",Hunter International,Coordinate the timely and compliant generation of data to support client project. Review data for technical content and good record keeping practices....,2fb5b9022283e4a4,GC-MS Scientist,"$60,000 - $75,000 a year",54.0,13,19 days,2016-10-17 21:23:33.024162,Cleveland
7,"Cleveland, OH",Precision Systems,"Experience in statistics, data mining, and predictive modeling is a must (3 -5 years experience required) ·Experience with TIBCO Spotfire, R, Python numpy, D3,...",586b159966e6a7cb,Data Scientist,,55.800003,5,11 days,2016-10-17 21:23:33.024162,Cleveland
8,"Cleveland, OH",Key Bank,"ABOUT KEY: Key traces its history back more than 160 years and is headquartered in Cleveland, Ohio. One of the nation's largest bank-based financial services",3ca2ce418543d321,"Secondary Quantitative Analyst - Brooklyn, OH",,43.8,629,30+ days,2016-10-17 21:23:33.024162,Cleveland
9,"Cleveland, OH",KeyBank,"ABOUT KEY: Key traces its history back more than 160 years and is headquartered in Cleveland, Ohio. One of the nation's largest bank-based financial services",2ffb701d64b95eaa,Secondary Quantitative Analyst,,43.8,629,30+ days,2016-10-17 21:23:33.024162,Cleveland
