,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Dearborn, MI",Cbsi Global,"Ford Motor Company's Global Data, Insight & Analytics (GDIA) organization is looking for motivated and talented individuals with a background in Operations...",60e9dd51b20eb6a5,DATA SCIENTISTS ANALYSTS,,,,3 days,2016-10-17 21:23:36.359957,Detroit
1,"Dearborn, MI",Cbsi Global,"The Analytics Research and Development team within Ford's Global Data, Insight and Analytics (GDIA) organization is looking for a highly skilled quantitative...",083788e448459676,DATA SCIENTISTS MODELING,,,,3 days,2016-10-17 21:23:36.359957,Detroit
2,"Dearborn, MI",Ford Motor Company,"Analytics Scientist position offered by Ford Motor Company (Dearborn, MI). 3 years of experience performing complex mathematical programming and exact and meta...",a6a5010b12890995,Analytics Scientist,,52.800003,2193,17 days,2016-10-17 21:23:36.359957,Detroit
3,"Dearborn, MI",Ford Motor Company,Data Scientist-Forecasting-Ford Credit. Demonstrated experience conducting statistical analysis in a business or academic environment Experience in Banking...,ab111c2bc5968f19,Data Scientist - Forecasting,,52.800003,2193,25 days,2016-10-17 21:23:36.359957,Detroit
4,"Dearborn, MI","FutureNet Group, Inc","The Data Operations team is a key department within Ford's growing Global Data, Insights and Analytics division....",5cd89ed319489490,237409 Data Scientists Analysts,,,,7 days,2016-10-17 21:23:36.359957,Detroit
5,"Dearborn, MI",Miracle Software Solutions,"Data Scientists Analysts (7500). The Data Operations team is a key department within Ford's growing Global Data, Insights and Analytics division....",5415748623ffd17f,Data Scientists Analysts,,,,12 days,2016-10-17 21:23:36.359957,Detroit
6,"Detroit, MI",General Motors,Data Scientist - Legal. Collaborate cross-functionally with other data analytics teams to arrive at actionable insights....,a45ad7ee08193a22,Data Scientist - Legal,,52.199997,2830,9 days,2016-10-17 21:23:36.359957,Detroit
7,"Warren, MI",Cresttek LLC,"Primarily, this role will help others (data scientists and analysts) understand and use data. This is a data analytics ENABLEMENT role....",5bb91800db502b7c,Statistical Modeler/Data Analyst,,,,2 days,2016-10-17 21:23:36.359957,Detroit
8,"Detroit, MI 48223 (Brightmoor area)","FutureNet Group, Inc","Capable of converting business problems into analytics formulations, then interpreting the analytics results and translating them into easily understood...",7d78cb23112b836e,234037 Data Scientists Modeling,,,,12 days,2016-10-17 21:23:36.359957,Detroit
9,"Detroit, MI 48226 (Downtown area)",Hello Innovation,"You should possess a deep understanding of the statistical and machine learning methods as well as semantic web technologies, i.e. RDF, OWL and related methods....",cb8331338a8de31d,Data Scientist,,,,30+ days,2016-10-17 21:23:36.359957,Detroit
