,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Indianapolis, IN",Momentum LLC,"Work in technical teams in development, deployment, and application of applied analytics, predictive analytics, and prescriptive analytics....",21f44201683270ea,Machine Learning Developer,"$110,000 a year",,,19 days,2016-10-18 00:11:50.565761,Indianapolis
1,"Indianapolis, IN",Hamilton Mayer,ROLE - R&D Scientist (Specialty Chemicals). Conduct independent research and data analysis on the technologies of silicone products....,21acb3b3d5253e46,R&D Scientist,"$80,000 - $100,000 a year",,,4 days,2016-10-18 00:11:50.565761,Indianapolis
2,"Indianapolis, IN",Planet Pharma,"Advanced analytical skills in Data Analytics, Data Visualization and Statistical Analysis (SAS programming is preferred)....",a0af373ce177081f,Statistical Business Analyst,,,,14 days,2016-10-18 00:11:50.565761,Indianapolis
3,"Indianapolis, IN",Eli Lilly,"Merge scientific thinking and business knowledge to impact decisions. JMP, SAS, R, S-Plus, etc.). Identify broad technical issues related to device development...",bf0fd926a99139df,Devices Project Statistician,,52.199997,603,12 days,2016-10-18 00:11:50.565761,Indianapolis
4,"Indianapolis, IN",Momentum LLC,"Machine learning (regression, regularization, ensemble methods, time series, decision tree, random forest, gradient boosting, clustering, neural networks,...",5dcdca595da97a94,Lead Data Scientist - Engineering/Internet of Things,"$130,000 a year",,,30+ days,2016-10-18 00:11:50.565761,Indianapolis
5,"Indianapolis, IN 46250","Apollo Professional Solutions, Inc","A great candidate would be a Business Analyst that has extremely strong data analysis expertise (finding stories, trending, statistical significance, and...",b2e8a4803d30469e,Statistical Business Analyst,,40.8,3,18 days,2016-10-18 00:11:50.565761,Indianapolis
6,"Indianapolis, IN",Momentum LLC,"The ideal candidate will assist the team of data scientists in completing large big data analyses in various industries such as health care, engineering,...",1208d1ee55a9a9bc,Microsoft Business Intelligence Data Engineer,"$85,000 a year",,,4 days,2016-10-18 00:11:50.565761,Indianapolis
7,"Carmel, IN",Adesa Inc.,Data access by data scientists and the maintenance of project datasets. With data scientists on infrastructure requirements for solution development....,14777a837760f869,Data Science Arhitect,,40.2,205,30+ days,2016-10-18 00:11:50.565761,Indianapolis
8,"Indianapolis, IN",Eurofins,"Eurofins Lancaster Laboratories, a nationally recognized laboratory, is searching for a Scientist to support our Professional Scientific Services group in...",5a1a13eaed80b8c0,Scientist,,,,15 days,2016-10-18 00:11:50.565761,Indianapolis
9,"Indianapolis, IN",Eli Lilly,Collaborate with process engineers and development scientists to design and transfer robust manufacturing processes to commercial and third party manufacturing...,4a5bd6b389e6405a,Research Scientist - Tech Services,,52.199997,603,17 days,2016-10-18 00:11:50.565761,Indianapolis
10,"Indianapolis, IN",Eli Lilly,"Manage and lead associate scientists effectively to achieve project and group goals. The successful candidate will be able to lead a project to meet timelines,...",2c338e2f624a91aa,Research Scientist-Peptide/Bio-organic Chemist,,52.199997,603,4 days,2016-10-18 00:11:50.565761,Indianapolis
11,"Indianapolis, IN",CNO Financial Group,What you will be doingConducting in-depth fundamental corporate research in one or more industries and identifying attractive investment opportunitiesBuilding...,961ff7893f08be2f,Research Analyst,,40.8,28,30+ days,2016-10-18 00:11:50.565761,Indianapolis
12,"Indianapolis, IN 46204",ENVIRON International Corporation,"Proficiency in scientific software such as Excel, Rockworks or Surfer a plus. Our Indianapolis, IN office is seeking candidates for an Associate Scientist...",887dcd9d7960b757,Associate Scientist,,52.800003,3,30+ days,2016-10-18 00:11:50.565761,Indianapolis
13,"Indianapolis, IN",Covance,Proactively manage client and study changes to meet timelines and ensure all changes (timelines/costs etc) are captured and communicated to business development...,2464838bb058fc07,Sr. CMC Analytical Lead - Protein Chem,,40.2,195,4 days,2016-10-18 00:11:50.565761,Indianapolis
14,"Indianapolis, IN",Eli Lilly,Collaborate with data integrators in the planning and implementation of data integration plans. Effectively utilize current technologies and available tools for...,8375a34490ccd4e0,Statistician-Comput Bus Analytics-FDE,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
15,"Indianapolis, IN",Eli Lilly,Design and implement scientific research projects. Present experimental data at both internal and external meetings....,0b1bc33a5a21eea3,Research Scientist,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
16,"Indianapolis, IN 46250",Walker Parking Consultants,"Data collection will include field surveys to document parking system utilization for downtowns, universities, hospitals, etc. Significant time will also be...",377168a45f975a13,Research Analyst,,51.0,5,27 days,2016-10-18 00:11:50.565761,Indianapolis
17,"Indianapolis, IN 46240",Crowe Horwath,Special Skills Excellent communication skills Expert level programming skills in R Experience with a statistical package and various programming languages such...,3e0d6783bb1ad875,Data Scientist/Statistics - Applied Technology - 12729,,42.6,78,30+ days,2016-10-18 00:11:50.565761,Indianapolis
18,"Indianapolis, IN",Eli Lilly,The statistician will provide statistical support to scientists in Product Development with emphasis on those scientists developing monoclonal antibody...,951c7fce95a5d0a5,Industrial Statistician,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
19,"Indianapolis, IN 46202",Republic Airways Holdings,"Motivates, mentors, develops and scales a team of business analysts and data scientists. Develops methods and controls to ensure consistent application and use...",4f99c0aa39828afb,Director of Business Analytics,,42.6,31,30+ days,2016-10-18 00:11:50.565761,Indianapolis
20,"Indianapolis, IN",Eli Lilly,Influence strategy in Safety Analytics. Provide consulting and statistical direction in the development of program-level safety analysis plans in collaboration...,e6d26169c4572969,Research Advisor - Safety Analytics Statistician,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
21,"Indianapolis, IN",Eli Lilly,Deep and broad knowledge of statistical modeling and data mining methods and tools – able to reduce business problems to mathematical/statistical questions...,8a54f8c712783d3c,Statistician - Business Analytics,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
22,"Indianapolis, IN",Eli Lilly,"Partner with the LRL Research scientists globally to understand business needs and priorities, and be able to provide technical solutions by utilizing software...",2a8c085ce2af26f9,Scientific Systems Analyst,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
23,"Indianapolis, IN","Life Sciences (Process Automation Solutions, an AT...",Basic data historian support. Implement new data historian implementations. Knowledge and experience with Data Historians (e.g....,7629528bfc2874b0,Applications Engineer (Experience with Data Analysis and His...,,,,30+ days,2016-10-18 00:11:50.565761,Indianapolis
24,"Indianapolis, IN",Odyssey,We value cross-functional team members who can lend a hand to our data scientists. Can do a little Python or have an interest in data science or machine...,a6ad697db0d1a140,Video Engineer,,43.8,42,8 days,2016-10-18 00:11:50.565761,Indianapolis
25,"Indianapolis, IN",USA16 - US - Q2Solutions,Archive final bioanalytical data and results. Ability to manage and maintain complete and accurate records of experiments....,439e4b9478451baf,"Associate Scientist, Screening",,,,20 days,2016-10-18 00:11:50.565761,Indianapolis
26,"Carmel, IN",Adesa Inc.,"The KAR Data. You are also the subject matter expert on. Of statistical tools such as R, SAS or SPSS. Of advanced analytics modeling....",319dd6242b9845f0,Business Analyst,,40.2,205,28 days,2016-10-18 00:11:50.565761,Indianapolis
27,"Indianapolis, IN 46240",Crowe Horwath,Special Skills Excellent communication skills Expert level programming skills in R Experience with a statistical package and various programming languages such...,2da39895f98ad347,Data Scientist/Modeling - Applied Technology - 12053,,42.6,78,30+ days,2016-10-18 00:11:50.565761,Indianapolis
28,"Indianapolis, IN",Eli Lilly,Collaborate with data management in the planning and implementation of data quality assurance plans. Effectively utilize current technologies and available...,4b9bebdf69073660,Statistician-Clinical Programmer-FDE,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
29,"Indianapolis, IN",Eli Lilly,Collaborate with data management in the planning and implementation of data quality assurance plans. Effectively utilize current technologies and available...,ce8511d1b9058d7b,Statistician-Clinical Programmer,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
30,"Indianapolis, IN",Odyssey,We value cross-functional team members who can lend a hand to our data scientists. Can do a little Python or have an interest in data science or machine...,9bef95bf0dd021dd,Senior Software Developer,,43.8,42,11 days,2016-10-18 00:11:50.565761,Indianapolis
31,"Indianapolis, IN",Odyssey,We value cross-functional team members who can lend a hand to our data scientists. Can do a little Python or have an interest in data science or machine...,408da6dedee26d3f,Ad Engineer,,43.8,42,8 days,2016-10-18 00:11:50.565761,Indianapolis
32,"Indianapolis, IN",St. Vincent Health,"Recommends processes for collecting relevant data and verifying accuracy. Bachelor's Degree in health or hospital administration, business administration or...",82fdc9f5065a1d58,Planning Analyst and Research / St Vincent Health Admin / FT...,,42.6,47,30+ days,2016-10-18 00:11:50.565761,Indianapolis
33,"Indianapolis, IN",Eli Lilly,Collaborate with data integrators in the planning and implementation of data integration plans. Effectively utilize current technologies and available tools for...,4100bfec2a8e213f,Statistician-Clinicial Programmer,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
34,"Indianapolis, IN",KCI Technologies,"Specific duties may include, but are not limited to, wetland and stream assessments, preparation of permit applications, macroinvertebrate sampling, water...",9d32bba38b9e0206,Scientist in Training,,39.6,7,29 days,2016-10-18 00:11:50.565761,Indianapolis
35,"Indianapolis, IN",Data Realty / Aunalytics,Utilize the proprietary software Aunsight to create a multitude of analytics ready data sets that can be used by business analysts in various visualizations...,59a3181ebc56b1d1,Technology Sales Associate,,,,13 hours,2016-10-18 00:11:50.565761,Indianapolis
36,"Indianapolis, IN",Eli Lilly,Influence relevant scientists within CMC to design shipping studies incorporating product quality requirements and regulatory expectations....,81d3a4b07e3e7319,Distribution Engineer,,52.199997,603,12 days,2016-10-18 00:11:50.565761,Indianapolis
37,"Indianapolis, IN",ERM,"For over 40 years we have been working with clients around the world, in diverse industry sectors to help them to understand and manage their environmental,...",4e9a067a6c445a41,Staff Environmental Engineer/Scientist (Indianapolis),,39.6,30,21 days,2016-10-18 00:11:50.565761,Indianapolis
38,"Indianapolis, IN",Eli Lilly,The scientist will interact closely with other scientists and may be an integral part of multidisciplinary teams that provide support for product and process...,934ab46aefd6a9ad,Formulation Scientist-Bioproduct Research and Development,,52.199997,603,25 days,2016-10-18 00:11:50.565761,Indianapolis
39,"Indianapolis, IN",Eli Lilly,"Master of Science in Statistics or related scientific field. JMP, SAS, R, S-Plus, etc.). Demonstrate a thorough understanding of the process/systems relevant to...",543d096da6f3ffbb,Statistician-Manufacturing Sciences,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
40,"Indianapolis, IN",Eli Lilly,The Laboratory for Experimental Medicine (LEM) develops clinical and translational biomarkers to support protocol driven clinical trials....,b98e0690f90af8e6,Scientist,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
41,"Indianapolis, IN",Eli Lilly,Work with the IT application development group to help develop and implement solutions for data access and visualization for the broader Lilly scientific...,b51cc8857e55377c,Research Scientist-IT,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
42,"Indianapolis, IN",Eli Lilly,"Through application of scientific training and relevant experience, a team of scientists design needed chemistry, formulation, engineering, and analytical...",ed876c77d974a07d,Technician- Small Molecule Drug Development,,52.199997,603,10 days,2016-10-18 00:11:50.565761,Indianapolis
43,"Indianapolis, IN",Odyssey,We value cross-functional team members who can lend a hand to our data scientists. Can do a little Python or have an interest in data science or machine...,aeb7fa4280c565a9,Senior Software Engineer,,43.8,42,11 days,2016-10-18 00:11:50.565761,Indianapolis
44,"Indianapolis, IN","Beckman Coulter, Inc.","For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying...",1ede2b95ff57e7fc,Training Program Manager,,42.6,245,30+ days,2016-10-18 00:11:50.565761,Indianapolis
45,"Indianapolis, IN",Eli Lilly,Specialists assist in the development and characterization of clinical biomarker assays to support clinical drug development....,f968e8f8e7710dbb,Senior Specialist- Histotech (Clinical Diagnostics Laborator...,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
46,"Indianapolis, IN","Beckman Coulter, Inc.","For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying...",82fd101e4cefb8ab,Vice President Service – North America and Western Europe,,42.6,245,2 days,2016-10-18 00:11:50.565761,Indianapolis
47,"Indianapolis, IN",Covance,Author/ co-author scientific papers/posters which are published or presented at scientific meetings. Provide technical/scientific guidance and leadership to...,a8f723d24d3c8031,Principal Investigator Bioanalytical,,40.2,195,13 days,2016-10-18 00:11:50.565761,Indianapolis
48,"Indianapolis, IN",Eli Lilly,"The purpose of the Scientific Communications Consultant role is to collaborate with cross-functional, multidisciplinary teams across multiple geographies and...",e74a34bc38106d35,Senior Leader of Medical Communications,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
49,"Indianapolis, IN 46225","MDwise, Inc",Serve as a subject matter expert as needed. Respond to and resolve provider and health plan claim inquiries....,a98a33d731a95d50,Claims Research Analyst,,42.6,5,30+ days,2016-10-18 00:11:50.565761,Indianapolis
50,"Indianapolis, IN",Eli Lilly,"The ideal scientist is expected to work effectively with partners from peptide chemistry, biology, and ADME to support drug discovery from hit identification to...",8bdd5836809302c9,Research Scientist-Peptides Biophysical Characterization & F...,,52.199997,603,11 days,2016-10-18 00:11:50.565761,Indianapolis
51,"Indianapolis, IN","Beckman Coulter, Inc.","For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying...",aa5e9106886829a1,CMS Sitecore Developer,,42.6,245,30+ days,2016-10-18 00:11:50.565761,Indianapolis
52,"Indianapolis, IN 46202",SmartFile,Campaign Management & Optimization - Manage campaigns to ensure that they continually improve over time. Reporting & Analysis - Master the art of performance...,58bf383d1d11163e,Performance Marketer (SEM/PPC) - Contract Position,,60.0,4,30+ days,2016-10-18 00:11:50.565761,Indianapolis
53,"Indianapolis, IN",Eli Lilly,"Through scientific training and relevant experience, a team of scientists and team leaders support the portfolio from early clinical development through the...",1ecceba4e5bdda1b,Principle Research Scientist- CMC Leader,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
54,"Indianapolis, IN",Eli Lilly,"This position may require interaction with Quality Assurance, Bio product Research and Development scientists, Analytical Services, Technical Services...",2b2849cad847df34,Laboratory Bioprocess Operator,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
55,"Indianapolis, IN",Eli Lilly,"Support the Medical Education Advisor to facilitate overarching view of therapeutic area, disease state, compound, available data, customer questions, life...",c81abf6eb28871c8,Medical Slide Coordinator-Fixed Duration,,52.199997,603,21 days,2016-10-18 00:11:50.565761,Indianapolis
56,"Indianapolis, IN","Beckman Coulter, Inc.","For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying...",7bf6e3493b671b3d,North America Field Operations Coordinator,,42.6,245,24 days,2016-10-18 00:11:50.565761,Indianapolis
57,"Indianapolis, IN",Eli Lilly,"Use population-based health statistics and electronic health information databases (e.g., national mortality rates, GPRD, and health claims databases) in...",4b34fa88ac1f0ba1,Post-Doctoral Scientist-Pharmacoepidemiology-FDE,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
58,"Indianapolis, IN",Eli Lilly,"Understand the scientific principles required for manufacturing parenteral drug products, including the interaction of the chemistry, equipment, aseptic...",005d213af8adf685,Manufacturing Scientist- Technical Services,,52.199997,603,7 days,2016-10-18 00:11:50.565761,Indianapolis
59,"Indianapolis, IN",Eli Lilly,"As the information revolution has allowed the collection of vast amount of data, smart analytics such as machine learning and artificial intelligence algorithms...",52701e5f9037e02f,Research Scientist-Clinical Project Statistician-FDE,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
60,"Carmel, IN",PolicyStat,"A deep understanding of analytics, running experiments, and data-driven decision making. Our hands-on implementation and support teams help our clients use the...",0c2a4d6ca3f2efe4,Growth Hacker,,,,30+ days,2016-10-18 00:11:50.565761,Indianapolis
61,"Indianapolis, IN",Eli Lilly,"The Clinical Project Statistician develops or assists in the development of protocol designs, clinical plans, and data analysis plans in collaboration with...",488e6309a8d00a9e,Research Scientist-Clinical Project Statistician,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
62,"Indianapolis, IN","Beckman Coulter, Inc.","For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying...",56ab08a89be3a96c,Service Inside Sales Representative,,42.6,245,30+ days,2016-10-18 00:11:50.565761,Indianapolis
63,"Indianapolis, IN",Ace Talent Curators,"Would be doing data ingestion and wrangling data. Need to have some level of experience as a data scientist, in some capacity....",7d4a4d5522ef7d04,Big Data Developer/scientist – data applications,$110 an hour,,,30+ days,2016-10-18 00:11:50.565761,Indianapolis
64,"Greenfield, IN 46140",Covance,5 or more years of scientific experience relevant to the performance of biopharmaceutical laboratory testing....,fddc7b779367b392,Staff Scientist I - In Vivo Lab,,40.2,195,30+ days,2016-10-18 00:11:50.565761,Indianapolis
65,"Indianapolis, IN",Eli Lilly,Work with the IT application development group to help develop and implement solutions for data access and visualization for the broader Lilly scientific...,569d21d5cc269932,Research Scientist-IT-Business Informatics Analyst,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
66,"Indianapolis, IN",Eli Lilly,"Partner with contributing areas (e.g., GMC, Data Services, Regulatory Scientists, NIS, RACMC, etc.). The Submission Publisher builds eCTD expertise and partners...",b84919a3c29ff2cc,Regulatory eCTD Publisher Assistant,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
67,"Indianapolis, IN",Clif Bar & Company,Ability to assist in project management and to apply principles of logical and/or scientific thinking to the resolution of problems....,2815c46a1d90dfbc,Food Safety and Quality Specialist,,54.0,6,24 days,2016-10-18 00:11:50.565761,Indianapolis
68,"Indianapolis, IN",Eli Lilly,"Partner with contributing areas (e.g., GMC, Data Services, Regulatory Scientists, NIS, RACMC, etc.). The Submission Publisher builds eCTD expertise and partners...",695b57c0641a1881,Regulatory eCTD PublisherAssistant,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
69,"Indianapolis, IN 46278",Wilcox Environmental Engineering,The ability to simultaneously manage multiple project tasks; Wilcox Environmental Engineering has an immediate opening for a Project Scientist in the...,30eb753c4fe67f48,Project Scientist,,,,30+ days,2016-10-18 00:11:50.565761,Indianapolis
70,"Indianapolis, IN",Eli Lilly,"Through application of scientific training and relevant experience, a team of scientists design a process, automated control strategy, online and offline...",c46310270cbed84c,Drug Product Continuous System Integrator,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
71,"Indianapolis, IN",Eli Lilly,The LEM Clinician-Scientists will be expected to maintain and expand an active external focus that includes interaction with relevant regulatory agencies as...,0e702241d86925dd,"Clinical Chemist, Laboratory for Experimental Medicine",,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
72,"Indianapolis, IN",Eli Lilly,"Use population-based health statistics and electronic health information databases (e.g., national mortality rates, GPRD, and health claims databases) in...",3cd87bca3e88db73,Pharmacoepidemiologist - Global Patient Safety - FDE,,52.199997,603,3 days,2016-10-18 00:11:50.565761,Indianapolis
73,"Indianapolis, IN",Eli Lilly,"Quality Team members, Bioproduct Research and Development scientists, Analytical Services, Technical Services Representatives, Engineering, Media Make-up area,...",f2642fd7b8c2a2f7,Operator–Purification-Fixed Duration Employee,,52.199997,603,30+ days,2016-10-18 00:11:50.565761,Indianapolis
