,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Kansas City, MO",Solairity Inc.,"You will build and implement machine learning models to make timely, automated decisions.We are looking for a mixture between a statistician, scientist, machine...",4637c466248b97f1,Data Scientist,,,,30 days,2016-10-18 00:18:34.787165,Kansas City
1,"Kansas City, MO 64106 (Downtown area)",The Nerdery,"Experience with Machine Learning algorithms, Data Mining techniques, Data Munging. Find meaningful patterns in data utilizing Python, R, or SAS....",bd051ff96521f084,Data Scientist: Kansas City,,40.2,5,30+ days,2016-10-18 00:18:34.787165,Kansas City
2,"Kansas City, MO",DST Systems,"These individuals will support Machine Learning and Data Scientists by implementing analytic and sampling jobs in Spark, MapReduce, and SQL and will build new...",c21ba2b93c7a6e07,Data Engineer,,40.8,109,3 days,2016-10-18 00:18:34.787165,Kansas City
3,"Kansas City, MO",The University of Kansas Medical Center,"Subject to the regulations of the State of Kansas, the Board of Regents and the University of Kansas Medical Center, I understand and agree that I may be...",14275358e1d31c89,Research Scientist,,40.8,3,17 days,2016-10-18 00:18:34.787165,Kansas City
4,"Kansas City, MO 64108 (Crown Center area)",BlueCross BlueShield of Kansas City,Data Scientists need to be creative thinkers and propose innovative ways to look at problems by using data mining (the process of discovering new patterns from...,247aea7950f57463,Data Scientist,,51.0,3388,30+ days,2016-10-18 00:18:34.787165,Kansas City
5,"Kansas City, KS",Sogeti,Data Scientists need to be creative thinkers and propose innovative ways to look at problems by using data mining (the process of discovering new patterns from...,996a3725e7ef2f95,Data Scientist,,40.8,77,30+ days,2016-10-18 00:18:34.787165,Kansas City
6,"Kansas City, MO 64108 (Crown Center area)",BlueCross BlueShield of Kansas City,"Utilizing industry standard as well as cutting-edge health economic analytical and statistical techniques, conduct disease specific analyses that provide...",214316fcf4d86bc7,Data Scientist-Pop Health,,51.0,3388,30+ days,2016-10-18 00:18:34.787165,Kansas City
7,"Kansas City, MO",The University of Kansas Medical Center,"Subject to the regulations of the State of Kansas, the Board of Regents and the University of Kansas Medical Center, I understand and agree that I may be...",d305d917ca225d3e,Research Assistant,,40.8,3,6 days,2016-10-18 00:18:34.787165,Kansas City
8,"Kansas City, MO",Cerner Corporation,"Cerner Math is a new, innovative group focusing on developing data-driven business and mathematical model-based solutions for the health industry, positioning...",f9b7fe55f54fd8df,Data Scientist,,43.2,212,30+ days,2016-10-18 00:18:34.787165,Kansas City
9,"Kansas City, MO 64108 (Crown Center area)","Shook, Hardy & Bacon LLP","A Research Analyst reviews, analyzes, organizes, assembles and summarizes medical, technical and scientific literature and documents. Master's degree (M.S., M....",292ae72e903eb4e5,Research Analyst,,53.4,7,14 days,2016-10-18 00:18:34.787165,Kansas City
10,"Kansas City, MO 64106 (Downtown area)",The Nerdery,"Experience with Machine Learning algorithms, Data Mining techniques, Data Munging. Deep Experience with Python, R, or SAS....",0b0e57bda6ec5c36,Senior Data Scientist: Kansas City,,40.2,5,30+ days,2016-10-18 00:18:34.787165,Kansas City
11,"Overland Park, KS",QuintilesIMS,"In-depth knowledge of applicable clinical research regulatory requirements; Knowledge of statistics, programming and/or clinical drug development process....",5ce288a95d35a2e7,Statistical Programmer 2 - Phase 1,,44.4,439,30+ days,2016-10-18 00:18:34.787165,Kansas City
12,"Overland Park, KS",Sprint,Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,dfb5bd6fcb04bf18,Data Scientist III,,43.8,5534,30+ days,2016-10-18 00:18:34.787165,Kansas City
13,"Kansas City, MO 64108 (Crown Center area)",BlueCross BlueShield of Kansas City,Identifies health care cost and utilization drivers related to the health care status and health risks of members with BlueKC plans....,5b8afcf4bba119d0,Health Statistical Analyst,,51.0,3388,30+ days,2016-10-18 00:18:34.787165,Kansas City
14,"Kansas City, MO","Service Management Group, Inc.","The ideal Project Analyst candidate is extremely organized, excels at time management and balancing multiple priorities, is able to work across multiple...",aa050496437f8aef,Market Research Project Analyst,,,,18 days,2016-10-18 00:18:34.787165,Kansas City
15,"Shawnee, KS",KCAS Bioanalytical & Biomarker Services,"Trouble-shoot operation or equipment related problems in the lab under guidance of senior scientists. Process data, review data, and write bioanalytical reports...",2b4ff1aeb4ab5eb5,"Analyst I, Small Molecule",,,,30+ days,2016-10-18 00:18:34.787165,Kansas City
16,"Lenexa, KS",Kiewit Corporation,Strong desire to study the power markets to the detail and becoming the subject expert. Employees pay less than 10% of health care costs (with participation in...,ff01343a21a7b013,Market Research Analyst,,43.8,741,19 days,2016-10-18 00:18:34.787165,Kansas City
17,"Overland Park, KS",Sprint,"This role will interface with sprint's data scientists, data management team, and senior business intelligence analysts to receive reporting and business...",4a14628526017b59,Business Intelligence Analyst III,,43.8,5534,26 days,2016-10-18 00:18:34.787165,Kansas City
18,"Lenexa, KS",PRA Health Sciences,Performs data review of other scientists work. A Scientists primary function is development of methods. Provides key assay input to the research project and...,6e9c35c348237fce,Scientist,,41.4,109,30+ days,2016-10-18 00:18:34.787165,Kansas City
19,"Kansas City, KS","CEVA Animal Health, LLC","Data analysis & statistics. Team Work with other R&D groups, Production Departments and Scientific Support/Product Support Personnel....",8491e4a76f6632fc,Scientist I,,,,19 days,2016-10-18 00:18:34.787165,Kansas City
20,"Lenexa, KS 66215",Clinical Reference Laboratory,"Be able to comply with all applicable federal, state, and local safety and health regulations that would apply to this job....",92eddefaed9c9311,Certifying Scientist - Negatives & Positives,,39.0,23,7 days,2016-10-18 00:18:34.787165,Kansas City
21,"Kansas City, MO",Honeywell,Plans and performs engineering testing and development programs and uses advanced statistical and scientific methods to address and resolve critical engineering...,b4b2535df87b6cc9,Engineer II Software,,44.4,3477,30+ days,2016-10-18 00:18:34.787165,Kansas City
22,"Kansas City, KS 66103","Sekisui XenoTech, LLC",Participate in the training of other data analysts or scientists. Troubleshoot data processing errors. Input and review raw data....,9faa890d11d9a245,Data Analyst I or II,,,,30+ days,2016-10-18 00:18:34.787165,Kansas City
23,"Kansas City, MO",Children's Mercy Hospitals & Clinics,"Bookkeeping, accounting and/or direct clinical trial experience valuable. To ensure the smooth functioning of budgeting and accounting functions related to...",f6eb2fa1dac3ece8,Budget & Billing Analyst- Research,,43.8,16,30+ days,2016-10-18 00:18:34.787165,Kansas City
24,"Kansas City, MO 64111 (Valentine area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",53cae58d4eab6b12,Utility Mgmt Services-Business System Analyst,,51.0,122,17 days,2016-10-18 00:18:34.787165,Kansas City
25,"Kansas City, MO",H&R Block,"Proficiency in SQL plus SAS and/or R with an emphasis on statistical analysis, programming, data manipulation and data quality management skills....",5cd3f106630f6f6a,Senior Data Scientist,,52.800003,4697,30+ days,2016-10-18 00:18:34.787165,Kansas City
26,"Kansas City, MO",Honeywell,"With approximately 132,000 employees worldwide, including more than 22,000 engineers and scientists, we have an unrelenting focus on performance, quality,...",a10f164b213acacd,Electronics Test Inspector,,44.4,3477,3 days,2016-10-18 00:18:34.787165,Kansas City
27,"Kansas City, MO",Viracor-IBT Laboratories,"Perform regulatory and scientific review of validation SOPs, protocols, plans, reports and documentation for compliance to Quality System and regulatory...",15076299b49e0393,QA Scientist - Auditor,,,,10 days,2016-10-18 00:18:34.787165,Kansas City
28,"Kansas City, MO",Honeywell,"With approximately 132,000 employees worldwide, including more than 22,000 engineers and scientists, we have an unrelenting focus on performance, quality,...",d12967fa6857b774,Buyer II,,44.4,3477,4 days,2016-10-18 00:18:34.787165,Kansas City
29,"Kansas City, MO 64105",CTI And Associates Inc.,Compiles and organizes environmental data collected byothers and prepares basic data and scientific documents....,0f6c80256a4bb186,Staff Scientist I,,,,30+ days,2016-10-18 00:18:34.787165,Kansas City
30,"Overland Park, KS 66210",Cardinal Health,"Interpret clinical data, analyze published literature, define problems, collect and interpret data, establish facts, draw valid scientific conclusions, and...",85349fa7e84e37fa,Principal Scientist - Medical Writing,,43.2,1236,6 days,2016-10-18 00:18:34.787165,Kansas City
31,"Kansas City, MO","LS Technologies, LLC","Maintenance of telecommunications equipment including local area networks (LAN) wide area networks (WAN), serial data service, digital broadband service (DDS...",83bfb9931975f9a2,Senior II Scientist/Engineer/Systems Analyst,,39.0,5,17 days,2016-10-18 00:18:34.787165,Kansas City
32,"Kansas City, MO",Cerner Corporation,"The medication management informatician will collaborate with clinicians, data scientists, and technical experts to create intelligent medication management...",2fef4cbd97f7cbb1,Pharmacist Informatician,,43.2,212,20 days,2016-10-18 00:18:34.787165,Kansas City
33,"Kansas City, MO",Honeywell,Monitors the health of the network and serves as the primary subject matter expert for areas of responsibility....,5fd37857746354bf,Senior Network Analyst,,44.4,3477,30+ days,2016-10-18 00:18:34.787165,Kansas City
34,"Leavenworth, KS",SAIC,Interprets results and formulates insights and findings underpinned by the data analysis. Project Management skills....,17b09e640c475f20,Operations Research Analyst Job,,51.6,1269,30+ days,2016-10-18 00:18:34.787165,Kansas City
35,"Kansas City, MO 64137 (Royal Oaks area)",Catalent Pharma Solutions,"With over 80 years serving the industry, Catalent has proven expertise in bringing more customer products to market faster, enhancing product performance and...",1c0f9091d45d7c57,Associate Scientist,,39.6,122,30+ days,2016-10-18 00:18:34.787165,Kansas City
