,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Redondo Beach, CA 90278",Northrop Grumman,"Collaborative with, mentor and coach other analytics professionals to continuously build a broader and deeper data science and analytics capability....",73d1fcb59ce3fa6d,Data Scientist 3/4,,51.0,2126,4 days,2016-10-17 23:40:02.877287,Los Angeles
1,"Beverly Hills, CA",Park computer systems,"Work with the finance experts, data scientists and data engineers in the Content org to develop metrics & analytical approaches to understand nuance around...",7d3e03ecad46c3d1,Senior Data Analytics,,,,6 days,2016-10-17 23:40:02.877287,Los Angeles
2,"Los Angeles, CA",Snap Inc.,"Apply your expertise in quantitative analysis, data mining, and the presentation of data to identify and convey key product trends and opportunities....",93d291c0930f2bc3,"Data Scientist, Product Analytics",,,,23 days,2016-10-17 23:40:02.877287,Los Angeles
3,"Pasadena, CA",Jet Propulsion Laboratory,Experience with interfacing with scientists and engineers. Will be a member of the Science Data Visualization Group and will report to the Group Supervisor....,2f3791d561fa96ea,Data Visualization Developer I,,52.199997,53,4 days,2016-10-17 23:40:02.877287,Los Angeles
4,"Pasadena, CA",LaBine and Associates,"Collaborate with stakeholder teams to uncover complex issues, understand business challenges, design scientific analytical process, improve functional...",a9ed0d7467c5d2c9,Data Scientist,,,,11 days,2016-10-17 23:40:02.877287,Los Angeles
5,"West Hollywood, CA",Homee,2+ years in a data scientist role. 2+ years Data mining experience. Work with departmental managers to outline the specific data needs for each business method...,98efd86e16e93496,Data Analyst,,,,11 days,2016-10-17 23:40:02.877287,Los Angeles
6,"Santa Monica, CA 90404","Cornerstone OnDemand, Inc.","We have been working in Cloud computing for 15+ years and now working on exciting projects in PaaS, Big Data and Predictive Analytics....",ec2ed16e354e976c,"Software Engineer, Machine Learning",,52.199997,15,4 days,2016-10-17 23:40:02.877287,Los Angeles
7,"Los Angeles, CA",University of Southern California,"Our mission is to support, promote and accelerate scientific discoveries and their application in real-life settings to improve health in diverse populations....",ed7a6ced5445b502,BERD Statistician,,52.199997,355,6 days,2016-10-17 23:40:02.877287,Los Angeles
8,"Santa Monica, CA",Amazon Corporate LLC,"Data Scientist Role. Programming, prototyping, scripting and visualization skills (Oracle, SQL, SAS, R, Weka, Python, Java)....",d879690b4c698d4a,Data Scientist III - Amazon Studios - Santa Monica,,43.2,9619,30+ days,2016-10-17 23:40:02.877287,Los Angeles
9,"Playa Vista, CA",Fullscreen,Collaborate with our Principal Data Scientist to build machine learning libraries from scratch. You may not be experienced with statistical modeling or machine...,db57d7e793279b17,"Backend Software Engineer, Data Science Team",,51.6,9,3 days,2016-10-17 23:40:02.877287,Los Angeles
10,"Westwood, CA",Ronald Reagan UCLA Medical Center,"You should also be able to conceptualize tables and graphs from raw data, and convey data through written manuscripts for scientific journals and medical...",f872e663ac0c3956,Principal Statistician,,53.4,23,4 days,2016-10-17 23:40:02.877287,Los Angeles
11,"Los Angeles, CA",University of Southern California,The Statistician will use clinical study data analyses and machine learning techniques to effectively extract and manipulate clinical data sets for analysis....,8bc7b648e63cd218,Statistician I,,52.199997,355,5 days,2016-10-17 23:40:02.877287,Los Angeles
12,"Los Angeles, CA 90028",ZestFinance,Expert command of SQL and R or Python as applied to data science. 3+ years managing a team of data scientists....,5889920772bcab5c,"Director, Data Science",,51.0,2,13 days,2016-10-17 23:40:02.877287,Los Angeles
13,"Los Angeles, CA",tronc,You'll work closely with Data Scientists to help uncover and build data features that power machine learning models and learn hard-won techniques for avoiding...,04dd780ba9745f50,Data Engineer,,,,10 days,2016-10-17 23:40:02.877287,Los Angeles
14,"Los Angeles, CA 90028",ZestFinance,ZestFinance is a technology startup that uses machine learning and large-scale data analysis to transform credit availability for millions of Americans....,1280ea3c97d8d6b3,"Manager, Machine Learning Modeler / Data Scientist",,51.0,2,5 days,2016-10-17 23:40:02.877287,Los Angeles
15,"Los Angeles, CA",Selby Jennings,"A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. If you are interested, please apply below with an...",ab4bc1a48e434157,Quantitative Analyst - Multiple Vacancies,"$120,000 a year",,,51 minutes,2016-10-17 23:40:02.877287,Los Angeles
16,"Santa Monica, CA",WELLS FARGO BANK,"Or a BS/BA degree or higher in a quantitative field such as applied math, statistics, engineering, physics, accounting, finance, economics, econometrics,...",a2288d9fa2447a6b,Analytic Consultant 1 (Data and Research Analyst),,43.8,13899,4 days,2016-10-17 23:40:02.877287,Los Angeles
17,"Los Angeles, CA",Riot Games,"As an Analyst Intern (Grad), you’ll join the Insights discipline – the group of researchers, analysts, data scientists, and strategists responsible for solving...",227e4ffcf91bddf6,Insights Analyst Intern (Grad),,51.6,8,11 days,2016-10-17 23:40:02.877287,Los Angeles
18,"Santa Monica, CA",Edmunds.com,"Master's degree in a quantitative field, such as mathematics, statistics, physics, computer science, business analytics, etc. with at least three years of...",1efe6a60e08db9ac,Data Analyst/Data Scientist,,43.8,10,22 days,2016-10-17 23:40:02.877287,Los Angeles
19,"Woodland Hills, CA 91367",Intuit,"Experience mining data with Machine Learning Techniques. Applies proven methods in working with divergent data types, data scales, and big data, to explore and...",7a78e60d1dd821e5,Data Scientist,,52.199997,467,9 days,2016-10-17 23:40:02.877287,Los Angeles
20,"Los Angeles, CA",UCLA Health,"This position will require the ability to conduct and manage behavioral and clinical research under the direction of the SRA 3, complete tasks according to...",c278ac48cb1c1ce9,Statistical Researcher,,42.0,23,18 days,2016-10-17 23:40:02.877287,Los Angeles
21,"Los Angeles, CA",Camino Financial,The Data Scientist will utilize advanced analytics and predictive models to build the organization’s understanding of business clients....,291faaef956e1882,Data Scientist position at a vc-funded financial services co...,,,,29 days,2016-10-17 23:40:02.877287,Los Angeles
22,"Los Angeles, CA",The Boston Consulting Group,"Understand problems from the client’s point of view, build and execute solid analytics work plans, gather and organize large and complex data assets, perform...",1f7fec3f67708b03,Data Scientist,,52.199997,58,30+ days,2016-10-17 23:40:02.877287,Los Angeles
23,"Santa Monica, CA",AirMap,"You know how to analyze data and pull out key insights using data analysis, data mining, optimization tools, and machine learning techniques and statistics....",0fc25f1e04ff6310,Data Scientist,,,,30+ days,2016-10-17 23:40:02.877287,Los Angeles
24,"Los Angeles, CA 90005",Kites Consulting,"To uncover complex issues, understand business challenges, design scientific analytical process, improve functional efficiency and assist in infrastructure...",ca2c27535b1c9761,Data Scientist - CA,,,,30+ days,2016-10-17 23:40:02.877287,Los Angeles
25,"Culver City, CA",GOAT,Proficiency in statistical analytics and machine learning algorithms especially for supervised and unsupervised methods....,d5dc49d2b85c5329,Data Scientist,,,,30+ days,2016-10-17 23:40:02.877287,Los Angeles
26,"Seal Beach, CA 90740",BOEING,"Skilled scientists and thinkers. The analyst provides subject matter expertise when supporting Material Review Boards, Integrated Product Teams (IPTs), Model...",74ee335151ff0800,Service Technical Analyst,,51.6,2926,4 hours,2016-10-17 23:40:02.877287,Los Angeles
27,"Pasadena, CA",Spokeo,"Collaborate with Product, Marketing, and Customer Care teams to uncover complex issues, understand business challenges, design scientific analytical process,...",287caef450491118,Senior Data Scientist - Business Analytics and Experimentati...,,,,30+ days,2016-10-17 23:40:02.877287,Los Angeles
28,"Los Angeles, CA",The Boston Consulting Group,"We are an interdisciplinary advanced analytics office composed of data scientists and BCG consultants, collectively delivering a unique combination of domain...",89f9ff617a1ae058,"Data Scientist, Operations",,52.199997,58,30+ days,2016-10-17 23:40:02.877287,Los Angeles
29,"Los Angeles, CA",CrowdStrike,Our Data Engineers work with Data Scientists and other teams to create an environment for Machine Learning models to be developed and deployed as part of the...,486692d4f70d90b1,Data Engineer,,,,28 days,2016-10-17 23:40:02.877287,Los Angeles
30,"Burbank, CA",Warner Bros. Entertainment Group,"In addition, to these responsibilities you will also have the opportunity to support interesting projects and help the business with predictive analytics,...",9dd164ef6fc45eeb,Senior Data Visualization Engineer,,52.800003,152,10 days,2016-10-17 23:40:02.877287,Los Angeles
31,"Pasadena, CA",3M,"Leads and conducts scientific research in the areas of image processing, biometric acquisition, feature extraction and recognition....",78ce546b08d147ba,"Biometric Research Scientist* (Pasadena, CA) Job",,51.6,1414,2 days,2016-10-17 23:40:02.877287,Los Angeles
32,"Pasadena, CA 91125",Mindports,We are looking for a researcher that can push the boundaries of real-time data analytics; One who is not afraid to ask “what-if?” questions and innovate both in...,96647bfc69ed2cec,Data Scientist (Contract w potential for rapid liquidity),,,,30+ days,2016-10-17 23:40:02.877287,Los Angeles
33,"Los Angeles, CA",Riot Games,Work closely with fellow data scientists and engineers to identify opportunities and improve our Insights data ecosystem....,f42e6fbdbd8e37ba,Data Scientist - Machine Learning Platform,,51.6,8,30+ days,2016-10-17 23:40:02.877287,Los Angeles
34,"Los Angeles, CA",inMarket,"We are looking for data scientists who are passionate about using data to drive strategy and product recommendations, and is able to develop successful...",39a1e815ac6e56f0,Data Scientist,,,,30+ days,2016-10-17 23:40:02.877287,Los Angeles
35,"Los Angeles, CA 90045",Loyola Marymount University,"Conduct data analysis, interpret research data, develop conclusions, and communicate findings to stakeholders through effective oral and written communication....",be319fe7c782a291,Research Scientist,,53.4,64,30+ days,2016-10-17 23:40:02.877287,Los Angeles
36,"Los Angeles, CA",The Honest Company,Learn and apply new methodologies surrounding applied machine learning/computer science/statistics and make approximations when needed to build scalable...,5aa36a39ddd17823,Data Scientist,,52.800003,7,30+ days,2016-10-17 23:40:02.877287,Los Angeles
37,"Los Angeles, CA",TBWA\Chiat\Day,"Agency subscriptions and freely available online sources of data. Manage productive relationships with agency planners, account management and agency leadership...",0281c5997ab15bb3,Senior Research Analyst/Intelligence Officer,,43.8,4,15 days,2016-10-17 23:40:02.877287,Los Angeles
38,"Los Angeles, CA",Deloitte,Experienceworking as a Data Scientist. 3+years of relevant technology architecture consulting or industry experience toinclude experience in Information...,c9df6a84ea82e646,Big Data Senior Consultant,,51.0,3469,30+ days,2016-10-17 23:40:02.877287,Los Angeles
39,"Manhattan Beach, CA",PeerStreet,Mastery of SQL and R or Python as applied to data science. We are seeking an experienced Data Scientist to join our team to manage our modeling strategy....,656c0b381c5f1ffd,Sr. Data Scientist,,,,30+ days,2016-10-17 23:40:02.877287,Los Angeles
40,"Los Angeles, CA",Riot Games,"You've earned badges in data mining, data-intensive application development, databases, object-oriented design, machine learning algorithms, and statistics...",df5764a1ae33351b,Data Scientist,,51.6,8,30+ days,2016-10-17 23:40:02.877287,Los Angeles
41,"Los Angeles, CA",GUESS?. Inc.,"Mine large sets of data from GUESS?, Inc's data warehouse using SQL to analyze the efficacy of marketing campaigns, assess the state of the customer database,...",f65192f505e75039,CRM Data Scientist,,43.8,963,30+ days,2016-10-17 23:40:02.877287,Los Angeles
42,"Santa Monica, CA 90401",Perr&Knight,"A Perr&Knight statistical analyst is responsible for running formatting and data validation programs, evaluating data quality results, performing financial...",72b3d273858d8629,Statistical Reporting Analyst,,52.800003,3,3 days,2016-10-17 23:40:02.877287,Los Angeles
43,"Pasadena, CA",California Institute of Technology,Conduct experiments to study and investigate scientific problems. Analyze and evaluate applicability of collected data;...,4299f9348c3cd236,Assistant Research Scientist,,51.6,64,3 days,2016-10-17 23:40:02.877287,Los Angeles
44,"Santa Monica, CA 90404",Red Bull,"R, Python, Pandas, SQL, etc. Collaborate with business and technical teams to formulate the problem, recommend a solution approach and design a data...",737c7847cbe42760,"Senior Data Scientist, Data Services",,51.6,397,30+ days,2016-10-17 23:40:02.877287,Los Angeles
