,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Miami, FL 33132 (Downtown area)",Royal Caribbean Cruises Ltd.,"In-depth experience in data mining, business intelligence, data analytics, and project management required....",0595d86f74b60cae,Data Scientist,,52.199997,788,17 days,2016-10-18 00:03:53.428289,Miami
1,"Miami, FL",Tigo,"Proficient with machine learning, coding, text & image mining, network science and data visualization. The Advanced Analytics Manager (Senior Data Scientist)\...",c824378419ee7b89,Senior Data Scientist,,52.199997,89,19 days,2016-10-18 00:03:53.428289,Miami
2,"Coral Gables, FL",University of Miami,"This individual will direct and manage research staff with lab techniques routinely done such as rodent surgeries, tumor cell implantation, tumor...",f257623cec668305,Scientist,"$77,600 - $139,600 a year",51.6,273,7 hours,2016-10-18 00:03:53.428289,Miami
3,"Miami Gardens, FL",Lawrence Factor Inc,"Employ various languages to develop systems and products, including C++, Basic & Visual Basic, HTML, MS access, Thermo Scientific “OMNIC”, SQL Server....",55845e1960b0c28b,Data and Systems Development Professional,,,,1 day,2016-10-18 00:03:53.428289,Miami
4,"Coral Gables, FL",University of Miami,"UHealth-University of Miami Health System, South Florida's only university-based health system, provides leading-edge patient care powered by the ground...",01531ed034c28b9c,Research Associate 1,"$32,900 a year",51.6,273,13 hours,2016-10-18 00:03:53.428289,Miami
5,"Miramar, FL",AVEVA Drug Delivery Systems,Ability to analyze and interpret the analytical data under minimum supervision. Timely communicate to supervisor(s) the obtained data and any issues aroused...,62032e64afabe0bf,ANALYTICAL SCIENTIST II,,43.2,6,30+ days,2016-10-18 00:03:53.428289,Miami
6,"Miami, FL",IQ Workforce,"The Data Scientist position requires a multidisciplinary approach to technology, business, and marketing applied together to unlock insights hidden within their...",d2356d0f9058f36f,Data Scientist,,,,18 days,2016-10-18 00:03:53.428289,Miami
7,"Miami, FL",Jackson Health System,In addition this position will manage the billing process for clinical trials with research related activities including the receipt and allocation of research...,330f9eb3836df3d1,Research Bill Code Analyst,,43.8,51,24 days,2016-10-18 00:03:53.428289,Miami
8,"Coral Gables, FL",University of Miami,"Of Miami Health System, South Florida's only university-based health system,. Clinics) where patient care is provided, or work in patient care or clinical....",c7523e4df75c0871,Research Analyst,"$32,900 - $59,100 a year",51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
9,"Miami, FL",Smith Hanley Associates,"Execute operations research projects, manage data requirements, strategy, and delivery of results. Conduct analysis of business data to present insights....",31f17a804cc9e210,Statistical Operations Research Analyst,"$75,000 - $95,000 a year",51.6,12,18 days,2016-10-18 00:03:53.428289,Miami
10,"Miami Lakes, FL",Walgreens,"And, we remain a trusted wellness provider offering convenient access to important health services, such as immunizations and an array of pharmacy services that...",543cf96e431dd4ec,Analyst CCO Performance Research (Non-Clinical),,43.8,13067,9 days,2016-10-18 00:03:53.428289,Miami
11,"Hollywood, FL 33021",Memorial Healthcare System,"Knowledge of advanced analytics, data visualization, econometric techniques, statistical modeling, data mining, text mining, data warehousing, database design,...",a0e2e3a4c9524fcc,Data Scientist,,44.4,73,30+ days,2016-10-18 00:03:53.428289,Miami
12,"Fort Lauderdale, FL",JetSmarter,"Experience with production code, visualizing data, and machine learning desirable. 2+ years of experience as Data Scientist....",f137e6a4267784a8,Data Scientist,,,,30+ days,2016-10-18 00:03:53.428289,Miami
13,"Aventura, FL",Tranzport Inc.,"Intermediate or expert in one or more of image processing algorithms, machine learning, data mining, pattern matching and parallel processing using high...",026d6912a1bb8514,Software Developer Machine Learning,,,,1 day,2016-10-18 00:03:53.428289,Miami
14,"Coral Gables, FL",University of Miami,"UHealth-University of Miami Health System, South Florida's only university-based health system, provides leading-edge patient care powered by the ground...",fab72114c7fe9e95,Lead Research Analyst (Biostatistics),"$77,600 - $108,600 a year",51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
15,"Coral Gables, FL",University of Miami,"UHealth-University of Miami Health System, South Florida's only university-based health system, provides leading-edge patient care powered by the ground...",3f42020f090345e1,Sr. Research Associate 1,"$40,000 - $72,000 a year",51.6,273,4 days,2016-10-18 00:03:53.428289,Miami
16,"Pinecrest, FL",T3 Trading Group LLC,"If you have a strong analytical and statistical background along with current market experience, please send an updated resume to discuss a potential career...",ef8ed32c938bd4ed,Statistical Pairs Trading Position,,51.0,4,30+ days,2016-10-18 00:03:53.428289,Miami
17,"Coral Gables, FL",University of Miami,"UHealth-University of Miami Health System, South Florida's only university-based health system, provides leading-edge patient care powered by the ground...",2dc3905448dac646,Assistant Scientist,"$53,900 - $96,900 a year",51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
18,"Coral Gables, FL",University of Miami,"UHealth-University of Miami Health System, South Florida's only university-based health system, provides leading-edge patient care powered by the ground...",083feebde0bb3384,"Research Associate 2, SOM","$32,900 - $59,100 a year",51.6,273,6 days,2016-10-18 00:03:53.428289,Miami
19,"Miami, FL 33186",Noven Pharmaceuticals,"Data and generates figures/data trends. Executes against project plans and goals as assigned. Scientific principles, methods, chromatographic....",c4e19a40502f31fe,Sr. Scientist,,43.2,38,30+ days,2016-10-18 00:03:53.428289,Miami
20,"Miami, FL","Beckman Coulter, Inc.",Scientists use our life science research instruments to study complex biological problems including causes of disease and potential new therapies or drugs....,9f2eddea459873eb,Analyst II Procurement,,42.6,245,12 days,2016-10-18 00:03:53.428289,Miami
21,"Miami, FL",Jackson Health System,In addition this position will manage the billing process for clinical trials with research related activities....,49503e0919be315b,Sr. Research Bill Code Analyst,,43.8,51,18 days,2016-10-18 00:03:53.428289,Miami
22,"Coral Gables, FL",University of Miami,"UHealth-University of Miami Health System, South Florida's only university-based health system, provides leading-edge patient care powered by the ground...",a2e241d71448dcc5,Sr. Research Analyst,"$40,000 - $72,000 a year",51.6,273,19 days,2016-10-18 00:03:53.428289,Miami
23,"Miami, FL 33155",Miami Children's Hospital,"Generates, conducts, participates, analyzes, and/or actively disseminates relevant nursing clinical phenomena to promote scientifically based patient care which...",d8b49bb482b27c19,"Research Nurse Scientist (Full Time, Day shift) - 9852",,51.6,96,30+ days,2016-10-18 00:03:53.428289,Miami
24,"Miramar, FL",DeVry Education Group,"Assist Data Scientists in the exploration and validation of data, including understanding and championing the business point of view....",f0b7e70bfa18a999,Senior Data Analyst,,41.4,45,30+ days,2016-10-18 00:03:53.428289,Miami
