,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Waukesha, WI 53188",GE Healthcare,"Experience with data extraction, data cleansing, data manipulation, ETL tools, and big data technologies, data dictionaries, and data management processes....",e0e251b42cca35dd,Global Service Data & Analytics – Data Scientist,,51.0,690,15 hours,2016-10-18 00:22:03.946647,Milwaukee
1,"Milwaukee, WI",CoreLogic,"Develop predictive models and analytic capabilities based on machine learning, mathematical modeling, pattern recognition, and data mining techniques....",a76fc09cbaba2d5d,"Data Scientist, Sr.",,41.4,236,30+ days,2016-10-18 00:22:03.946647,Milwaukee
2,"Milwaukee, WI",Kohl's Corporation,"The incumbent will work closely with both the internal business groups and external vendors to apply statistical modeling, and data mining to develop scorecard...",21131c404e595855,Credit Quantitative Analyst I,,43.8,7898,30+ days,2016-10-18 00:22:03.946647,Milwaukee
3,"Milwaukee, WI",EMD,"Employees and 72 manufacturing sites worldwide, with a portfolio of more than 300,000 products enabling scientific....",e58b90f447c5251e,Scientist,,51.6,30,5 days,2016-10-18 00:22:03.946647,Milwaukee
4,"Milwaukee, WI",,"Job Information Location: Milwaukee, Wisconsin, 53051, United States Job ID: 30879577 Posted: October 15, 2016 Position Title: Credit Quantitative",43d115756a2a2c16,Credit Quantitative Analyst I,,,,2 days,2016-10-18 00:22:03.946647,Milwaukee
5,"Milwaukee, WI",Merck KGaA,"Employees and 72 manufacturing sites worldwide, with a portfolio of more than 300,000 products enabling scientific....",d4d7f80320a9bce3,Scientist,,53.4,5,5 days,2016-10-18 00:22:03.946647,Milwaukee
6,"Milwaukee, WI 53233 (Marquette area)",Aurora HealthCare,"Master's degree in Public Health, Health Outcomes, or Experimental Psychology. Ability to conduct and manage research studies in multi-site health services and...",de905bc3e428a87d,Research Associate Senior,,42.6,263,9 days,2016-10-18 00:22:03.946647,Milwaukee
7,"Milwaukee, WI",Alegeus Technologies,"Knowledge of SQL (either MS SQL, Oracle, etc.). Manage multiple customer cases simultaneously, ensuring all case-related information and activities are...",040d1d8b7f5ebb2d,Systems Research Analyst,,,,3 days,2016-10-18 00:22:03.946647,Milwaukee
8,"Milwaukee, WI",S.C. International,"Seeking strong proficiency with SAS, SQL, and/or R. Extremely successful consulting practice has an immediate need for a Statistical Analyst....",a2addbee06974273,Statistical Analyst -- Health-7445,"$80,000 a year",,,30+ days,2016-10-18 00:22:03.946647,Milwaukee
9,"Brookfield, WI",Old Republic Risk Management,"Verify data accuracy. Compare, calculate, and enter data for manual accounts. Enter information and create reports with data from a variety of sources into...",3ac21a9aa05de589,Statistical Clerk,,42.0,84,10 days,2016-10-18 00:22:03.946647,Milwaukee
10,"Germantown, WI",AAIPHARMA,"Manage and track project progress including monitoring timelines, raw materials, equipment availability and yields to ensure project success....",89e345745a89e2c0,Scientist - Research and Development,,,,30+ days,2016-10-18 00:22:03.946647,Milwaukee
11,"Waukesha, WI 53188",GE Healthcare,"Knowledge of data science, predictive modeling, machine learning. Our journey now continues as we evolve the Revolution architecture, flow it down to other...",e18e6ded43a2df76,Senior Software Engineer,,51.0,690,30+ days,2016-10-18 00:22:03.946647,Milwaukee
12,"Milwaukee, WI",Robert W. Baird,"Review, edit and approve equity research reports and other Research communications with the public to ensure compliance with SEC and FINRA rules and firm policy...",056935f219490fcc,Equities Research Supervisory Analyst,,52.199997,26,30+ days,2016-10-18 00:22:03.946647,Milwaukee
13,"Waukesha, WI","Immucor, Inc","Ensures data, protocols and reports meet project objectives. With a background in Medical Research, the Scientist-Level II will be dedicated to one project or a...",8784669aef697577,Research Scientist II,,,,30+ days,2016-10-18 00:22:03.946647,Milwaukee
14,"Milwaukee, WI 53233 (Marquette area)",Aurora HealthCare,"Experience with data reporting, data integration, or data warehouse design and management. Ensures data is provided to researchers in a manner consistent with...",5be2797cc9b51c86,Research Programmer Analyst Senior,,42.6,263,30+ days,2016-10-18 00:22:03.946647,Milwaukee
15,"Waukesha, WI","Immucor, Inc","Effectively communicate study outlines, data, analysis, and conclusions to technicians, scientists, and business leaders in technical and business forums....",314742736554d741,Postdoctoral Scientist – Cell Culture,,,,10 days,2016-10-18 00:22:03.946647,Milwaukee
16,"Milwaukee, WI","Geosyntec Consultants, Inc.","Our project base includes complex site investigations, often coupled with the application of innovative site remediation technologies and human health and...",9bb7ff2042ed60b8,Junior Remediation Engineer (40359),,,,30+ days,2016-10-18 00:22:03.946647,Milwaukee
17,"Milwaukee, WI",Merck KGaA,"As science advances, we advance with it, offering new insight and cutting-edge technologies helping our customers solve the world's most challenging human...",d4f5d6d76b41f0d2,"Scientist, Production Associate Sr",,53.4,5,19 days,2016-10-18 00:22:03.946647,Milwaukee
