,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Manhattan, NY",JPMorgan Chase,7acc50463aab0cd5,Digital Data Scientist,,44.4,10697,1 day,2016-10-15 18:28:54.466089
1,"New York, NY 10003 (Greenwich Village area)",Verizon,c50d1284a8b58184,Data Scientist - Entry Level,,44.4,11108,4 days,2016-10-15 18:28:54.466089
2,"New York, NY",Quovo,d440cf741745f761,Data Scientist,,,,1 day,2016-10-15 18:28:54.466089
3,"New York, NY 10032 (Washington Heights area)",Morgan Stanley,f0b32c73f8383044,Data Scientist / Modeler,,44.4,1523,5 days,2016-10-15 18:28:54.466089
4,"New York, NY 10003 (Greenwich Village area)",Verizon,cdb4ec912f0a7ad7,Data Scientist,,44.4,11108,4 days,2016-10-15 18:28:54.466089
5,"New York, NY 10014 (West Village area)",Squarespace,720492247ff1279e,Data Scientist,,55.199997,15,1 day,2016-10-15 18:28:54.466089
6,"New York, NY",Dataiku,27d9f7a620783cde,Data Scientist - USA,,,,9 days,2016-10-15 18:28:54.466089
7,"New York, NY",WebMD,dc83aef5bd9a2b7f,Data Scientist,,42.6,79,3 days,2016-10-15 18:28:54.466089
8,"New York, NY",Barclays,da51764d46d036c7,Data Scientist,,51.0,2188,2 days,2016-10-15 18:28:54.466089
9,"New York, NY",Macy's,40d1d5104c41e124,Data Scientist,,43.2,14170,10 days,2016-10-15 18:28:54.466089
