,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Philadelphia, PA",MeetMe,"Experience in data mining, machine learning, statistics, business analytics, and computational linguistics would be invaluable....",bb77d2f82fe66365,Data Scientist/Big Data Engineer,,,,4 days,2016-10-17 23:57:11.965184,Philadelphia
1,"Philadelphia, PA",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist to join our...",37bde6fcc81a7c37,Data Scientist,,51.0,1768,3 days,2016-10-17 23:57:11.965184,Philadelphia
2,"Plymouth Meeting, PA",QuintilesIMS,"Apply machine learning, data mining technologies in developing innovative solutions in pharmaceutical industry....",6d914185bb0803d7,Data Scientist,,44.4,439,2 days,2016-10-17 23:57:11.965184,Philadelphia
3,"Philadelphia, PA",University of Pennsylvania,"Responsible for computational analysis of clinical data and biomedical research data using artificial intelligence (AI), machine learning (ML), and visual...",707b9b2159f3977d,DATA SCIENTIST,,52.199997,284,16 days,2016-10-17 23:57:11.965184,Philadelphia
4,"Philadelphia, PA 19104 (Belmont area)",Children's Hospital of Philadelphia,The Data Scientist I in The Children’s Hospital of Philadelphia’s Department of Biomedical and Health Informatics will perform exploratory data analysis with an...,49b388647394c872,DBHi Data Scientist I,,52.199997,263,6 days,2016-10-17 23:57:11.965184,Philadelphia
5,"Philadelphia, PA",Temple University,"The Data Scientist/Developer, reporting to the University Registrar, will support Enrollment Management’s strategic planning activities and goals by researching...",13dc86265f7d5110,Data Scientist/Developer,,52.199997,210,5 days,2016-10-17 23:57:11.965184,Philadelphia
6,"Malvern, PA",Siemens,"Proven success as data scientist/architect working with large data sets, preferably health data, and using analytics to drive growth of a service/product....",c48bf63f1a69718b,Data Scientist,,51.6,4063,15 days,2016-10-17 23:57:11.965184,Philadelphia
7,"Philadelphia, PA",University of Pennsylvania,"Key services to coordinate include clinical data access, data cleaning and quality control, and the use of artificial intelligence (AI), machine learning (ML),...",1411f3f8649e6ba5,DATA SCIENTIST NAVIGATOR,,52.199997,284,16 days,2016-10-17 23:57:11.965184,Philadelphia
8,"Philadelphia, PA",Susquehanna International Group,"You will be responsible for making our existing trading strategies better by applying your background, experience, and intuition to our data, driving our next...",7e6a09ccfd77ea12,Options Quantitative Analyst,,51.0,9,3 days,2016-10-17 23:57:11.965184,Philadelphia
9,"Philadelphia, PA 19104 (Belmont area)",Children's Hospital of Philadelphia,Must have minimum two years experience with clinical databases and clinical research. Participate in clinical research in disease and in other activities to...,fdbc67754b80655e,Research Data Analyst,,52.199997,263,6 days,2016-10-17 23:57:11.965184,Philadelphia
10,"Philadelphia, PA",QuintilesIMS,"Collaborate extensively with business owners, subject matter experts, and go to market teams to develop and deliver analytics leveraging data asset to support...",a0edf7378d64c9ff,"Sr. Programmer / Sr. Statistician, Advanced Analytics",,44.4,439,6 days,2016-10-17 23:57:11.965184,Philadelphia
11,"Philadelphia, PA",AmeriHealth Caritas,"We’re looking for the next generation of health care leaders. Defines problems, collects data, applies advanced economic and mathematical concepts, establishes...",2470d49d46345b49,Data Scientist,,40.2,117,12 days,2016-10-17 23:57:11.965184,Philadelphia
12,"Philadelphia, PA",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Five years of professional experience working as a Data...",5d23c4eed8f51c85,Data Scientist - Financial Services,,51.0,1768,25 days,2016-10-17 23:57:11.965184,Philadelphia
13,"Philadelphia, PA",Emerson Howell Nagel & Associates,Statistical modeling and data mining experience. Experience working with large data sets. Develop architecture for managing data flows from external sources....,d0ab096cb75260cf,Quantitative Analyst,,,,4 days,2016-10-17 23:57:11.965184,Philadelphia
14,"Philadelphia, PA",Public Health Management Corporation,"PhD or equivalent doctoral degree in public health, human development, psychology, behavioral health, criminal justice, health services or related field....",fdd86f7296a33248,Research Scientist,,40.2,33,6 days,2016-10-17 23:57:11.965184,Philadelphia
15,"Philadelphia, PA",Reed Elsevier,"Our cutting edge technology enables scientists, health professionals, and students to make critical decisions, enhance productivity, and improve outcomes....",57cdf3fcdd2d2195,Technology Graduate Entry Scheme: Software Engineer 1,,42.6,32,8 hours,2016-10-17 23:57:11.965184,Philadelphia
16,"Plymouth Meeting, PA",IMS Health,"Apply machine learning, data mining technologies in developing innovative solutions in pharmaceutical industry....",0aa270b42ade129d,Data Scientist,,44.4,439,30+ days,2016-10-17 23:57:11.965184,Philadelphia
17,"Philadelphia, PA",HealthVerity,"Collaborate with other engineers, data scientists, and product/business stakeholders to proactively communicate results....",b0a8fbefe9ab273e,Healthcare Data Privacy Research Scientist,,,,30+ days,2016-10-17 23:57:11.965184,Philadelphia
18,"Philadelphia, PA",Reed Elsevier,The successful candidate will develop specialized systems for completing machine learning assisted tasks and will develop recommendation engines and other...,f6c29b2b160dbcd1,Software Engineer - Machine Learning,,42.6,32,30+ days,2016-10-17 23:57:11.965184,Philadelphia
19,"Philadelphia, PA 19104 (Belmont area)",Children's Hospital of Philadelphia,"MS biostatistics, statistics, clinical epidemiology, health services research, economics or a related field. The analyst works closely with senior statisticians...",2ab90aab02a16d37,Research Statistician I,,52.199997,263,6 days,2016-10-17 23:57:11.965184,Philadelphia
20,"Philadelphia, PA",Independence Blue Cross,"Serving nearly 10 million people in 25 states and the District of Columbia, including 2.5 million in southeastern Pennsylvania, Independence Health Group is the...",235463eef611e1d4,Value-Based Research Analyst,,43.8,344,4 days,2016-10-17 23:57:11.965184,Philadelphia
21,"Philadelphia, PA",Willis Towers Watson,"Building upon our existing advanced analytics and data provisions services, RCS is currently broadening its big data predictive analytics capabilities and is...",c1c9550c8428a746,Data Analytics Manager,,44.4,217,9 days,2016-10-17 23:57:11.965184,Philadelphia
22,"Wilmington, DE",DuPont,For bringing Machine Learning and advanced Data Analytics methods to bear on. Statistical Data Mining. Experience in cutting-edge Data Analytics....,461cc15307eed80c,Bioinformatics Scientist – Data Analytics,,51.0,437,7 days,2016-10-17 23:57:11.965184,Philadelphia
23,"King of Prussia, PA",INC Research,Performs Quality Control to ensure that outputs meet quality standards and project requirements. Experience with clinical trials preferred....,e347735ec7dfd7db,Statistical Programmer II,,42.0,84,11 days,2016-10-17 23:57:11.965184,Philadelphia
24,"Philadelphia, PA",Reed Elsevier,Experience using data analysis techniques like predictive (regression) modeling and with machine learning including supervised or unsupervised learning...,e73354ba3a493a2d,Analytics-Technical Team Lead,,42.6,32,8 days,2016-10-17 23:57:11.965184,Philadelphia
25,"King of Prussia, PA 19406",J2 Solutions,"J2 Solutions is seeking a SAS Programmer to join one of our growing clients. We are looking for a talented, team-oriented, and motivated individual to join",842e3f9e2a95b0d8,Statistical Programmer,,,,12 hours,2016-10-17 23:57:11.965184,Philadelphia
26,"Newtown Square, PA",SAP,The application of data science techniques in SAP customer projects is extremely diverse and ranges from supply chain optimization solutions over point-of-sales...,34c152c6de5f695d,Data Scientist - SAP Custom Development Job,,52.800003,405,19 days,2016-10-17 23:57:11.965184,Philadelphia
27,"Philadelphia, PA",Reed Elsevier,"Data analytics experience working with a variety of data sources. A global company based in Amsterdam, Elsevier partners with scientists, researchers,...",691471ac4ff076ef,Data Scientist,,42.6,32,30+ days,2016-10-17 23:57:11.965184,Philadelphia
28,"Plymouth Meeting, PA",IMS Health,"Multivariate analysis, regression analysis and forecasting, sampling, data modeling, R programming, machine learning, SPSS....",99523aa675d04053,Statistician,,44.4,439,30+ days,2016-10-17 23:57:11.965184,Philadelphia
29,"Philadelphia, PA",National Board of Medical Examiners,"Protection of the health of the public through state-of-the-art assessment of health professionals is the mission of the NBME, along with a major commitment to...",c08c71017d153173,Data Analysis Manager,,51.0,6,10 days,2016-10-17 23:57:11.965184,Philadelphia
30,"Wilmington, DE",Agilent,Propose new data models and visualization tools to more effectively spot trends and anomalies in large amounts of data....,4438f2b22990a9d8,Services Data Scientist,,52.199997,268,30+ days,2016-10-17 23:57:11.965184,Philadelphia
31,"Collegeville, PA 19426",GlaxoSmithKline,"Demonstrates scientific principles, practices and procedures to the clinical development process, knowing when and how to balance scientific and commercial...",45fbdfc5337cc343,Principal Clinical Data Scientist,,52.199997,1674,27 days,2016-10-17 23:57:11.965184,Philadelphia
32,"Philadelphia, PA",American Association for Cancer Research,"Works with scientists and media relations staff to help identify and promote newsworthy content from the AACR’s journals, scientific meetings, programs, and...",4436fce13f02eae9,Science Writer,,,,7 days,2016-10-17 23:57:11.965184,Philadelphia
33,"Philadelphia, PA",KPMG,"Drive client engagements focused on Big Data and Advanced Business Analytics, in the health care space (claims data, payor/provider data, clinical outcomes);...",ea65894e1e82e1ac,Data Scientist - Health Care,,51.0,1768,29 days,2016-10-17 23:57:11.965184,Philadelphia
34,"Philadelphia, PA",Numeric Jobs,Manage multiple online & offline data sources and perform data management and data cleansing processes. BI group is seeking a skilled Statistical Data Analyst...,dbc29c3a683e8b9f,Statistical Data Analyst,,,,10 days,2016-10-17 23:57:11.965184,Philadelphia
35,"Philadelphia, PA",Wodify,"MS in a relevant field (Computer Science, Engineering, Statistics, Physics, Applied Math, Machine Learning)....",6ea9fc3c3a96d75d,Data Scientist,,,,30+ days,2016-10-17 23:57:11.965184,Philadelphia
36,"Blue Bell, PA 19422",Aetna,"Data Analysis and Data Manipulation -Follows established schedules, CMS calendars, reporting and requirements....",4363a5805133be92,Financial Data Reporting & Analysis Associate,,43.8,1718,19 days,2016-10-17 23:57:11.965184,Philadelphia
37,"Philadelphia, PA",GlaxoSmithKline,"Within GSK, Clinical Statistics is part of Quantitative Sciences, a group which includes clinical pharmacology modelling and simulation, epidemiology, non...",a420d28144eea30e,Principal Statistician,,52.199997,1674,20 days,2016-10-17 23:57:11.965184,Philadelphia
38,"Philadelphia, PA",MeetMe,"You will also provide architectural mentorship, and work with our Data Scientists, to ensure data is available in a consistent, timely, and reliable manner....",f2b6d5df01b2cb63,Data Pipeline Engineer,,,,30+ days,2016-10-17 23:57:11.965184,Philadelphia
39,"Philadelphia, PA",Susquehanna International Group,"Experience in the application of statistical machine learning, data mining, Bayesian inference, and/or MCMC. We are looking for a Statistical Machine Learning...",9c8b232de55601af,Quantitative Researcher - Machine Learning,,51.0,9,30+ days,2016-10-17 23:57:11.965184,Philadelphia
40,"Spring House, PA","Janssen Research & Development, LLC.",Informatics team that will support a broad portfolio of Data Scientists across. Understanding of clinical data....,6d04de1463b31afd,"Statistician, Data Sciences",,,,5 days,2016-10-17 23:57:11.965184,Philadelphia
41,"Philadelphia, PA 19104 (Belmont area)",Children's Hospital of Philadelphia,"The Scientist will be working with a diverse laboratory and clinical oncology team, therefore previous knowledge of clinical oncology is highly desirable....",6d0e9e7aa9d8bfa8,Bioinformatics Scientist III - 16-41196,,52.199997,263,6 days,2016-10-17 23:57:11.965184,Philadelphia
42,"Philadelphia, PA",Susquehanna International Group,Experience in machine learning and time series analysis a plus. Strong programmers in formal and even informal settings - their experience and exposure may...,cb5d1b2249dd8b01,Quantitative Research Analyst,,51.0,9,30+ days,2016-10-17 23:57:11.965184,Philadelphia
43,"Philadelphia, PA 19103 (Belmont area)",Elsevier,Elsevier is looking for an junior data scientist with a focus on Machine Learning and Statistical NLP techniques to help build state of the art applications for...,ddbf219608c6fc75,Junior Data Scientist,,42.6,86,22 days,2016-10-17 23:57:11.965184,Philadelphia
44,"Philadelphia, PA",National Board of Medical Examiners,"Protection of the health of the public through state-of-the-art assessment of health professionals is the mission of the NBME, along with a major commitment to...",b14cee7bf1f63da2,Operations Research Analyst I,,51.0,6,25 days,2016-10-17 23:57:11.965184,Philadelphia
