,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Phoenix, AZ",Honeywell,"Developing overall strategy for Big Data Analytics, including Analytics Tiger. Product Data Utilization:. Strong in data interpretation....",d23cafb01669f713,Data Scientist II,,44.4,3477,3 days,2016-10-18 00:02:37.484670,Phoenix
1,"Phoenix, AZ 85002 (Central City area)",Intel,"Performing Design of Experiment (DOE) verification and validation primarily on the test diagnostics and hardware by evaluating potential root causes, (through...",513a8dfd7679afb6,Application Engineer / Data Scientist,,52.199997,1960,11 days,2016-10-18 00:02:37.484670,Phoenix
2,"Phoenix, AZ",The Red Flag Group,This position will be part of a team who will be developing the requirements and building our uniquely developed analytics based solutions with the use of...,549fbf2ca3ece9d2,Data Scientist,,,,18 days,2016-10-18 00:02:37.484670,Phoenix
3,"Scottsdale, AZ",Paramind Consultancy Services Inc,Data Scientist Bilingüe*. Paramind Consultancy Services es una compañía de Servicios Globales de Tecnología de la Información (TI) que ofrece una amplia gama de...,31f2f5e52131ae90,Data Scientist - Bilingüe,,,,4 days,2016-10-18 00:02:37.484670,Phoenix
4,"Phoenix, AZ",Career Evolutions,"Act as the technical point of contact towards data scientists and business analyst, regarding operational aspects of our Corporate Data Platform....",91e36edf1bd20406,Data Services Engineer,"$150,000 a year",,,17 days,2016-10-18 00:02:37.484670,Phoenix
5,"Phoenix, AZ",American Express,"Hadoop, Pig, Hive, Spark) required as well as traditional statistical techniques such as R, SAS, SQL, Python, Scala Demonstrated ability to apply cutting edge...",eda1cc32224646c7,Grace Hopper 2016: Data Scientist,,52.199997,3067,30+ days,2016-10-18 00:02:37.484670,Phoenix
6,"Phoenix, AZ 85002 (Central City area)",Intel,"Exploratory data analysis, data mining, Machine learning algorithms. 3 months of experience with Data mining and Big Data....",e7796037f7e12004,Data Analysis & Statistical Methods Intern 2017,,52.199997,1960,6 days,2016-10-18 00:02:37.484670,Phoenix
7,"Scottsdale, AZ",Vixxo,"As a member of the Product Development team, the Data Scientist will create, optimize and utilize multiple sets of data while applying strong data mining, data...",184bc5dd5a53f811,Data Scientist,,43.2,3,30+ days,2016-10-18 00:02:37.484670,Phoenix
8,"Phoenix, AZ",Carvana,Automate (or spec out work for dedicated developers and data scientists to automate) marketing processes including incorporation of data into real-time decision...,d900d902be66aa2d,Quantitative Marketing Analyst,,60.0,3,6 days,2016-10-18 00:02:37.484670,Phoenix
9,"Phoenix, AZ",Career Evolutions,"As member of the CIO Office, you will ensure that the Corporate Data Platform fulfills the needs of data scientists, developers, and business analysts from the...",ebe849d5c4d53986,Data Architect,"$150,000 a year",,,17 days,2016-10-18 00:02:37.484670,Phoenix
