,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Santa Clara, CA",Roche,In this entry level role you will learn the theory and operation of the new Genia Single Molecule Sequencing platform and help take the machine from an advanced...,3b879e6af66e9d23,"Data Scientist I, Sequencing",,52.199997,336,7 days,2016-10-17 21:23:26.320470,San Jose
1,"Palo Alto, CA",Umpqua Bank,You will be eager to think about how machine learning and analytics can help change the ways people manage money and transact commerce....,244312a132b3327e,Pivotus Ventures - Data Scientist - Palo Alto,"$100,000 - $160,000 a year",43.8,88,10 hours,2016-10-17 21:23:26.320470,San Jose
2,"San Jose, CA",PayPal,"Data Science & Analytics. Responsible for overcoming the challenges presented by big data, evolving fraud techniques, and new payment technologies by leveraging...",05383d03c5575dab,Data Scientist 2,,44.4,422,3 days,2016-10-17 21:23:26.320470,San Jose
3,"Mountain View, CA",ZingBox,Apply machine learning/anomaly detection techniques to detect IoT devices anomaly behaviors and security threats....,edd91a36ee8926eb,Data scientist,,,,6 hours,2016-10-17 21:23:26.320470,San Jose
4,"Santa Clara, CA 95054",LumenData,"Classifying streaming machine data to enable powerful predictions on machine energy consumption, efficiencies, and fault tolerances....",87e4c665f3ea3a61,Data Scientist,,51.0,2,17 hours,2016-10-17 21:23:26.320470,San Jose
5,"San Jose, CA 95110 (Downtown area)",Ness Technologies,We have specific data sources we are working with – mainly from Aligned Resource Management System (ARMS) data which pulls data from different core systems and...,cddfde16b0a0d0ba,Data Analyst/Scientist,,43.2,91,4 hours,2016-10-17 21:23:26.320470,San Jose
6,"Menlo Park, CA",Facebook,"Scientists should be proficient in R. Responsibilities Scientists will be expected to design and implement novel experiments or quasi-experiments, and develop...",58ccb9c5ee7bd1da,"Data Scientist, Core Data Science",,51.0,114,8 days,2016-10-17 21:23:26.320470,San Jose
7,"San Jose, CA",Get It Mobile,Query and analyze data from large data sets; The primary objective of our Data Science Team is to gain the necessary insights from our data to drive innovations...,8a346163d5f5783e,Data Scientist,,,,6 days,2016-10-17 21:23:26.320470,San Jose
8,"Mountain View, CA 94039",Intuit,"Deep mastery of machine learning - Candidate must have a deep mastery of a wide range of ML techniques, tools, and methodologies with a demonstrated capability...",e0522e65ebac1469,Data Scientist,,52.199997,467,3 days,2016-10-17 21:23:26.320470,San Jose
9,"Palo Alto, CA",HP Inc,"The Customer and Marketing Analytics group in HP Inc’s Global Marketing organization has been charted to provide deep insights, predictions and optimization...",7a6e392e7105d9d7,Data Scientist,,,,14 hours,2016-10-17 21:23:26.320470,San Jose
