,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Redmond, WA 98052",Microsoft,2b66e92b8e367859,Data Scientist 2,,52.199997,2482,16 hours,2016-10-15 18:29:03.769003
1,"Seattle, WA",Remitly,c7d4f15e0329d205,Data Scientist,,,,16 hours,2016-10-15 18:29:03.769003
2,"Seattle, WA",Pacific Northwest National Laboratory,7b7251537d5b1096,Data Scientist - Applied Machine Learning,,44.4,39,5 days,2016-10-15 18:29:03.769003
3,"Seattle, WA",Amazon Corporate LLC,061f7eebc2ff6727,Data Scientist,,43.2,9604,8 days,2016-10-15 18:29:03.769003
4,"Seattle, WA 98104 (First Hill area)",KPMG,bf3fabddf0beac3d,Data Scientist,,51.0,1768,1 day,2016-10-15 18:29:03.769003
5,"Seattle, WA",Facebook,b9311e8d338dc41c,"Data Scientist, Analytics",,51.0,112,9 days,2016-10-15 18:29:03.769003
6,"Seattle, WA 98101 (Downtown area)",Zillow,3713ec4c4e1da8b3,"Data Scientist, Business Analytics",,43.8,22,10 days,2016-10-15 18:29:03.769003
7,"Seattle, WA",Lyft Corporate,5a49dde7684e6cdb,Data Scientist (All Levels) (Seattle),,44.4,11,5 days,2016-10-15 18:29:03.769003
8,"Redmond, WA",krg technology inc,51fedbe2ffe07d6a,Jr Data Scientist,,,,1 day,2016-10-15 18:29:03.769003
9,"Redmond, WA",Cognizant,937826dda415d0d4,Data Scientist,,51.0,4712,1 day,2016-10-15 18:29:03.769003
