,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Tampa Bay, FL",The Nielsen Company,Proficient knowledge in project management required including ability to prioritize and manage multiple cross-functional projects globally....,cb1d8a75ec454bdb,Data Scientist,,43.2,676,2 hours,2016-10-18 00:01:26.185207,Tampa
1,"Tampa, FL",ISPA Technology,"Ability to merge data sources together, ensure consistency of data-sets, frame visualization techniques to aid in understanding data, build mathematical models...",7364d9f48987c7b6,Data Scientist,,,,17 days,2016-10-18 00:01:26.185207,Tampa
2,"Tampa Bay, FL",The Nielsen Company,"Measurement Innovation – Partner with leading data scientists, technology experts and engineers to develop new ways of assessing and measuring a range of...",06d719e8181537f5,Data Science Associate - Emerging Technologist Program - Ful...,,43.2,676,14 hours,2016-10-18 00:01:26.185207,Tampa
3,"Tampa Bay, FL",The Nielsen Company,Experience applying machine learning approaches such as deep convolutional neural networks and/or recursive neural networks....,c55b3cb97486aad0,Machine and Deep Learning Engineer,,43.2,676,14 hours,2016-10-18 00:01:26.185207,Tampa
4,"Tampa, FL 33634",WellCare,Health Services - Quality & Analytics. 3 years of experience in relevant programming to include SAS or SQL....,c2e20613aded223c,Statistician - Healthcare Quality Analytics,,42.6,566,14 days,2016-10-18 00:01:26.185207,Tampa
5,"Tampa Bay, FL",The Nielsen Company,"Participating on diverse high energy project teams, leading challenging project tasks, attending Lunch & Learn training programs, working on project...",e93779ba21d6fd9c,Data Science Intern - Emerging Technologist Program - Summer...,,43.2,676,14 hours,2016-10-18 00:01:26.185207,Tampa
6,"Tampa, FL",Northrop Grumman,"Northrop Grumman is seeking multiple experienced Data Managers to contribute to a diverse team of scientists, analysts, and planners to achieve organizational...",bde4ca963ea6114c,Data Manager,,51.0,2126,1 day,2016-10-18 00:01:26.185207,Tampa
7,"Tampa, FL",Citi,"Good knowledge of SQL, Hive, R, SAS, and/or other data processing languages. Threshold Tuning, Segmentation, Tactical Tuning tasks, and data modeling/validation...",9cfe42f3d2079f15,"Statistician R, SAS-AML Optimization",,44.4,7978,25 days,2016-10-18 00:01:26.185207,Tampa
8,"Tampa, FL",InSys Group,"Optimization, Segmentation, Tactical Tuning tasks, and data modeling/validation efforts depending on current needs and project plans....",2c49565ee52eabb0,Optimization Statistician,,,,30+ days,2016-10-18 00:01:26.185207,Tampa
9,"Tampa, FL",Northrop Grumman,"Northrop Grumman is seeking experienced Data Managers to contribute to a diverse team of social scientists, intelligence analysts, and operation planners tasked...",7c3a93c34c721dd3,Data Manager /Data Scientist,,51.0,2126,30+ days,2016-10-18 00:01:26.185207,Tampa
