,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Manhattan, NY",JPMorgan Chase,7acc50463aab0cd5,Digital Data Scientist,,44.4,10697,1 day,2016-10-15 18:29:01.246205
1,"Orangeburg, NY 10962",Verizon,c72f711f3cde8fee,Data Scientist - Entry Level,,44.4,11108,4 days,2016-10-15 18:29:01.246205
2,"Delray Beach, FL",Fractl,a05eef6f2dc68eff,Freelance Data Scientist - Delray Beach,,51.0,4,4 days,2016-10-15 18:29:01.246205
3,"New York, NY",Quovo,d440cf741745f761,Data Scientist,,,,1 day,2016-10-15 18:29:01.246205
4,"New York, NY 10003 (Greenwich Village area)",Verizon,cdb4ec912f0a7ad7,Data Scientist,,44.4,11108,4 days,2016-10-15 18:29:01.246205
5,"New York, NY 10032 (Washington Heights area)",Morgan Stanley,f0b32c73f8383044,Data Scientist / Modeler,,44.4,1523,5 days,2016-10-15 18:29:01.246205
6,"New York, NY 10014 (West Village area)",Squarespace,720492247ff1279e,Data Scientist,,55.199997,15,1 day,2016-10-15 18:29:01.246205
7,"Brooklyn, NY",NATIONAL GRID CO USA (NE POWER),e2d654133269eb31,Data Scientist,,,,9 days,2016-10-15 18:29:01.246205
8,"Phoenix, AZ",Honeywell,d23cafb01669f713,Data Scientist II,,44.4,3473,1 day,2016-10-15 18:29:01.246205
9,"Redmond, WA 98052",Microsoft,2b66e92b8e367859,Data Scientist 2,,52.199997,2482,16 hours,2016-10-15 18:29:01.246205
